workload,frequency_mhz,response_time_ms
bfs,306.0,91.4999
bfs,408.0,70.539
bfs,510.0,58.0462
bfs,612.0,49.6228
bfs,714.0,44.9881
bfs,816.0,43.3916
bfs,918.0,42.6301
bfs,1020.0,42.0234
hist,306.0,77.1726
hist,408.0,58.0605
hist,510.0,46.5903
hist,612.0,38.9593
hist,714.0,33.7197
hist,816.0,29.8649
hist,918.0,26.6598
hist,1020.0,24.2276
mm,306.0,87.1356
mm,408.0,65.9684
mm,510.0,53.2212
mm,612.0,44.8469
mm,714.0,39.1423
mm,816.0,35.3209
mm,918.0,32.4651
mm,1020.0,30.6859
particle,306.0,118.405
particle,408.0,89.0458
particle,510.0,71.3506
particle,612.0,59.5478
particle,714.0,51.3835
particle,816.0,45.4066
particle,918.0,40.283
particle,1020.0,36.4015
quasi,306.0,54.0256
quasi,408.0,46.7385
quasi,510.0,42.2127
quasi,612.0,39.3054
quasi,714.0,36.8963
quasi,816.0,35.0479
quasi,918.0,33.5159
quasi,1020.0,32.2311
stereo,306.0,96.1008
stereo,408.0,73.6324
stereo,510.0,60.0863
stereo,612.0,51.1543
stereo,714.0,44.8523
stereo,816.0,40.388
stereo,918.0,36.2444
stereo,1020.0,33.2518
