window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.44641,510,-1,5.94,49.656,0
131.238,510,60.0812,5.95,50,1
260.588,510,58.9072,5.91,49.656,2
388.723,510,57.3648,5.84,49.781,1
517.942,510,55.7525,5.84,49.687,1
647.7,510,58.1008,5.88,49.562,2
775.977,510,57.0163,5.8,49.625,1
904.69,510,61.7076,5.76,49.75,1
1035.87,510,58.5867,5.84,49.812,2
1164.64,510,57.2526,5.809,49.687,1
1292.6,510,57.0341,5.729,49.968,1
1422.36,510,56.5441,5.769,49.656,1
1551.66,510,57.1215,5.809,49.843,2
1680.63,510,56.8389,5.769,49.75,1
1809.88,510,57.386,5.729,49.687,1
1941.39,510,58.3183,5.809,49.843,2
2069.77,510,57.0134,5.769,49.968,1
2198.1,510,56.9418,5.729,49.562,1
2329.07,510,56.5961,5.769,49.812,1
2458.88,510,57.8545,5.809,50,2
2586.01,510,57.2007,5.729,49.656,1
2714.49,510,57.1745,5.729,49.875,1
2844.44,510,58.3084,5.809,49.75,2
2972.58,510,56.9549,5.769,49.781,1
3100.34,510,56.8952,5.729,49.625,1
3230.33,510,58.7318,5.769,50,1
3360.43,510,57.0213,5.809,49.75,2
3487.99,510,56.962,5.729,49.875,1
3616.18,510,56.7818,5.729,49.75,1
3747.04,510,58.2394,5.809,49.656,2
3876.29,510,56.9369,5.769,49.812,1
4004.81,510,56.9236,5.729,49.687,1
4134.52,510,55.8706,5.769,49.687,1
4264.4,510,56.8904,5.809,49.75,2
4392.15,510,56.9452,5.729,50.062,1
4520.4,510,59.4991,5.729,49.75,1
4650.86,510,58.395,5.849,49.937,2
4780.1,510,56.7677,5.769,49.75,1
4908.32,510,57.0295,5.729,49.562,1
5037.83,510,55.9409,5.809,49.843,1
5166.72,510,57.0518,5.809,49.656,2
5294.82,510,56.9678,5.769,49.781,1
5423.9,510,57.439,5.769,49.718,1
5554.68,510,57.0441,5.849,50.062,2
5682.96,510,57.0343,5.769,49.687,1
5810.48,510,57.2732,5.729,49.875,1
5940.38,510,56.4501,5.769,49.75,1
6069.53,510,58.0444,5.809,49.812,2
6196.92,510,57.0082,5.729,49.656,1
6325.77,510,56.9447,5.729,49.656,1
6457.19,510,58.6304,5.809,49.843,2
6586.37,510,57.2554,5.769,49.843,1
6714.76,510,58.7796,5.729,49.75,1
6845.03,510,56.7874,5.769,49.718,1
6973.72,510,56.9953,5.809,49.75,2
7101.55,510,56.9977,5.729,49.593,1
7230.93,510,56.786,5.729,49.781,1
7361.37,510,56.8902,5.849,49.75,2
7490.31,510,57.1013,5.769,49.562,1
7618.82,510,58.1103,5.729,49.781,1
7748.55,510,57.1543,5.809,49.75,1
7878.09,510,57.7399,5.809,49.75,2
8006.22,510,57.0575,5.729,49.687,1
