task_id=0 response_ms=77.4029 kernel_plus_memory_ms=76.8683 kernel_only_ms=76.6868 h2d_ms=0.082432 d2h_ms=0.09904
task_id=1 response_ms=77.156 kernel_plus_memory_ms=77.0229 kernel_only_ms=76.2707 h2d_ms=0.65904 d2h_ms=0.093184
task_id=2 response_ms=77.0747 kernel_plus_memory_ms=76.9722 kernel_only_ms=76.2566 h2d_ms=0.65232 d2h_ms=0.063264
task_id=3 response_ms=77.0552 kernel_plus_memory_ms=76.9598 kernel_only_ms=76.2591 h2d_ms=0.648512 d2h_ms=0.05216
task_id=4 response_ms=77.3053 kernel_plus_memory_ms=77.0012 kernel_only_ms=76.2598 h2d_ms=0.667584 d2h_ms=0.073792
task_id=5 response_ms=77.1515 kernel_plus_memory_ms=76.9994 kernel_only_ms=76.256 h2d_ms=0.66384 d2h_ms=0.079616
task_id=6 response_ms=77.1137 kernel_plus_memory_ms=76.985 kernel_only_ms=76.2569 h2d_ms=0.660192 d2h_ms=0.067968
task_id=7 response_ms=77.126 kernel_plus_memory_ms=76.9755 kernel_only_ms=76.2579 h2d_ms=0.655008 d2h_ms=0.062592
task_id=8 response_ms=77.0749 kernel_plus_memory_ms=76.9636 kernel_only_ms=76.2591 h2d_ms=0.656448 d2h_ms=0.048032
task_id=9 response_ms=77.0413 kernel_plus_memory_ms=76.9371 kernel_only_ms=76.2444 h2d_ms=0.641088 d2h_ms=0.051616
task_id=10 response_ms=77.076 kernel_plus_memory_ms=76.9631 kernel_only_ms=76.2538 h2d_ms=0.651936 d2h_ms=0.05744
task_id=11 response_ms=77.0451 kernel_plus_memory_ms=76.9491 kernel_only_ms=76.2506 h2d_ms=0.645888 d2h_ms=0.052576
task_id=12 response_ms=77.0486 kernel_plus_memory_ms=76.947 kernel_only_ms=76.2476 h2d_ms=0.648096 d2h_ms=0.051328
task_id=13 response_ms=77.0331 kernel_plus_memory_ms=76.9441 kernel_only_ms=76.2531 h2d_ms=0.641344 d2h_ms=0.049632
task_id=14 response_ms=77.0143 kernel_plus_memory_ms=76.9249 kernel_only_ms=76.2356 h2d_ms=0.63824 d2h_ms=0.051104
task_id=15 response_ms=77.0475 kernel_plus_memory_ms=76.9441 kernel_only_ms=76.2477 h2d_ms=0.646816 d2h_ms=0.049568
task_id=16 response_ms=77.0078 kernel_plus_memory_ms=76.9211 kernel_only_ms=76.249 h2d_ms=0.628 d2h_ms=0.04416
task_id=17 response_ms=77.0361 kernel_plus_memory_ms=76.9423 kernel_only_ms=76.2467 h2d_ms=0.648608 d2h_ms=0.047008
task_id=18 response_ms=77.0313 kernel_plus_memory_ms=76.92 kernel_only_ms=76.2384 h2d_ms=0.629632 d2h_ms=0.051904
task_id=19 response_ms=77.0362 kernel_plus_memory_ms=76.9389 kernel_only_ms=76.2492 h2d_ms=0.640224 d2h_ms=0.049504
task_id=20 response_ms=77.0161 kernel_plus_memory_ms=76.9286 kernel_only_ms=76.2426 h2d_ms=0.64144 d2h_ms=0.044544
task_id=21 response_ms=77.0156 kernel_plus_memory_ms=76.9339 kernel_only_ms=76.2437 h2d_ms=0.647072 d2h_ms=0.043072
task_id=22 response_ms=77.0233 kernel_plus_memory_ms=76.9369 kernel_only_ms=76.2472 h2d_ms=0.64992 d2h_ms=0.039712
task_id=23 response_ms=77.0328 kernel_plus_memory_ms=76.9333 kernel_only_ms=76.2373 h2d_ms=0.645376 d2h_ms=0.050592
task_id=24 response_ms=77.0392 kernel_plus_memory_ms=76.9454 kernel_only_ms=76.2467 h2d_ms=0.650656 d2h_ms=0.048032
task_id=25 response_ms=77.001 kernel_plus_memory_ms=76.9195 kernel_only_ms=76.2435 h2d_ms=0.631648 d2h_ms=0.044352
task_id=26 response_ms=77.07 kernel_plus_memory_ms=76.9632 kernel_only_ms=76.2411 h2d_ms=0.639872 d2h_ms=0.08224
task_id=27 response_ms=77.0792 kernel_plus_memory_ms=76.9668 kernel_only_ms=76.2642 h2d_ms=0.657792 d2h_ms=0.044768
task_id=28 response_ms=77.0921 kernel_plus_memory_ms=76.9611 kernel_only_ms=76.2481 h2d_ms=0.663136 d2h_ms=0.049824
task_id=29 response_ms=77.1371 kernel_plus_memory_ms=76.9919 kernel_only_ms=76.2527 h2d_ms=0.661152 d2h_ms=0.078016
task_id=30 response_ms=77.0989 kernel_plus_memory_ms=76.9695 kernel_only_ms=76.2556 h2d_ms=0.649568 d2h_ms=0.064288
task_id=31 response_ms=77.0341 kernel_plus_memory_ms=76.9334 kernel_only_ms=76.247 h2d_ms=0.642272 d2h_ms=0.044064
task_id=32 response_ms=77.0586 kernel_plus_memory_ms=76.9478 kernel_only_ms=76.2491 h2d_ms=0.649664 d2h_ms=0.04912
task_id=33 response_ms=77.0551 kernel_plus_memory_ms=76.9457 kernel_only_ms=76.247 h2d_ms=0.645664 d2h_ms=0.052992
task_id=34 response_ms=77.0636 kernel_plus_memory_ms=76.9631 kernel_only_ms=76.2514 h2d_ms=0.651584 d2h_ms=0.060128
task_id=35 response_ms=77.0265 kernel_plus_memory_ms=76.9388 kernel_only_ms=76.2479 h2d_ms=0.64672 d2h_ms=0.044192
task_id=36 response_ms=77.0409 kernel_plus_memory_ms=76.9234 kernel_only_ms=76.2456 h2d_ms=0.639584 d2h_ms=0.038144
task_id=37 response_ms=77.045 kernel_plus_memory_ms=76.9446 kernel_only_ms=76.2478 h2d_ms=0.649024 d2h_ms=0.047712
task_id=38 response_ms=77.0553 kernel_plus_memory_ms=76.9508 kernel_only_ms=76.253 h2d_ms=0.646944 d2h_ms=0.050848
task_id=39 response_ms=77.0359 kernel_plus_memory_ms=76.9361 kernel_only_ms=76.2413 h2d_ms=0.646304 d2h_ms=0.048448
task_id=40 response_ms=77.031 kernel_plus_memory_ms=76.935 kernel_only_ms=76.2418 h2d_ms=0.6448 d2h_ms=0.048416
task_id=41 response_ms=77.0342 kernel_plus_memory_ms=76.9344 kernel_only_ms=76.2413 h2d_ms=0.6456 d2h_ms=0.047488
task_id=42 response_ms=77.0355 kernel_plus_memory_ms=76.9414 kernel_only_ms=76.2458 h2d_ms=0.648768 d2h_ms=0.04688
task_id=43 response_ms=77.1457 kernel_plus_memory_ms=77.048 kernel_only_ms=76.2556 h2d_ms=0.74064 d2h_ms=0.051744
task_id=44 response_ms=77.0367 kernel_plus_memory_ms=76.9382 kernel_only_ms=76.2454 h2d_ms=0.64096 d2h_ms=0.051808
task_id=45 response_ms=77.0377 kernel_plus_memory_ms=76.9397 kernel_only_ms=76.242 h2d_ms=0.64944 d2h_ms=0.048352
task_id=46 response_ms=77.1208 kernel_plus_memory_ms=76.9834 kernel_only_ms=76.268 h2d_ms=0.653312 d2h_ms=0.062112
task_id=47 response_ms=77.1249 kernel_plus_memory_ms=76.9792 kernel_only_ms=76.2508 h2d_ms=0.657472 d2h_ms=0.070912
task_id=48 response_ms=77.0548 kernel_plus_memory_ms=76.9413 kernel_only_ms=76.2472 h2d_ms=0.636512 d2h_ms=0.057536
task_id=49 response_ms=77.111 kernel_plus_memory_ms=76.989 kernel_only_ms=76.2458 h2d_ms=0.643456 d2h_ms=0.099712
task_id=50 response_ms=77.0745 kernel_plus_memory_ms=76.955 kernel_only_ms=76.2449 h2d_ms=0.660512 d2h_ms=0.049568
task_id=51 response_ms=77.0378 kernel_plus_memory_ms=76.9326 kernel_only_ms=76.2372 h2d_ms=0.645056 d2h_ms=0.0504
task_id=52 response_ms=77.0158 kernel_plus_memory_ms=76.9209 kernel_only_ms=76.246 h2d_ms=0.62544 d2h_ms=0.049472
task_id=53 response_ms=77.0229 kernel_plus_memory_ms=76.9277 kernel_only_ms=76.2417 h2d_ms=0.623776 d2h_ms=0.06224
task_id=54 response_ms=77.0045 kernel_plus_memory_ms=76.9148 kernel_only_ms=76.2409 h2d_ms=0.624384 d2h_ms=0.049504
task_id=55 response_ms=77.0583 kernel_plus_memory_ms=76.9385 kernel_only_ms=76.2507 h2d_ms=0.638464 d2h_ms=0.049408
task_id=56 response_ms=77.0578 kernel_plus_memory_ms=76.9335 kernel_only_ms=76.2448 h2d_ms=0.642688 d2h_ms=0.04608
task_id=57 response_ms=77.1003 kernel_plus_memory_ms=76.9656 kernel_only_ms=76.2483 h2d_ms=0.639488 d2h_ms=0.07776
task_id=58 response_ms=77.1161 kernel_plus_memory_ms=76.9745 kernel_only_ms=76.2639 h2d_ms=0.647264 d2h_ms=0.06336
task_id=59 response_ms=77.0557 kernel_plus_memory_ms=76.9363 kernel_only_ms=76.2484 h2d_ms=0.635488 d2h_ms=0.052384
task_id=60 response_ms=77.0339 kernel_plus_memory_ms=76.9293 kernel_only_ms=76.2428 h2d_ms=0.63152 d2h_ms=0.055008
task_id=61 response_ms=77.0535 kernel_plus_memory_ms=76.9324 kernel_only_ms=76.2473 h2d_ms=0.633376 d2h_ms=0.051744
task_id=62 response_ms=77.0042 kernel_plus_memory_ms=76.912 kernel_only_ms=76.242 h2d_ms=0.626656 d2h_ms=0.04336
task_id=63 response_ms=76.9927 kernel_plus_memory_ms=76.9128 kernel_only_ms=76.2473 h2d_ms=0.624224 d2h_ms=0.041312
task_id=64 response_ms=77.0402 kernel_plus_memory_ms=76.9215 kernel_only_ms=76.242 h2d_ms=0.631424 d2h_ms=0.048064
task_id=65 response_ms=77.0329 kernel_plus_memory_ms=76.9214 kernel_only_ms=76.2442 h2d_ms=0.632192 d2h_ms=0.045056
task_id=66 response_ms=77.0164 kernel_plus_memory_ms=76.9181 kernel_only_ms=76.2444 h2d_ms=0.626368 d2h_ms=0.047424
task_id=67 response_ms=76.9991 kernel_plus_memory_ms=76.9142 kernel_only_ms=76.2449 h2d_ms=0.624992 d2h_ms=0.04432
task_id=68 response_ms=77.0157 kernel_plus_memory_ms=76.9123 kernel_only_ms=76.2469 h2d_ms=0.622496 d2h_ms=0.042848
task_id=69 response_ms=77.0037 kernel_plus_memory_ms=76.9175 kernel_only_ms=76.2461 h2d_ms=0.632128 d2h_ms=0.039264
task_id=70 response_ms=77.0206 kernel_plus_memory_ms=76.9216 kernel_only_ms=76.2438 h2d_ms=0.63072 d2h_ms=0.047072
task_id=71 response_ms=77.0435 kernel_plus_memory_ms=76.937 kernel_only_ms=76.2501 h2d_ms=0.619872 d2h_ms=0.06704
