window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.415892,510,-1,5.542,49.75,0
128.305,510,47.111,5.71,49.531,2
256.041,510,46.5026,5.68,49.593,1
385.8,510,46.5375,5.68,49.531,1
513.647,510,46.6714,5.769,49.593,1
640.342,510,46.4653,5.849,49.468,2
768.227,510,46.4523,5.769,49.656,1
899.376,510,46.5085,5.769,49.906,1
1027.84,510,46.5236,5.889,49.656,2
1154.94,510,46.4894,5.849,49.656,1
1283.23,510,46.5132,5.769,49.656,1
1411.22,510,46.5077,5.849,49.718,1
1538.14,510,46.4633,5.889,49.812,2
1666.3,510,46.4278,5.818,49.625,1
1795.7,510,46.4685,5.818,49.75,1
1922.86,510,46.4548,5.898,49.656,1
2049.38,510,46.4791,5.889,49.593,2
2178.88,510,46.4637,5.818,49.531,1
2307.22,510,46.4631,5.858,49.625,1
2434.21,510,46.4511,5.929,49.718,2
2560.68,510,46.4535,5.858,49.5,1
2688.54,510,46.4497,5.778,49.5,1
2815.52,510,46.503,5.858,49.75,1
2942.08,510,46.4482,5.889,49.75,2
3068.96,510,46.4648,5.858,49.625,1
3196.14,510,46.4659,5.818,49.718,1
3323.23,510,46.4631,5.898,49.843,1
3450.18,510,46.4539,5.898,49.562,2
3579.16,510,46.4247,5.818,49.718,1
3706.91,510,46.5096,5.858,49.875,1
3834.13,510,46.4706,5.938,49.656,2
3961.38,510,46.4664,5.858,49.718,1
4089.91,510,46.4787,5.818,49.562,1
4218.11,510,46.4859,5.858,49.687,1
4345.36,510,46.4637,5.889,49.5,2
4473.52,510,46.4597,5.818,49.531,1
4600.83,510,46.4976,5.818,49.625,1
4728.14,510,46.4605,5.898,49.781,1
4854.91,510,46.4451,5.858,49.593,2
4983.18,510,46.4364,5.818,49.468,1
5111.78,510,46.4624,5.858,49.531,1
5239.34,510,46.4388,5.929,49.75,2
5366.63,510,46.4537,5.858,49.687,1
5493.72,510,46.4536,5.778,49.593,1
5622.7,510,46.551,5.858,49.625,1
5749.53,510,47.0274,5.889,49.468,2
5877.9,510,46.4194,5.858,49.562,1
6005.11,510,46.4387,5.818,49.687,1
6132.22,510,46.4455,5.889,49.531,2
6258.65,510,46.4151,5.889,49.562,1
6387,510,46.4417,5.818,49.562,1
6514.53,510,46.8751,5.858,49.687,1
6641.61,510,46.4515,5.929,49.625,2
6768.62,510,46.4275,5.858,49.687,1
6897.01,510,46.469,5.818,49.562,1
7024.9,510,46.4751,5.858,49.687,1
7151.27,510,46.5159,5.889,49.531,2
7282.96,510,46.454,5.818,49.781,1
7410.37,510,46.4588,5.858,49.656,1
7541.13,510,46.5487,5.929,49.812,2
7667.75,510,46.4655,5.858,49.562,1
7796.04,510,46.4749,5.818,49.562,1
7923.71,510,46.4791,5.858,49.687,1
8051.06,510,46.419,5.898,49.625,2
8179.07,510,46.4663,5.858,49.593,1
8307.36,510,46.4646,5.818,49.625,1
8434.49,510,46.444,5.898,49.656,1
8561.29,510,46.4189,5.889,49.593,2
8690.18,510,46.4286,5.818,49.5,1
8818.12,510,46.4552,5.858,49.843,1
8947.47,510,46.4583,5.929,49.75,2
9076.71,510,46.4313,5.858,49.718,1
9204.76,510,46.4495,5.809,49.625,1
9333.77,510,46.4554,5.889,49.718,1
9459.85,510,46.4363,5.889,49.687,2
9588.73,510,46.435,5.809,49.562,1
9716.55,510,46.45,5.858,49.656,1
9844.76,510,46.4968,5.929,49.593,2
9971.7,510,46.4745,5.889,49.875,1
10101.7,510,46.469,5.818,49.406,1
10229.3,510,46.4582,5.849,49.625,1
10356,510,46.4392,5.889,49.687,2
10483.8,510,46.4409,5.858,49.5,1
10612.2,510,46.4338,5.818,49.625,1
10739.3,510,46.4358,5.898,49.531,2
10866.2,510,46.4334,5.889,49.468,1
10996,510,46.4458,5.818,49.75,1
11123.9,510,46.4746,5.858,49.562,1
11250.9,510,46.4816,5.929,49.5,2
11377.9,510,46.4656,5.858,49.812,1
11504.8,510,46.459,5.778,49.468,1
11633.7,510,46.8018,5.858,49.531,1
11760.2,510,46.4408,5.889,49.968,2
11888,510,46.4385,5.818,49.687,1
12018.4,510,46.4549,5.818,49.75,1
12146.4,510,46.5017,5.898,49.718,2
12274.3,510,46.4825,5.858,49.625,1
12402.4,510,46.4902,5.818,49.5,1
12530.7,510,46.485,5.858,49.718,1
12657.7,510,46.4559,5.898,49.656,2
12784.8,510,46.436,5.858,49.593,1
12913,510,46.4536,5.818,49.593,1
13040.5,510,46.6031,5.898,49.656,1
13166.9,510,46.4508,5.898,49.593,2
13297.4,510,46.4652,5.818,49.437,1
13425.9,510,46.4574,5.858,49.531,1
13553.6,510,46.4346,5.938,49.843,2
13680.3,510,46.4305,5.858,49.375,1
13810,510,46.4433,5.818,49.718,1
13937.8,510,46.4392,5.858,49.781,1
14063.9,510,46.4389,5.898,49.437,2
14192.7,510,46.4374,5.818,49.656,1
14320.9,510,46.4689,5.818,49.531,1
14447.8,510,46.4471,5.889,49.593,2
14574.8,510,46.4236,5.898,49.718,1
14702.3,510,46.4297,5.818,49.437,1
14830.4,510,46.4571,5.858,49.718,1
14957.8,510,46.4347,5.938,49.843,2
15085.2,510,46.4528,5.858,49.437,1
15213.3,510,46.4458,5.778,49.718,1
15340.3,510,46.4588,5.898,49.875,1
15467,510,46.441,5.898,49.468,2
15595.7,510,46.4263,5.818,49.75,1
15723.7,510,46.4611,5.818,49.593,1
15853.5,510,46.5922,5.898,49.75,2
15980,510,46.4707,5.858,49.531,1
16108.4,510,46.4708,5.778,49.875,1
16239.5,510,46.4989,5.858,49.625,1
16367.8,510,46.4956,5.898,49.718,2
16496.8,510,46.4513,5.818,49.562,1
16624.8,510,46.472,5.818,49.718,1
16753,510,46.5033,5.898,49.812,2
16879.8,510,46.4793,5.858,49.437,1
17006.8,510,46.4672,5.818,49.687,1
17135.6,510,46.4647,5.858,49.593,1
17263.3,510,46.4727,5.898,49.656,2
17392.1,510,46.4594,5.858,49.5,1
17521.7,510,46.4442,5.818,49.593,1
17648.9,510,46.459,5.898,49.625,1
17775.7,510,46.4329,5.898,49.531,2
17904.8,510,46.442,5.818,49.75,1
18033.3,510,46.4542,5.858,49.593,1
18160.8,510,46.4709,5.929,49.656,2
18288.1,510,46.4386,5.889,49.781,1
18416.4,510,46.4446,5.809,49.625,1
18544.5,510,46.4527,5.889,49.812,1
18671.5,510,46.4486,5.889,49.843,2
18799.8,510,46.4282,5.849,49.562,1
18927.4,510,46.4725,5.858,49.75,1
19054.4,510,46.4269,5.889,49.593,2
19182.3,510,46.4179,5.889,49.562,1
19309.2,510,46.4438,5.818,49.687,1
19436.9,510,46.4261,5.858,49.468,1
19563.9,510,46.4378,5.929,49.718,2
19691.6,510,46.4482,5.858,49.75,1
19819.4,510,46.4598,5.818,49.406,1
19946.9,510,46.4143,5.858,49.718,1
20073.6,510,46.4233,5.898,49.718,2
20200,510,46.4613,5.818,49.406,1
20328.7,510,46.4398,5.818,49.75,1
20455.7,510,46.4518,5.938,49.937,2
20583.5,510,46.4339,5.898,49.531,1
20713.1,510,46.4413,5.818,49.656,1
20840.6,510,46.4657,5.858,49.437,1
20967.4,510,46.4172,5.938,49.593,2
21095.5,510,46.419,5.858,49.718,1
21222.5,510,46.4572,5.818,49.531,1
21349.7,510,46.4679,5.858,49.5,1
21476.1,510,46.444,5.898,49.75,2
21603.9,510,46.4602,5.818,49.406,1
21732.5,510,46.4711,5.818,49.687,1
21859.2,510,46.4353,5.898,49.843,2
21986.2,510,46.4312,5.858,49.5,1
22113.7,510,46.4425,5.818,49.5,1
22241,510,46.4442,5.858,49.812,1
22369,510,46.4313,5.938,49.593,2
22495.7,510,46.4342,5.858,49.468,1
22622.6,510,46.446,5.818,49.468,1
22751.1,510,46.4556,5.858,49.593,1
22877.9,510,46.4214,5.898,49.781,2
23006.9,510,46.4582,5.818,49.531,1
23136.1,510,46.4368,5.858,49.593,1
23266.1,510,46.5456,5.938,49.562,2
23392.4,510,46.462,5.858,49.625,1
23521.4,510,46.4552,5.818,49.5,1
23648.5,510,46.4796,5.858,49.593,1
23775.5,510,46.4416,5.929,49.562,2
23903.5,510,46.4456,5.858,49.406,1
24032.8,510,46.4539,5.818,49.5,1
24159.9,510,46.5053,5.898,49.687,1
24286.3,510,46.4761,5.898,49.531,2
24414.9,510,46.4545,5.818,49.75,1
24543.2,510,46.4858,5.858,49.5,1
24670.1,510,46.4403,5.929,49.593,2
24798.1,510,46.4347,5.858,49.875,1
24926.6,510,46.4441,5.818,49.437,1
25054.3,510,46.4528,5.858,49.812,1
25181.5,510,46.4144,5.889,49.5,2
25309.4,510,46.4384,5.818,49.625,1
25438.5,510,46.5121,5.818,49.781,1
25566.1,510,46.4518,5.898,49.5,2
25693.8,510,46.4208,5.898,49.656,1
25820.8,510,46.4575,5.818,49.718,1
25948.2,510,46.4596,5.858,49.5,1
26075.5,510,46.4221,5.929,49.718,2
26203,510,46.4391,5.858,49.562,1
26332.9,510,46.4395,5.818,49.562,1
26459.7,510,46.4317,5.898,49.75,1
26586.3,510,46.4409,5.898,49.562,2
26715.7,510,46.4257,5.818,49.593,1
26843.1,510,46.4896,5.858,49.625,1
26971,510,46.4893,5.898,49.593,2
27097.9,510,46.4529,5.858,49.437,1
27228.2,510,46.4561,5.778,49.656,1
27357.7,510,46.4652,5.858,49.531,1
27485,510,46.494,5.898,49.468,2
27612.3,510,46.438,5.858,49.656,1
27740.6,510,46.4907,5.818,49.531,1
27867.7,510,46.473,5.898,49.531,2
27994.9,510,46.4277,5.889,49.75,1
28123,510,46.4379,5.818,49.437,1
28251.4,510,46.4637,5.858,49.656,1
28379,510,46.4407,5.929,49.843,2
28506.3,510,46.4435,5.858,49.562,1
28634.5,510,46.4669,5.818,49.625,1
28762.1,510,46.4756,5.898,49.875,1
28888.9,510,46.4298,5.898,49.687,2
29016.6,510,46.4352,5.818,49.687,1
29144.9,510,46.4763,5.818,49.437,1
29272.5,510,46.4819,5.898,49.656,2
29398.9,510,46.4539,5.858,49.687,1
29528.5,510,46.4657,5.778,49.562,1
29656.3,510,46.4621,5.858,49.687,1
29784.1,510,46.4644,5.929,49.531,2
29911.2,510,46.4423,5.858,49.593,1
30038.6,510,46.4491,5.818,49.718,1
30165.4,510,46.4335,5.898,49.812,1
30293.3,510,46.4477,5.889,49.562,2
30421.2,510,46.4639,5.818,49.5,1
30549.9,510,46.4764,5.818,49.687,1
30678.1,510,46.4998,5.938,49.75,2
30804.9,510,46.4577,5.858,49.437,1
30932.7,510,46.4488,5.818,49.531,1
31060.6,510,46.5007,5.858,49.718,1
31187.6,510,46.4601,5.898,49.531,2
31315.3,510,46.4314,5.858,49.593,1
31443.6,510,46.4385,5.818,49.5,1
31571.3,510,46.444,5.898,49.562,1
