task_id=0 response_ms=54.7274 kernel_plus_memory_ms=54.5338 kernel_only_ms=50.7041 h2d_ms=1.31494 d2h_ms=2.51469
task_id=1 response_ms=53.5329 kernel_plus_memory_ms=53.404 kernel_only_ms=50.2352 h2d_ms=1.37363 d2h_ms=1.7952
task_id=2 response_ms=53.1833 kernel_plus_memory_ms=53.0468 kernel_only_ms=50.2285 h2d_ms=1.36819 d2h_ms=1.45011
task_id=3 response_ms=53.0047 kernel_plus_memory_ms=52.8959 kernel_only_ms=50.2154 h2d_ms=1.24762 d2h_ms=1.4329
task_id=4 response_ms=52.9982 kernel_plus_memory_ms=52.8699 kernel_only_ms=50.2216 h2d_ms=1.22144 d2h_ms=1.42685
task_id=5 response_ms=53.0372 kernel_plus_memory_ms=52.906 kernel_only_ms=50.2366 h2d_ms=1.24806 d2h_ms=1.42134
task_id=6 response_ms=52.9549 kernel_plus_memory_ms=52.8404 kernel_only_ms=50.2263 h2d_ms=1.15885 d2h_ms=1.4553
task_id=7 response_ms=52.9944 kernel_plus_memory_ms=52.8731 kernel_only_ms=50.2307 h2d_ms=1.21706 d2h_ms=1.42534
task_id=8 response_ms=53.0879 kernel_plus_memory_ms=52.9783 kernel_only_ms=50.2173 h2d_ms=1.17133 d2h_ms=1.5897
task_id=9 response_ms=52.9321 kernel_plus_memory_ms=52.8 kernel_only_ms=50.2435 h2d_ms=1.13235 d2h_ms=1.42413
task_id=10 response_ms=52.8978 kernel_plus_memory_ms=52.7756 kernel_only_ms=50.2116 h2d_ms=1.15926 d2h_ms=1.40474
task_id=11 response_ms=52.9061 kernel_plus_memory_ms=52.784 kernel_only_ms=50.2138 h2d_ms=1.14768 d2h_ms=1.42253
task_id=12 response_ms=52.9235 kernel_plus_memory_ms=52.8098 kernel_only_ms=50.2276 h2d_ms=1.17251 d2h_ms=1.4097
task_id=13 response_ms=53.4005 kernel_plus_memory_ms=53.2916 kernel_only_ms=50.213 h2d_ms=1.1408 d2h_ms=1.93779
task_id=14 response_ms=53.0234 kernel_plus_memory_ms=52.8744 kernel_only_ms=50.2423 h2d_ms=1.21168 d2h_ms=1.42042
task_id=15 response_ms=52.9205 kernel_plus_memory_ms=52.7879 kernel_only_ms=50.217 h2d_ms=1.16275 d2h_ms=1.40816
task_id=16 response_ms=52.9233 kernel_plus_memory_ms=52.8007 kernel_only_ms=50.2236 h2d_ms=1.16272 d2h_ms=1.4144
task_id=17 response_ms=52.9014 kernel_plus_memory_ms=52.7803 kernel_only_ms=50.219 h2d_ms=1.15965 d2h_ms=1.4017
task_id=18 response_ms=52.9301 kernel_plus_memory_ms=52.8169 kernel_only_ms=50.2393 h2d_ms=1.15722 d2h_ms=1.42032
task_id=19 response_ms=53.1453 kernel_plus_memory_ms=53.0332 kernel_only_ms=50.2253 h2d_ms=1.18883 d2h_ms=1.61904
task_id=20 response_ms=52.9867 kernel_plus_memory_ms=52.8766 kernel_only_ms=50.2325 h2d_ms=1.17338 d2h_ms=1.47069
task_id=21 response_ms=53.2673 kernel_plus_memory_ms=53.1168 kernel_only_ms=50.2303 h2d_ms=1.20691 d2h_ms=1.67952
task_id=22 response_ms=53.1238 kernel_plus_memory_ms=52.9938 kernel_only_ms=50.2493 h2d_ms=1.1215 d2h_ms=1.62301
task_id=23 response_ms=53.598 kernel_plus_memory_ms=53.4185 kernel_only_ms=50.2186 h2d_ms=1.78506 d2h_ms=1.41482
task_id=24 response_ms=53.007 kernel_plus_memory_ms=52.8733 kernel_only_ms=50.2327 h2d_ms=1.20586 d2h_ms=1.43475
task_id=25 response_ms=53.001 kernel_plus_memory_ms=52.8372 kernel_only_ms=50.2197 h2d_ms=1.16851 d2h_ms=1.44893
task_id=26 response_ms=52.9335 kernel_plus_memory_ms=52.8059 kernel_only_ms=50.233 h2d_ms=1.14506 d2h_ms=1.42778
task_id=27 response_ms=52.9366 kernel_plus_memory_ms=52.8172 kernel_only_ms=50.2415 h2d_ms=1.13328 d2h_ms=1.4424
task_id=28 response_ms=52.9318 kernel_plus_memory_ms=52.8007 kernel_only_ms=50.2214 h2d_ms=1.16646 d2h_ms=1.41286
task_id=29 response_ms=53.0646 kernel_plus_memory_ms=52.9514 kernel_only_ms=50.2197 h2d_ms=1.13584 d2h_ms=1.59584
task_id=30 response_ms=52.9305 kernel_plus_memory_ms=52.7952 kernel_only_ms=50.2148 h2d_ms=1.16784 d2h_ms=1.41248
task_id=31 response_ms=52.9102 kernel_plus_memory_ms=52.7837 kernel_only_ms=50.2412 h2d_ms=1.14586 d2h_ms=1.39664
task_id=32 response_ms=52.9362 kernel_plus_memory_ms=52.7991 kernel_only_ms=50.216 h2d_ms=1.1737 d2h_ms=1.40944
task_id=33 response_ms=53.0407 kernel_plus_memory_ms=52.9312 kernel_only_ms=50.2211 h2d_ms=1.12918 d2h_ms=1.58096
task_id=34 response_ms=52.9281 kernel_plus_memory_ms=52.8083 kernel_only_ms=50.2243 h2d_ms=1.13133 d2h_ms=1.45264
task_id=35 response_ms=53.1756 kernel_plus_memory_ms=53.0488 kernel_only_ms=50.2519 h2d_ms=1.19229 d2h_ms=1.60467
task_id=36 response_ms=52.9139 kernel_plus_memory_ms=52.8022 kernel_only_ms=50.2148 h2d_ms=1.15632 d2h_ms=1.43104
task_id=37 response_ms=52.9975 kernel_plus_memory_ms=52.8652 kernel_only_ms=50.2191 h2d_ms=1.20899 d2h_ms=1.43706
task_id=38 response_ms=53.2591 kernel_plus_memory_ms=53.1181 kernel_only_ms=50.2178 h2d_ms=1.13731 d2h_ms=1.76294
task_id=39 response_ms=53.3195 kernel_plus_memory_ms=53.1517 kernel_only_ms=50.2475 h2d_ms=1.46614 d2h_ms=1.43814
task_id=40 response_ms=52.9292 kernel_plus_memory_ms=52.8167 kernel_only_ms=50.2217 h2d_ms=1.16662 d2h_ms=1.42835
task_id=41 response_ms=52.9287 kernel_plus_memory_ms=52.7986 kernel_only_ms=50.2224 h2d_ms=1.12918 d2h_ms=1.44701
task_id=42 response_ms=53.279 kernel_plus_memory_ms=53.1686 kernel_only_ms=50.2274 h2d_ms=1.13213 d2h_ms=1.80915
task_id=43 response_ms=52.9125 kernel_plus_memory_ms=52.7852 kernel_only_ms=50.2217 h2d_ms=1.13574 d2h_ms=1.42778
task_id=44 response_ms=53.135 kernel_plus_memory_ms=53.0246 kernel_only_ms=50.2363 h2d_ms=1.17398 d2h_ms=1.61437
task_id=45 response_ms=53.0757 kernel_plus_memory_ms=52.9282 kernel_only_ms=50.2181 h2d_ms=1.11475 d2h_ms=1.59533
task_id=46 response_ms=52.9751 kernel_plus_memory_ms=52.8314 kernel_only_ms=50.2227 h2d_ms=1.19258 d2h_ms=1.41616
task_id=47 response_ms=53.0759 kernel_plus_memory_ms=52.9256 kernel_only_ms=50.2216 h2d_ms=1.12381 d2h_ms=1.58019
task_id=48 response_ms=53.0286 kernel_plus_memory_ms=52.8933 kernel_only_ms=50.2458 h2d_ms=1.20342 d2h_ms=1.44406
task_id=49 response_ms=52.91 kernel_plus_memory_ms=52.7892 kernel_only_ms=50.2228 h2d_ms=1.1567 d2h_ms=1.4096
task_id=50 response_ms=52.8899 kernel_plus_memory_ms=52.7515 kernel_only_ms=50.2154 h2d_ms=1.11594 d2h_ms=1.42013
task_id=51 response_ms=52.9081 kernel_plus_memory_ms=52.782 kernel_only_ms=50.2177 h2d_ms=1.15046 d2h_ms=1.41386
task_id=52 response_ms=52.9132 kernel_plus_memory_ms=52.7888 kernel_only_ms=50.2648 h2d_ms=1.11296 d2h_ms=1.41101
task_id=53 response_ms=52.909 kernel_plus_memory_ms=52.778 kernel_only_ms=50.2225 h2d_ms=1.14989 d2h_ms=1.40557
task_id=54 response_ms=53.1107 kernel_plus_memory_ms=52.9715 kernel_only_ms=50.2261 h2d_ms=1.1393 d2h_ms=1.60611
task_id=55 response_ms=53.0262 kernel_plus_memory_ms=52.8919 kernel_only_ms=50.2293 h2d_ms=1.19798 d2h_ms=1.46458
task_id=56 response_ms=53.1076 kernel_plus_memory_ms=53.0002 kernel_only_ms=50.2202 h2d_ms=1.17635 d2h_ms=1.60365
task_id=57 response_ms=52.9755 kernel_plus_memory_ms=52.8435 kernel_only_ms=50.2376 h2d_ms=1.16576 d2h_ms=1.44013
task_id=58 response_ms=52.9254 kernel_plus_memory_ms=52.8168 kernel_only_ms=50.2209 h2d_ms=1.16973 d2h_ms=1.42614
task_id=59 response_ms=52.8996 kernel_plus_memory_ms=52.7693 kernel_only_ms=50.2261 h2d_ms=1.10541 d2h_ms=1.43786
task_id=60 response_ms=52.905 kernel_plus_memory_ms=52.7827 kernel_only_ms=50.2256 h2d_ms=1.13846 d2h_ms=1.41862
task_id=61 response_ms=52.8963 kernel_plus_memory_ms=52.7654 kernel_only_ms=50.2447 h2d_ms=1.12064 d2h_ms=1.40006
task_id=62 response_ms=52.9872 kernel_plus_memory_ms=52.8514 kernel_only_ms=50.224 h2d_ms=1.18726 d2h_ms=1.44013
task_id=63 response_ms=53.0891 kernel_plus_memory_ms=52.9644 kernel_only_ms=50.2188 h2d_ms=1.15434 d2h_ms=1.59133
task_id=64 response_ms=52.8873 kernel_plus_memory_ms=52.7559 kernel_only_ms=50.2197 h2d_ms=1.1263 d2h_ms=1.40995
task_id=65 response_ms=52.9183 kernel_plus_memory_ms=52.8037 kernel_only_ms=50.2396 h2d_ms=1.15504 d2h_ms=1.40906
task_id=66 response_ms=52.897 kernel_plus_memory_ms=52.7858 kernel_only_ms=50.2222 h2d_ms=1.14058 d2h_ms=1.42294
task_id=67 response_ms=52.9338 kernel_plus_memory_ms=52.8036 kernel_only_ms=50.2242 h2d_ms=1.16992 d2h_ms=1.40947
task_id=68 response_ms=52.8784 kernel_plus_memory_ms=52.7539 kernel_only_ms=50.2113 h2d_ms=1.12195 d2h_ms=1.42067
task_id=69 response_ms=52.9559 kernel_plus_memory_ms=52.8223 kernel_only_ms=50.2133 h2d_ms=1.16541 d2h_ms=1.44355
task_id=70 response_ms=53.1269 kernel_plus_memory_ms=52.9997 kernel_only_ms=50.2785 h2d_ms=1.13824 d2h_ms=1.58298
task_id=71 response_ms=53.0341 kernel_plus_memory_ms=52.8912 kernel_only_ms=50.2498 h2d_ms=1.22998 d2h_ms=1.41142
task_id=72 response_ms=53.0489 kernel_plus_memory_ms=52.9424 kernel_only_ms=50.2123 h2d_ms=1.13306 d2h_ms=1.59702
task_id=73 response_ms=52.9004 kernel_plus_memory_ms=52.7849 kernel_only_ms=50.2112 h2d_ms=1.15837 d2h_ms=1.41533
task_id=74 response_ms=53.1319 kernel_plus_memory_ms=53.0291 kernel_only_ms=50.2414 h2d_ms=1.1671 d2h_ms=1.62051
task_id=75 response_ms=52.9388 kernel_plus_memory_ms=52.8234 kernel_only_ms=50.2292 h2d_ms=1.15549 d2h_ms=1.43875
task_id=76 response_ms=52.9899 kernel_plus_memory_ms=52.8538 kernel_only_ms=50.2161 h2d_ms=1.17866 d2h_ms=1.45901
task_id=77 response_ms=52.8852 kernel_plus_memory_ms=52.7655 kernel_only_ms=50.2308 h2d_ms=1.12189 d2h_ms=1.4128
task_id=78 response_ms=52.9583 kernel_plus_memory_ms=52.8324 kernel_only_ms=50.24 h2d_ms=1.16656 d2h_ms=1.42586
task_id=79 response_ms=53.0763 kernel_plus_memory_ms=52.9654 kernel_only_ms=50.2233 h2d_ms=1.15814 d2h_ms=1.5839
task_id=80 response_ms=52.9073 kernel_plus_memory_ms=52.7698 kernel_only_ms=50.2285 h2d_ms=1.11802 d2h_ms=1.42326
task_id=81 response_ms=52.929 kernel_plus_memory_ms=52.8047 kernel_only_ms=50.2133 h2d_ms=1.17616 d2h_ms=1.41523
task_id=82 response_ms=52.8862 kernel_plus_memory_ms=52.7627 kernel_only_ms=50.2177 h2d_ms=1.11635 d2h_ms=1.42864
task_id=83 response_ms=52.8854 kernel_plus_memory_ms=52.7691 kernel_only_ms=50.2084 h2d_ms=1.12106 d2h_ms=1.43962
task_id=84 response_ms=52.8817 kernel_plus_memory_ms=52.742 kernel_only_ms=50.212 h2d_ms=1.11274 d2h_ms=1.41731
task_id=85 response_ms=52.9402 kernel_plus_memory_ms=52.8041 kernel_only_ms=50.225 h2d_ms=1.1639 d2h_ms=1.4152
task_id=86 response_ms=52.9477 kernel_plus_memory_ms=52.8217 kernel_only_ms=50.2183 h2d_ms=1.1935 d2h_ms=1.40995
task_id=87 response_ms=53.0271 kernel_plus_memory_ms=52.89 kernel_only_ms=50.2431 h2d_ms=1.23597 d2h_ms=1.41091
task_id=88 response_ms=52.9148 kernel_plus_memory_ms=52.7802 kernel_only_ms=50.2202 h2d_ms=1.15312 d2h_ms=1.40691
task_id=89 response_ms=53.4524 kernel_plus_memory_ms=53.3156 kernel_only_ms=50.2466 h2d_ms=1.61264 d2h_ms=1.45635
task_id=90 response_ms=53.1737 kernel_plus_memory_ms=53.0456 kernel_only_ms=50.2236 h2d_ms=1.15466 d2h_ms=1.66726
task_id=91 response_ms=52.9886 kernel_plus_memory_ms=52.8609 kernel_only_ms=50.2419 h2d_ms=1.14774 d2h_ms=1.4712
task_id=92 response_ms=52.9604 kernel_plus_memory_ms=52.8247 kernel_only_ms=50.2227 h2d_ms=1.1577 d2h_ms=1.44432
task_id=93 response_ms=53.0501 kernel_plus_memory_ms=52.9273 kernel_only_ms=50.2193 h2d_ms=1.11613 d2h_ms=1.59194
task_id=94 response_ms=52.9208 kernel_plus_memory_ms=52.7912 kernel_only_ms=50.2284 h2d_ms=1.1367 d2h_ms=1.42608
task_id=95 response_ms=53.0842 kernel_plus_memory_ms=52.967 kernel_only_ms=50.232 h2d_ms=1.15453 d2h_ms=1.58048
task_id=96 response_ms=53.4007 kernel_plus_memory_ms=53.2562 kernel_only_ms=50.2222 h2d_ms=1.16173 d2h_ms=1.87222
task_id=97 response_ms=53.1173 kernel_plus_memory_ms=52.9969 kernel_only_ms=50.2269 h2d_ms=1.13242 d2h_ms=1.6376
task_id=98 response_ms=52.9219 kernel_plus_memory_ms=52.8042 kernel_only_ms=50.235 h2d_ms=1.1352 d2h_ms=1.43398
task_id=99 response_ms=53.0699 kernel_plus_memory_ms=52.9527 kernel_only_ms=50.2197 h2d_ms=1.13523 d2h_ms=1.59776
task_id=100 response_ms=52.9278 kernel_plus_memory_ms=52.7899 kernel_only_ms=50.25 h2d_ms=1.12125 d2h_ms=1.41859
task_id=101 response_ms=53.4563 kernel_plus_memory_ms=53.3212 kernel_only_ms=50.222 h2d_ms=1.16512 d2h_ms=1.93408
task_id=102 response_ms=52.901 kernel_plus_memory_ms=52.7815 kernel_only_ms=50.2221 h2d_ms=1.13331 d2h_ms=1.42602
task_id=103 response_ms=53.2709 kernel_plus_memory_ms=53.1264 kernel_only_ms=50.2319 h2d_ms=1.30317 d2h_ms=1.59136
task_id=104 response_ms=53.0853 kernel_plus_memory_ms=52.9483 kernel_only_ms=50.242 h2d_ms=1.13142 d2h_ms=1.57478
task_id=105 response_ms=52.9115 kernel_plus_memory_ms=52.7768 kernel_only_ms=50.2235 h2d_ms=1.13677 d2h_ms=1.41658
task_id=106 response_ms=52.8787 kernel_plus_memory_ms=52.7485 kernel_only_ms=50.2153 h2d_ms=1.12768 d2h_ms=1.40547
task_id=107 response_ms=53.1301 kernel_plus_memory_ms=52.9905 kernel_only_ms=50.2249 h2d_ms=1.18602 d2h_ms=1.57958
task_id=108 response_ms=53.3954 kernel_plus_memory_ms=53.2757 kernel_only_ms=50.2286 h2d_ms=1.21021 d2h_ms=1.83693
task_id=109 response_ms=53.1172 kernel_plus_memory_ms=52.9883 kernel_only_ms=50.2218 h2d_ms=1.14992 d2h_ms=1.61654
task_id=110 response_ms=52.9852 kernel_plus_memory_ms=52.8441 kernel_only_ms=50.2309 h2d_ms=1.17469 d2h_ms=1.43846
task_id=111 response_ms=53.0596 kernel_plus_memory_ms=52.9361 kernel_only_ms=50.2245 h2d_ms=1.12278 d2h_ms=1.58886
task_id=112 response_ms=52.9316 kernel_plus_memory_ms=52.8087 kernel_only_ms=50.217 h2d_ms=1.16032 d2h_ms=1.43146
