window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.190622,612,-1,5.256,48.875,0
228.838,612,45.4731,6.45,49.125,3
457.189,612,44.4543,6.81,48.968,2
685.178,612,44.5208,6.931,48.968,2
913.007,612,44.5288,7.36,49.531,2
1140.39,612,44.4168,7.52,49.187,3
1369.58,612,44.4092,7.4,49.281,2
1597.52,612,44.5285,7.4,49.406,2
1825.02,612,44.5724,7.68,49.687,3
2053.64,612,44.4845,7.56,49.281,2
2282.13,612,44.4457,7.4,49.437,2
2510.07,612,44.7763,7.52,49.718,2
2737.36,612,44.5844,7.72,49.437,3
2965.76,612,44.4248,7.56,49.468,2
3193.93,612,44.6587,7.4,49.531,2
3421.59,612,44.4567,7.64,49.593,2
3648.65,612,44.5001,7.64,49.5,3
3878.04,612,44.4657,7.48,49.281,2
4106.01,612,44.4883,7.48,49.625,2
4334.04,612,44.8737,7.72,49.75,3
4562.02,612,44.6314,7.6,49.437,2
4789.52,612,44.451,7.4,49.593,2
5018.03,612,44.5598,7.56,49.75,2
5245.57,612,44.5817,7.68,49.75,3
5473.53,612,44.4593,7.52,49.375,2
5701.85,612,44.4565,7.44,49.906,2
5930.11,612,44.486,7.68,50.156,3
6157.79,612,44.4296,7.64,49.625,2
6385.45,612,44.4267,7.48,49.718,2
6613.98,612,44.4382,7.52,49.906,2
6842,612,44.4545,7.76,50.031,3
7069.93,612,44.4589,7.6,49.656,2
7298.74,612,44.453,7.4,49.625,2
7527.08,612,44.4959,7.6,50,2
7754.82,612,44.4431,7.68,49.656,3
7983.59,612,44.6382,7.48,49.625,2
8212.2,612,44.5349,7.44,49.937,2
8440.04,612,44.6353,7.68,50,3
8668.62,612,44.4315,7.6,49.687,2
8897.85,612,44.5172,7.4,49.875,2
9126.98,612,44.5216,7.56,50.062,2
9355.07,612,44.4986,7.68,49.812,3
9583.01,612,44.5194,7.52,49.843,2
9811.3,612,44.518,7.44,50,2
10039.2,612,44.519,7.68,50.437,3
10267.6,612,44.4629,7.64,49.75,2
10495.8,612,44.5054,7.44,49.781,2
10723.8,612,44.4985,7.52,50.343,2
10951.5,612,44.6937,7.76,50.125,3
11179.6,612,44.5468,7.56,49.718,2
11408.4,612,44.4834,7.4,49.968,2
11636.2,612,44.5607,7.6,50.187,2
11864.5,612,44.4834,7.68,49.937,3
12093.4,612,44.7618,7.48,49.906,2
12321.5,612,44.5595,7.48,50.093,2
12550.4,612,44.5621,7.72,50.25,3
12778.9,612,44.4707,7.6,49.875,2
13007.1,612,44.527,7.44,50.062,2
13235.3,612,44.7597,7.56,50.187,2
13462.8,612,44.7765,7.72,50.25,3
13691.6,612,44.4547,7.52,50.125,2
13919,612,44.4888,7.4,50.062,2
14147.5,612,44.566,7.68,50.593,2
14375.3,612,44.5058,7.64,50.031,3
14604.1,612,44.5184,7.44,50.187,2
14832.9,612,44.5125,7.52,50.281,2
15060.8,612,44.5243,7.76,50.062,3
15289.9,612,44.4951,7.56,50,2
15518.4,612,44.4836,7.36,50.062,2
15746.6,612,44.7915,7.6,50.281,2
15975.1,612,44.5161,7.68,50.187,3
16204,612,44.5028,7.48,49.875,2
16432.4,612,44.6542,7.48,50.468,2
16659.9,612,44.6445,7.72,50.343,3
16887.7,612,44.4549,7.6,50.218,2
17115.4,612,44.6926,7.4,50.187,2
17343.9,612,44.5725,7.52,50.312,2
17571.7,612,44.5115,7.72,50.531,3
17799.9,612,44.4989,7.52,50.125,2
18027.9,612,44.7102,7.4,50.5,2
18255.6,612,44.4687,7.64,50.437,2
18483,612,44.4447,7.68,50.281,3
18712.2,612,44.4561,7.48,50.031,2
18939.6,612,44.5656,7.52,50.593,2
19168.2,612,44.5299,7.76,50.406,3
19397.5,612,44.4806,7.56,50.25,2
19625.7,612,44.5139,7.4,50.25,2
19854.5,612,44.4611,7.6,50.468,2
20081.7,612,44.4956,7.68,50.5,3
20309.9,612,44.7385,7.52,50.187,2
20537.7,612,44.565,7.48,50.593,2
20765.2,612,44.4392,7.72,50.562,3
20993.4,612,44.4308,7.64,50.531,2
21221.8,612,44.4902,7.44,50.468,2
21450.3,612,44.54,7.56,50.625,2
21677.8,612,44.4864,7.72,50.781,3
21905.4,612,44.6325,7.56,50.312,2
22133.3,612,44.5575,7.4,50.437,2
22362.2,612,44.5481,7.64,50.593,2
22589,612,44.4725,7.68,50.531,3
22817.2,612,44.4955,7.52,50.218,2
23045.7,612,44.6412,7.48,50.718,2
23273.9,612,44.609,7.72,50.781,3
23501.5,612,44.6607,7.6,50.312,2
23729.6,612,44.4841,7.44,50.562,2
23958,612,44.4445,7.56,50.718,2
24185,612,44.5374,7.72,50.75,3
24413,612,44.5564,7.56,50.562,2
