window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.443089,408,-1,5.608,49.406,0
128.322,408,89.5183,5.6,49.343,1
255.876,408,88.8644,5.6,49.406,1
382.839,408,88.8959,5.56,49.437,2
510.504,408,88.7117,5.551,49.5,1
637.411,408,88.7606,5.551,49.593,1
763.945,408,88.8008,5.551,49.75,1
890.058,408,88.9288,5.551,49.5,2
1018.34,408,88.7795,5.551,49.593,1
1144.45,408,88.794,5.551,49.312,1
1271.02,408,88.907,5.551,49.343,2
1397.45,408,88.9997,5.551,49.593,1
1524.79,408,88.9339,5.551,49.406,1
1651.45,408,88.9735,5.551,49.437,1
1778.54,408,88.8579,5.551,49.437,2
1905.75,408,88.9175,5.551,49.5,1
2032.77,408,88.9585,5.551,49.375,1
2159.47,408,88.9652,5.551,49.468,1
2286.63,408,88.7763,5.551,49.531,2
2414.28,408,88.6886,5.551,49.375,1
2542.26,408,88.8893,5.551,49.468,1
2668.8,408,88.9625,5.551,49.531,2
2796.04,408,88.7621,5.551,49.343,1
2924.26,408,88.8602,5.551,49.437,1
3050.94,408,88.7954,5.551,49.562,1
3177.12,408,88.85,5.551,49.687,2
3304.68,408,88.8531,5.551,49.312,1
3432.22,408,88.9312,5.551,49.656,1
3558.82,408,88.9951,5.551,49.687,1
3684.89,408,88.8807,5.551,49.343,2
3813.84,408,88.7637,5.551,49.593,1
3941,408,88.7187,5.551,49.656,1
4067.54,408,88.7479,5.551,49.375,1
4194.24,408,88.8776,5.551,49.343,2
4322.95,408,89.0046,5.551,49.312,1
4449.52,408,88.7181,5.551,49.406,1
4576.09,408,88.873,5.551,49.343,2
4703.6,408,89.0122,5.511,49.375,1
4832.13,408,88.7505,5.551,49.406,1
4958.89,408,88.9082,5.551,49.406,1
5085.1,408,88.8144,5.551,49.468,2
5213.79,408,88.7339,5.551,49.5,1
5340.8,408,88.9803,5.551,49.375,1
5467.35,408,88.7992,5.551,49.5,1
5594.02,408,88.9709,5.551,49.531,2
5722.13,408,88.7773,5.551,49.406,1
5848.92,408,88.8124,5.551,49.406,1
5976.31,408,88.8979,5.551,49.593,2
6103.37,408,88.8539,5.511,49.406,1
6231.15,408,89.0804,5.511,49.562,1
6357.21,408,89.0301,5.551,49.687,1
6484.24,408,88.9061,5.551,49.312,2
6611.74,408,88.7732,5.511,49.5,1
6739.32,408,88.8155,5.551,49.687,1
6866.17,408,88.9787,5.551,49.281,1
6992.81,408,88.7593,5.551,49.531,2
7122.63,408,88.7314,5.551,49.312,1
7249.17,408,88.8886,5.551,49.375,1
