task_id=0 response_ms=45.9912 kernel_plus_memory_ms=45.8096 kernel_only_ms=45.3441 h2d_ms=0.152672 d2h_ms=0.312864
task_id=1 response_ms=45.4042 kernel_plus_memory_ms=45.2963 kernel_only_ms=45.0254 h2d_ms=0.125824 d2h_ms=0.145024
task_id=2 response_ms=45.522 kernel_plus_memory_ms=45.4047 kernel_only_ms=45.1372 h2d_ms=0.146368 d2h_ms=0.12112
task_id=3 response_ms=45.3774 kernel_plus_memory_ms=45.2716 kernel_only_ms=45.0041 h2d_ms=0.133728 d2h_ms=0.133792
task_id=4 response_ms=45.3957 kernel_plus_memory_ms=45.2898 kernel_only_ms=45.0158 h2d_ms=0.13888 d2h_ms=0.135072
task_id=5 response_ms=45.3933 kernel_plus_memory_ms=45.2782 kernel_only_ms=45.0249 h2d_ms=0.120864 d2h_ms=0.132448
task_id=6 response_ms=45.3713 kernel_plus_memory_ms=45.2719 kernel_only_ms=45.0206 h2d_ms=0.11696 d2h_ms=0.134336
task_id=7 response_ms=45.4945 kernel_plus_memory_ms=45.3872 kernel_only_ms=45.1223 h2d_ms=0.124352 d2h_ms=0.140544
task_id=8 response_ms=45.4598 kernel_plus_memory_ms=45.3652 kernel_only_ms=45.1074 h2d_ms=0.125056 d2h_ms=0.1328
task_id=9 response_ms=45.4963 kernel_plus_memory_ms=45.3737 kernel_only_ms=45.1135 h2d_ms=0.123232 d2h_ms=0.136928
task_id=10 response_ms=45.4213 kernel_plus_memory_ms=45.325 kernel_only_ms=45.0715 h2d_ms=0.113664 d2h_ms=0.139872
task_id=11 response_ms=45.3769 kernel_plus_memory_ms=45.2933 kernel_only_ms=45.0366 h2d_ms=0.113056 d2h_ms=0.143584
task_id=12 response_ms=45.4816 kernel_plus_memory_ms=45.3844 kernel_only_ms=45.1314 h2d_ms=0.125024 d2h_ms=0.128032
task_id=13 response_ms=45.4647 kernel_plus_memory_ms=45.3482 kernel_only_ms=45.0404 h2d_ms=0.165568 d2h_ms=0.142208
task_id=14 response_ms=45.6388 kernel_plus_memory_ms=45.5156 kernel_only_ms=45.2181 h2d_ms=0.16848 d2h_ms=0.128928
task_id=15 response_ms=45.5149 kernel_plus_memory_ms=45.3874 kernel_only_ms=45.1185 h2d_ms=0.133216 d2h_ms=0.135744
task_id=16 response_ms=45.3203 kernel_plus_memory_ms=45.2339 kernel_only_ms=44.9989 h2d_ms=0.117088 d2h_ms=0.117888
task_id=17 response_ms=45.3865 kernel_plus_memory_ms=45.2839 kernel_only_ms=45.0109 h2d_ms=0.144768 d2h_ms=0.128224
task_id=18 response_ms=45.3612 kernel_plus_memory_ms=45.2699 kernel_only_ms=45.0231 h2d_ms=0.113152 d2h_ms=0.133664
task_id=19 response_ms=45.351 kernel_plus_memory_ms=45.2533 kernel_only_ms=45.0059 h2d_ms=0.111712 d2h_ms=0.135648
task_id=20 response_ms=45.3246 kernel_plus_memory_ms=45.2363 kernel_only_ms=44.9915 h2d_ms=0.112736 d2h_ms=0.132064
task_id=21 response_ms=45.3138 kernel_plus_memory_ms=45.2245 kernel_only_ms=44.9613 h2d_ms=0.137088 d2h_ms=0.126112
task_id=22 response_ms=45.4454 kernel_plus_memory_ms=45.3527 kernel_only_ms=45.0605 h2d_ms=0.168064 d2h_ms=0.124096
task_id=23 response_ms=45.6056 kernel_plus_memory_ms=45.5027 kernel_only_ms=45.2377 h2d_ms=0.130592 d2h_ms=0.134464
task_id=24 response_ms=45.4399 kernel_plus_memory_ms=45.3459 kernel_only_ms=45.0981 h2d_ms=0.111456 d2h_ms=0.136288
task_id=25 response_ms=45.4172 kernel_plus_memory_ms=45.332 kernel_only_ms=45.0876 h2d_ms=0.10944 d2h_ms=0.134976
task_id=26 response_ms=45.4178 kernel_plus_memory_ms=45.3289 kernel_only_ms=45.0879 h2d_ms=0.11792 d2h_ms=0.123136
task_id=27 response_ms=45.3866 kernel_plus_memory_ms=45.2751 kernel_only_ms=44.9788 h2d_ms=0.166336 d2h_ms=0.129984
task_id=28 response_ms=45.3252 kernel_plus_memory_ms=45.2377 kernel_only_ms=44.9911 h2d_ms=0.11392 d2h_ms=0.132736
task_id=29 response_ms=45.4331 kernel_plus_memory_ms=45.3407 kernel_only_ms=45.0894 h2d_ms=0.114496 d2h_ms=0.1368
task_id=30 response_ms=45.3444 kernel_plus_memory_ms=45.26 kernel_only_ms=45.0247 h2d_ms=0.114848 d2h_ms=0.12048
task_id=31 response_ms=45.4599 kernel_plus_memory_ms=45.3645 kernel_only_ms=45.094 h2d_ms=0.139488 d2h_ms=0.131072
task_id=32 response_ms=45.3114 kernel_plus_memory_ms=45.2197 kernel_only_ms=44.9748 h2d_ms=0.113248 d2h_ms=0.131616
task_id=33 response_ms=45.4071 kernel_plus_memory_ms=45.3024 kernel_only_ms=45.032 h2d_ms=0.112704 d2h_ms=0.157728
task_id=34 response_ms=45.3376 kernel_plus_memory_ms=45.2386 kernel_only_ms=44.9704 h2d_ms=0.121408 d2h_ms=0.14672
task_id=35 response_ms=45.4391 kernel_plus_memory_ms=45.3367 kernel_only_ms=45.0543 h2d_ms=0.1544 d2h_ms=0.127968
task_id=36 response_ms=45.5013 kernel_plus_memory_ms=45.4012 kernel_only_ms=45.1487 h2d_ms=0.12848 d2h_ms=0.124032
task_id=37 response_ms=45.3624 kernel_plus_memory_ms=45.2679 kernel_only_ms=45.0214 h2d_ms=0.116096 d2h_ms=0.130368
task_id=38 response_ms=45.4082 kernel_plus_memory_ms=45.3224 kernel_only_ms=45.0793 h2d_ms=0.103488 d2h_ms=0.139616
task_id=39 response_ms=45.3291 kernel_plus_memory_ms=45.2455 kernel_only_ms=45.0037 h2d_ms=0.107616 d2h_ms=0.134144
task_id=40 response_ms=45.3122 kernel_plus_memory_ms=45.2174 kernel_only_ms=44.968 h2d_ms=0.124608 d2h_ms=0.124864
task_id=41 response_ms=45.3513 kernel_plus_memory_ms=45.2603 kernel_only_ms=45.0079 h2d_ms=0.125568 d2h_ms=0.126848
task_id=42 response_ms=45.365 kernel_plus_memory_ms=45.2517 kernel_only_ms=44.9786 h2d_ms=0.123136 d2h_ms=0.149984
task_id=43 response_ms=45.382 kernel_plus_memory_ms=45.2518 kernel_only_ms=44.9442 h2d_ms=0.136224 d2h_ms=0.171392
task_id=44 response_ms=45.3616 kernel_plus_memory_ms=45.2522 kernel_only_ms=44.9804 h2d_ms=0.122464 d2h_ms=0.149344
task_id=45 response_ms=45.4478 kernel_plus_memory_ms=45.3504 kernel_only_ms=45.0595 h2d_ms=0.148928 d2h_ms=0.141984
task_id=46 response_ms=45.5083 kernel_plus_memory_ms=45.3886 kernel_only_ms=45.085 h2d_ms=0.176672 d2h_ms=0.127008
task_id=47 response_ms=45.5188 kernel_plus_memory_ms=45.3929 kernel_only_ms=45.0943 h2d_ms=0.168832 d2h_ms=0.129792
task_id=48 response_ms=45.5273 kernel_plus_memory_ms=45.3929 kernel_only_ms=45.0708 h2d_ms=0.138624 d2h_ms=0.183488
task_id=49 response_ms=45.335 kernel_plus_memory_ms=45.239 kernel_only_ms=44.9862 h2d_ms=0.128448 d2h_ms=0.12432
task_id=50 response_ms=45.4619 kernel_plus_memory_ms=45.3364 kernel_only_ms=45.0441 h2d_ms=0.135456 d2h_ms=0.156896
task_id=51 response_ms=45.3494 kernel_plus_memory_ms=45.24 kernel_only_ms=44.9567 h2d_ms=0.134976 d2h_ms=0.148256
task_id=52 response_ms=45.4004 kernel_plus_memory_ms=45.2826 kernel_only_ms=44.9953 h2d_ms=0.114496 d2h_ms=0.172736
task_id=53 response_ms=45.4709 kernel_plus_memory_ms=45.3638 kernel_only_ms=45.0905 h2d_ms=0.109344 d2h_ms=0.163968
task_id=54 response_ms=45.3302 kernel_plus_memory_ms=45.224 kernel_only_ms=44.9595 h2d_ms=0.132096 d2h_ms=0.132416
task_id=55 response_ms=45.3856 kernel_plus_memory_ms=45.2836 kernel_only_ms=45.0164 h2d_ms=0.13392 d2h_ms=0.133376
task_id=56 response_ms=45.4344 kernel_plus_memory_ms=45.3191 kernel_only_ms=45.0346 h2d_ms=0.133792 d2h_ms=0.150752
task_id=57 response_ms=45.2711 kernel_plus_memory_ms=45.1758 kernel_only_ms=44.9221 h2d_ms=0.113984 d2h_ms=0.13968
task_id=58 response_ms=45.2798 kernel_plus_memory_ms=45.1857 kernel_only_ms=44.933 h2d_ms=0.115584 d2h_ms=0.137184
task_id=59 response_ms=45.3955 kernel_plus_memory_ms=45.3044 kernel_only_ms=45.0439 h2d_ms=0.133024 d2h_ms=0.127424
task_id=60 response_ms=45.3027 kernel_plus_memory_ms=45.2087 kernel_only_ms=44.957 h2d_ms=0.125376 d2h_ms=0.126336
task_id=61 response_ms=45.3082 kernel_plus_memory_ms=45.2057 kernel_only_ms=44.9474 h2d_ms=0.112416 d2h_ms=0.14592
task_id=62 response_ms=45.3734 kernel_plus_memory_ms=45.2784 kernel_only_ms=45.0279 h2d_ms=0.115328 d2h_ms=0.135232
task_id=63 response_ms=45.3951 kernel_plus_memory_ms=45.3063 kernel_only_ms=45.054 h2d_ms=0.116096 d2h_ms=0.136224
task_id=64 response_ms=45.395 kernel_plus_memory_ms=45.3094 kernel_only_ms=45.0582 h2d_ms=0.12064 d2h_ms=0.13056
task_id=65 response_ms=45.2975 kernel_plus_memory_ms=45.1995 kernel_only_ms=44.9352 h2d_ms=0.130848 d2h_ms=0.13344
task_id=66 response_ms=45.3885 kernel_plus_memory_ms=45.283 kernel_only_ms=45.0208 h2d_ms=0.123936 d2h_ms=0.138336
task_id=67 response_ms=45.2277 kernel_plus_memory_ms=45.1354 kernel_only_ms=44.8893 h2d_ms=0.114176 d2h_ms=0.131872
task_id=68 response_ms=45.3317 kernel_plus_memory_ms=45.2496 kernel_only_ms=45.0131 h2d_ms=0.115136 d2h_ms=0.121376
task_id=69 response_ms=45.4422 kernel_plus_memory_ms=45.3431 kernel_only_ms=45.0849 h2d_ms=0.1272 d2h_ms=0.131008
task_id=70 response_ms=45.3747 kernel_plus_memory_ms=45.2809 kernel_only_ms=45.0296 h2d_ms=0.11296 d2h_ms=0.138304
task_id=71 response_ms=45.3801 kernel_plus_memory_ms=45.2921 kernel_only_ms=45.0429 h2d_ms=0.113152 d2h_ms=0.136032
task_id=72 response_ms=45.4391 kernel_plus_memory_ms=45.347 kernel_only_ms=45.0952 h2d_ms=0.116192 d2h_ms=0.135616
task_id=73 response_ms=45.4207 kernel_plus_memory_ms=45.3262 kernel_only_ms=45.0784 h2d_ms=0.120736 d2h_ms=0.127104
task_id=74 response_ms=45.4685 kernel_plus_memory_ms=45.3712 kernel_only_ms=45.0967 h2d_ms=0.143232 d2h_ms=0.131296
task_id=75 response_ms=45.3663 kernel_plus_memory_ms=45.2699 kernel_only_ms=45.0097 h2d_ms=0.123936 d2h_ms=0.136224
task_id=76 response_ms=45.2871 kernel_plus_memory_ms=45.1934 kernel_only_ms=44.948 h2d_ms=0.11216 d2h_ms=0.133248
task_id=77 response_ms=45.3506 kernel_plus_memory_ms=45.2578 kernel_only_ms=44.9976 h2d_ms=0.114656 d2h_ms=0.1456
task_id=78 response_ms=45.3541 kernel_plus_memory_ms=45.2603 kernel_only_ms=45.0052 h2d_ms=0.125696 d2h_ms=0.129376
task_id=79 response_ms=45.345 kernel_plus_memory_ms=45.2534 kernel_only_ms=44.9869 h2d_ms=0.126752 d2h_ms=0.139712
