window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.247563,510,-1,6.08,50.843,0
128.68,510,42.335,6.16,50.375,2
257.867,510,41.8234,6.089,50.25,1
387.517,510,42.3265,6.049,50.5,1
517.634,510,41.9036,6.129,50.5,2
646.861,510,42.2269,6.089,50.343,1
774.777,510,42.1114,6.009,50.281,1
902.861,510,42.9768,6.049,50.468,1
1033.5,510,41.6845,6.129,50.468,2
1164.15,510,41.6355,6.049,50.218,1
1293.46,510,41.7212,6.009,50.406,1
1422.6,510,42.7373,6.129,50.468,2
1552.2,510,41.6103,6.089,50.5,1
1680.1,510,42.459,6.009,50.343,1
1809.07,510,42.134,6.089,50.468,1
1938.33,510,41.944,6.129,50.406,2
2070.05,510,41.9668,6.049,50.25,1
2199.19,510,42.109,6.049,50.437,1
2328.74,510,41.4739,6.169,50.531,2
2458.42,510,41.5931,6.089,50.25,1
2589.45,510,42.0355,6.009,50.218,1
2718.9,510,41.4461,6.129,50.375,2
2847.59,510,41.5958,6.089,50.625,1
2977.02,510,41.987,6.009,50.343,1
3106.76,510,41.5842,6.049,50.437,1
3236.39,510,41.5833,6.129,50.656,2
3366.64,510,41.5896,6.049,50.25,1
3496.05,510,42.2877,6.009,50.312,1
3625.9,510,41.6053,6.129,50.343,2
3755.1,510,41.5879,6.089,50.25,1
3885.59,510,42.1596,6.009,50.187,1
4015.62,510,41.6647,6.089,50.656,1
4145.92,510,41.7489,6.129,50.281,2
4275.45,510,41.6113,6.049,50.375,1
4405.35,510,41.9783,6.049,50.468,1
4534.55,510,42.067,6.169,50.218,2
4664.77,510,41.5781,6.089,50.406,1
4793.34,510,41.7712,5.969,50.312,1
4922.2,510,42.2852,6.089,50.375,1
5051.83,510,42.5609,6.129,50.218,2
5180.71,510,41.6286,6.009,50.437,1
5310.89,510,41.6562,6.049,50.437,1
5443.42,510,41.5244,6.129,50.312,2
5573.74,510,41.5718,6.049,50.187,1
5703.5,510,42.1368,6.009,50.281,1
5833.28,510,41.971,6.169,50.5,2
5963.82,510,42.1411,6.089,50.187,1
6095.14,510,41.5946,6.009,50.25,1
6228.18,510,42.9404,6.129,50.25,2
6358.24,510,41.9701,6.089,50.406,1
6488.99,510,41.6403,6.009,50.218,1
6617.55,510,42.1633,6.049,50.468,1
6746.68,510,42.6626,6.129,50.437,2
6877.63,510,41.6231,6.049,50.218,1
7010.15,510,42.4753,6.049,50.281,1
7139.91,510,41.4759,6.169,50.5,2
7269.22,510,41.5575,6.089,50.156,1
7398.95,510,41.7111,6.009,50.187,1
7528.8,510,41.4402,6.129,50.562,1
7658.48,510,42.2268,6.129,50.25,2
7787.74,510,42.0345,6.049,50.062,1
7919.67,510,41.5961,6.089,50.562,1
8049.37,510,41.4916,6.129,50.187,2
8179.6,510,41.7423,6.049,50.062,1
8307.71,510,42.1108,6.009,50.5,1
8437.58,510,42.1799,6.129,50.687,2
8566.94,510,42.2736,6.089,50.281,1
8695.33,510,42.3562,6.009,50.281,1
8823.77,510,42.1502,6.089,50.656,1
8954.16,510,42.14,6.129,50.218,2
9083.7,510,42.0456,6.049,50.343,1
9211.72,510,41.6816,6.009,50.312,1
9340.67,510,42.4273,6.129,50.218,2
9470.72,510,41.5833,6.089,50.25,1
9599.47,510,42.3073,6.009,50.125,1
9728.24,510,42.3466,6.089,50.437,1
9857.31,510,42.238,6.129,50.187,2
9987.69,510,42.1038,6.049,50.468,1
10117.1,510,41.8951,6.049,50.406,1
10247.6,510,41.4007,6.169,50.218,2
10376.9,510,41.5978,6.089,50.218,1
10506.1,510,41.6606,6.009,50.125,1
10636.8,510,42.5494,6.129,50.5,2
10766.3,510,41.5438,6.089,50.218,1
10895.3,510,42.3731,6.009,50.062,1
11024.9,510,41.5346,6.049,50.625,1
11154.9,510,41.5391,6.129,50.187,2
11285.9,510,41.5815,6.049,50.093,1
11414.1,510,41.674,6.019,50.5,1
11544.1,510,42.2886,6.129,50.593,2
11673.1,510,41.5595,6.089,50.187,1
11802.3,510,41.6004,6.009,50.125,1
11931,510,42.2379,6.089,50.656,1
12061.7,510,41.8455,6.129,50.281,2
12190.7,510,41.9432,6.049,50.062,1
12321.2,510,42.1404,6.049,50.687,1
12450.7,510,41.4525,6.169,50.062,2
12579.8,510,42.0446,6.089,50.093,1
12710.3,510,42.158,6.009,50.437,1
12840.5,510,41.4489,6.129,50.312,2
12970.4,510,41.56,6.089,50.25,1
13100.2,510,42.1614,6.009,50.312,1
13230.4,510,41.6754,6.089,50.375,1
13360.5,510,41.5312,6.129,50.062,2
13491,510,41.5509,6.049,50.093,1
13619,510,42.0676,6.009,50.187,1
13747.8,510,41.7849,6.169,50.25,2
13877.2,510,41.5784,6.089,50.093,1
14007.2,510,41.9735,6.009,50.187,1
14135.6,510,42.1104,6.089,50.312,1
14264.8,510,42.285,6.129,50.468,2
14394.8,510,41.7725,6.049,50.062,1
14522.9,510,42.7755,6.049,50.437,1
