task_id=0 response_ms=36.4162 kernel_plus_memory_ms=36.2226 kernel_only_ms=12.1366 h2d_ms=11.2991 d2h_ms=12.7868
task_id=1 response_ms=35.3993 kernel_plus_memory_ms=35.2684 kernel_only_ms=11.6876 h2d_ms=11.4216 d2h_ms=12.1593
task_id=2 response_ms=34.9634 kernel_plus_memory_ms=34.8283 kernel_only_ms=11.6531 h2d_ms=11.5932 d2h_ms=11.582
task_id=3 response_ms=35.1523 kernel_plus_memory_ms=35.0132 kernel_only_ms=11.6548 h2d_ms=11.7512 d2h_ms=11.6072
task_id=4 response_ms=34.7185 kernel_plus_memory_ms=34.5753 kernel_only_ms=11.6525 h2d_ms=11.3031 d2h_ms=11.6197
task_id=5 response_ms=35.7536 kernel_plus_memory_ms=35.615 kernel_only_ms=11.6678 h2d_ms=11.4172 d2h_ms=12.53
task_id=6 response_ms=34.7728 kernel_plus_memory_ms=34.6482 kernel_only_ms=11.5501 h2d_ms=11.3582 d2h_ms=11.7399
task_id=7 response_ms=34.9831 kernel_plus_memory_ms=34.8384 kernel_only_ms=11.5358 h2d_ms=11.6833 d2h_ms=11.6193
task_id=8 response_ms=34.9221 kernel_plus_memory_ms=34.7685 kernel_only_ms=11.5451 h2d_ms=11.6 d2h_ms=11.6234
task_id=9 response_ms=35.4865 kernel_plus_memory_ms=35.3144 kernel_only_ms=11.5459 h2d_ms=12.1732 d2h_ms=11.5954
task_id=10 response_ms=35.1088 kernel_plus_memory_ms=34.9649 kernel_only_ms=11.5396 h2d_ms=11.3042 d2h_ms=12.1211
task_id=11 response_ms=34.9831 kernel_plus_memory_ms=34.8432 kernel_only_ms=11.5422 h2d_ms=11.7173 d2h_ms=11.5837
task_id=12 response_ms=34.7321 kernel_plus_memory_ms=34.5814 kernel_only_ms=11.5381 h2d_ms=11.4238 d2h_ms=11.6195
task_id=13 response_ms=35.7143 kernel_plus_memory_ms=35.5626 kernel_only_ms=11.5323 h2d_ms=12.0626 d2h_ms=11.9677
