task_id=0 response_ms=25.1506 kernel_plus_memory_ms=24.6044 kernel_only_ms=24.4478 h2d_ms=0.062272 d2h_ms=0.094368
task_id=1 response_ms=24.225 kernel_plus_memory_ms=24.09 kernel_only_ms=23.617 h2d_ms=0.384704 d2h_ms=0.088256
task_id=2 response_ms=24.2088 kernel_plus_memory_ms=24.0749 kernel_only_ms=23.6167 h2d_ms=0.380128 d2h_ms=0.07808
task_id=3 response_ms=24.216 kernel_plus_memory_ms=24.0878 kernel_only_ms=23.6184 h2d_ms=0.404416 d2h_ms=0.064992
task_id=4 response_ms=24.2092 kernel_plus_memory_ms=24.0853 kernel_only_ms=23.6441 h2d_ms=0.37024 d2h_ms=0.070912
task_id=5 response_ms=24.1932 kernel_plus_memory_ms=24.058 kernel_only_ms=23.6152 h2d_ms=0.3712 d2h_ms=0.071616
task_id=6 response_ms=24.1733 kernel_plus_memory_ms=24.047 kernel_only_ms=23.6083 h2d_ms=0.373568 d2h_ms=0.065184
task_id=7 response_ms=24.1971 kernel_plus_memory_ms=24.0719 kernel_only_ms=23.6314 h2d_ms=0.366752 d2h_ms=0.07376
task_id=8 response_ms=24.1926 kernel_plus_memory_ms=24.0721 kernel_only_ms=23.6333 h2d_ms=0.366432 d2h_ms=0.072384
task_id=9 response_ms=24.1976 kernel_plus_memory_ms=24.0732 kernel_only_ms=23.6344 h2d_ms=0.3744 d2h_ms=0.064384
task_id=10 response_ms=24.2282 kernel_plus_memory_ms=24.0893 kernel_only_ms=23.634 h2d_ms=0.386592 d2h_ms=0.068672
task_id=11 response_ms=24.1767 kernel_plus_memory_ms=24.0502 kernel_only_ms=23.6097 h2d_ms=0.375424 d2h_ms=0.065088
task_id=12 response_ms=24.205 kernel_plus_memory_ms=24.0628 kernel_only_ms=23.6117 h2d_ms=0.380992 d2h_ms=0.070112
task_id=13 response_ms=24.1783 kernel_plus_memory_ms=24.0561 kernel_only_ms=23.6147 h2d_ms=0.372 d2h_ms=0.06944
