task_id=0 response_ms=37.0126 kernel_plus_memory_ms=36.8342 kernel_only_ms=36.3796 h2d_ms=0.123072 d2h_ms=0.331552
task_id=1 response_ms=36.4435 kernel_plus_memory_ms=36.3038 kernel_only_ms=36.007 h2d_ms=0.15552 d2h_ms=0.141248
task_id=2 response_ms=36.4411 kernel_plus_memory_ms=36.3084 kernel_only_ms=35.9884 h2d_ms=0.176064 d2h_ms=0.143936
task_id=3 response_ms=36.4242 kernel_plus_memory_ms=36.2985 kernel_only_ms=36.0097 h2d_ms=0.154016 d2h_ms=0.134752
task_id=4 response_ms=36.4552 kernel_plus_memory_ms=36.3078 kernel_only_ms=35.98 h2d_ms=0.152992 d2h_ms=0.174752
task_id=5 response_ms=36.3901 kernel_plus_memory_ms=36.2727 kernel_only_ms=35.9883 h2d_ms=0.164512 d2h_ms=0.119904
task_id=6 response_ms=36.2861 kernel_plus_memory_ms=36.1731 kernel_only_ms=35.8956 h2d_ms=0.150624 d2h_ms=0.12688
task_id=7 response_ms=36.3897 kernel_plus_memory_ms=36.2684 kernel_only_ms=35.991 h2d_ms=0.158208 d2h_ms=0.119168
task_id=8 response_ms=36.4273 kernel_plus_memory_ms=36.2965 kernel_only_ms=35.8999 h2d_ms=0.247776 d2h_ms=0.1488
task_id=9 response_ms=36.3694 kernel_plus_memory_ms=36.2455 kernel_only_ms=35.9564 h2d_ms=0.1616 d2h_ms=0.12752
task_id=10 response_ms=36.4315 kernel_plus_memory_ms=36.3047 kernel_only_ms=36.0051 h2d_ms=0.17056 d2h_ms=0.129088
task_id=11 response_ms=36.3515 kernel_plus_memory_ms=36.2173 kernel_only_ms=35.929 h2d_ms=0.153792 d2h_ms=0.134496
task_id=12 response_ms=36.3862 kernel_plus_memory_ms=36.228 kernel_only_ms=35.9146 h2d_ms=0.163232 d2h_ms=0.150176
task_id=13 response_ms=36.4189 kernel_plus_memory_ms=36.2957 kernel_only_ms=36.0066 h2d_ms=0.146272 d2h_ms=0.142816
task_id=14 response_ms=36.4502 kernel_plus_memory_ms=36.3055 kernel_only_ms=35.9724 h2d_ms=0.200448 d2h_ms=0.132672
task_id=15 response_ms=36.3898 kernel_plus_memory_ms=36.2531 kernel_only_ms=35.9425 h2d_ms=0.161184 d2h_ms=0.149472
task_id=16 response_ms=36.3577 kernel_plus_memory_ms=36.2117 kernel_only_ms=35.8874 h2d_ms=0.197568 d2h_ms=0.126688
task_id=17 response_ms=36.4152 kernel_plus_memory_ms=36.2472 kernel_only_ms=35.9252 h2d_ms=0.154304 d2h_ms=0.167776
task_id=18 response_ms=36.4586 kernel_plus_memory_ms=36.3203 kernel_only_ms=35.9829 h2d_ms=0.213952 d2h_ms=0.12336
task_id=19 response_ms=36.5037 kernel_plus_memory_ms=36.318 kernel_only_ms=35.978 h2d_ms=0.173984 d2h_ms=0.165984
task_id=20 response_ms=36.4371 kernel_plus_memory_ms=36.3034 kernel_only_ms=35.9828 h2d_ms=0.195872 d2h_ms=0.12464
task_id=21 response_ms=36.3754 kernel_plus_memory_ms=36.2306 kernel_only_ms=35.916 h2d_ms=0.1712 d2h_ms=0.143424
task_id=22 response_ms=36.4731 kernel_plus_memory_ms=36.3366 kernel_only_ms=36.0288 h2d_ms=0.183744 d2h_ms=0.124096
task_id=23 response_ms=36.3902 kernel_plus_memory_ms=36.249 kernel_only_ms=35.9392 h2d_ms=0.162752 d2h_ms=0.147008
task_id=24 response_ms=36.3195 kernel_plus_memory_ms=36.1907 kernel_only_ms=35.8867 h2d_ms=0.185376 d2h_ms=0.118624
task_id=25 response_ms=36.4437 kernel_plus_memory_ms=36.3012 kernel_only_ms=35.9884 h2d_ms=0.163744 d2h_ms=0.149024
task_id=26 response_ms=36.3753 kernel_plus_memory_ms=36.2461 kernel_only_ms=35.9394 h2d_ms=0.182304 d2h_ms=0.124416
task_id=27 response_ms=36.3368 kernel_plus_memory_ms=36.2014 kernel_only_ms=35.8957 h2d_ms=0.156384 d2h_ms=0.14928
task_id=28 response_ms=36.338 kernel_plus_memory_ms=36.2093 kernel_only_ms=35.9046 h2d_ms=0.18288 d2h_ms=0.121824
task_id=29 response_ms=36.4088 kernel_plus_memory_ms=36.2665 kernel_only_ms=35.9458 h2d_ms=0.162656 d2h_ms=0.157984
task_id=30 response_ms=36.4305 kernel_plus_memory_ms=36.3077 kernel_only_ms=36.003 h2d_ms=0.17968 d2h_ms=0.125024
task_id=31 response_ms=36.4555 kernel_plus_memory_ms=36.3032 kernel_only_ms=35.9862 h2d_ms=0.16448 d2h_ms=0.152512
task_id=32 response_ms=36.3624 kernel_plus_memory_ms=36.2281 kernel_only_ms=35.9095 h2d_ms=0.185248 d2h_ms=0.133376
task_id=33 response_ms=36.3911 kernel_plus_memory_ms=36.2502 kernel_only_ms=35.9189 h2d_ms=0.179776 d2h_ms=0.151584
task_id=34 response_ms=36.3344 kernel_plus_memory_ms=36.195 kernel_only_ms=35.9042 h2d_ms=0.158848 d2h_ms=0.131968
task_id=35 response_ms=36.3818 kernel_plus_memory_ms=36.2545 kernel_only_ms=35.9619 h2d_ms=0.152224 d2h_ms=0.140352
task_id=36 response_ms=36.4129 kernel_plus_memory_ms=36.2808 kernel_only_ms=35.9868 h2d_ms=0.172928 d2h_ms=0.121088
task_id=37 response_ms=36.3523 kernel_plus_memory_ms=36.2132 kernel_only_ms=35.9148 h2d_ms=0.161632 d2h_ms=0.136768
task_id=38 response_ms=36.388 kernel_plus_memory_ms=36.2366 kernel_only_ms=35.9109 h2d_ms=0.162368 d2h_ms=0.163296
task_id=39 response_ms=36.4424 kernel_plus_memory_ms=36.3027 kernel_only_ms=35.9891 h2d_ms=0.175872 d2h_ms=0.137728
task_id=40 response_ms=36.444 kernel_plus_memory_ms=36.3049 kernel_only_ms=35.9915 h2d_ms=0.158368 d2h_ms=0.155072
task_id=41 response_ms=36.4112 kernel_plus_memory_ms=36.2332 kernel_only_ms=35.9103 h2d_ms=0.163232 d2h_ms=0.159648
task_id=42 response_ms=36.3566 kernel_plus_memory_ms=36.1976 kernel_only_ms=35.8646 h2d_ms=0.1552 d2h_ms=0.17776
task_id=43 response_ms=36.4146 kernel_plus_memory_ms=36.2845 kernel_only_ms=35.9733 h2d_ms=0.189664 d2h_ms=0.121536
task_id=44 response_ms=36.4062 kernel_plus_memory_ms=36.2632 kernel_only_ms=35.939 h2d_ms=0.166624 d2h_ms=0.157536
task_id=45 response_ms=36.3952 kernel_plus_memory_ms=36.2625 kernel_only_ms=35.9583 h2d_ms=0.165312 d2h_ms=0.13888
task_id=46 response_ms=36.3472 kernel_plus_memory_ms=36.2085 kernel_only_ms=35.8926 h2d_ms=0.165344 d2h_ms=0.150496
task_id=47 response_ms=36.3813 kernel_plus_memory_ms=36.2577 kernel_only_ms=35.9749 h2d_ms=0.164384 d2h_ms=0.1184
task_id=48 response_ms=36.4118 kernel_plus_memory_ms=36.235 kernel_only_ms=35.8936 h2d_ms=0.18384 d2h_ms=0.157568
task_id=49 response_ms=36.3011 kernel_plus_memory_ms=36.1799 kernel_only_ms=35.8968 h2d_ms=0.157248 d2h_ms=0.125856
task_id=50 response_ms=36.2868 kernel_plus_memory_ms=36.1723 kernel_only_ms=35.8982 h2d_ms=0.1496 d2h_ms=0.124416
task_id=51 response_ms=36.363 kernel_plus_memory_ms=36.233 kernel_only_ms=35.9505 h2d_ms=0.162336 d2h_ms=0.12016
task_id=52 response_ms=36.3159 kernel_plus_memory_ms=36.1877 kernel_only_ms=35.8919 h2d_ms=0.164384 d2h_ms=0.131424
task_id=53 response_ms=36.4262 kernel_plus_memory_ms=36.2914 kernel_only_ms=35.9867 h2d_ms=0.181536 d2h_ms=0.123136
task_id=54 response_ms=36.3616 kernel_plus_memory_ms=36.2234 kernel_only_ms=35.9207 h2d_ms=0.164992 d2h_ms=0.137664
task_id=55 response_ms=36.3598 kernel_plus_memory_ms=36.241 kernel_only_ms=35.9632 h2d_ms=0.153056 d2h_ms=0.124736
task_id=56 response_ms=36.4432 kernel_plus_memory_ms=36.2999 kernel_only_ms=35.9796 h2d_ms=0.172096 d2h_ms=0.148256
task_id=57 response_ms=36.3571 kernel_plus_memory_ms=36.2275 kernel_only_ms=35.9199 h2d_ms=0.179488 d2h_ms=0.12816
task_id=58 response_ms=36.4542 kernel_plus_memory_ms=36.2822 kernel_only_ms=35.9816 h2d_ms=0.164064 d2h_ms=0.13648
task_id=59 response_ms=36.3578 kernel_plus_memory_ms=36.2074 kernel_only_ms=35.8817 h2d_ms=0.185184 d2h_ms=0.140544
task_id=60 response_ms=36.4521 kernel_plus_memory_ms=36.3031 kernel_only_ms=35.9865 h2d_ms=0.193536 d2h_ms=0.123104
task_id=61 response_ms=36.3934 kernel_plus_memory_ms=36.2246 kernel_only_ms=35.9031 h2d_ms=0.162592 d2h_ms=0.158912
task_id=62 response_ms=36.3899 kernel_plus_memory_ms=36.2633 kernel_only_ms=35.9755 h2d_ms=0.16192 d2h_ms=0.125888
task_id=63 response_ms=36.3689 kernel_plus_memory_ms=36.2291 kernel_only_ms=35.9092 h2d_ms=0.18144 d2h_ms=0.138432
task_id=64 response_ms=36.4722 kernel_plus_memory_ms=36.3346 kernel_only_ms=36.0156 h2d_ms=0.193696 d2h_ms=0.125344
