task_id=0 response_ms=34.3721 kernel_plus_memory_ms=34.1809 kernel_only_ms=9.78266 h2d_ms=11.7266 d2h_ms=12.6716
task_id=1 response_ms=32.0882 kernel_plus_memory_ms=31.946 kernel_only_ms=9.26826 h2d_ms=11.3317 d2h_ms=11.346
task_id=2 response_ms=31.8457 kernel_plus_memory_ms=31.6996 kernel_only_ms=9.2535 h2d_ms=11.1584 d2h_ms=11.2877
task_id=3 response_ms=32.0694 kernel_plus_memory_ms=31.9282 kernel_only_ms=9.25808 h2d_ms=11.3518 d2h_ms=11.3183
task_id=4 response_ms=33.0613 kernel_plus_memory_ms=32.9133 kernel_only_ms=9.25594 h2d_ms=11.9921 d2h_ms=11.6653
task_id=5 response_ms=32.5189 kernel_plus_memory_ms=32.3812 kernel_only_ms=9.27344 h2d_ms=11.785 d2h_ms=11.3227
task_id=6 response_ms=33.0748 kernel_plus_memory_ms=32.9342 kernel_only_ms=9.27968 h2d_ms=11.9698 d2h_ms=11.6847
task_id=7 response_ms=32.5116 kernel_plus_memory_ms=32.3724 kernel_only_ms=9.25286 h2d_ms=11.7721 d2h_ms=11.3475
task_id=8 response_ms=33.0077 kernel_plus_memory_ms=32.8535 kernel_only_ms=9.25642 h2d_ms=11.9336 d2h_ms=11.6635
task_id=9 response_ms=32.0494 kernel_plus_memory_ms=31.9044 kernel_only_ms=9.256 h2d_ms=11.3029 d2h_ms=11.3455
task_id=10 response_ms=32.682 kernel_plus_memory_ms=32.5123 kernel_only_ms=9.25974 h2d_ms=11.9091 d2h_ms=11.3435
task_id=11 response_ms=32.0165 kernel_plus_memory_ms=31.8761 kernel_only_ms=9.25485 h2d_ms=11.3181 d2h_ms=11.3031
task_id=12 response_ms=31.7884 kernel_plus_memory_ms=31.6561 kernel_only_ms=9.25485 h2d_ms=11.0884 d2h_ms=11.3128
task_id=13 response_ms=32.0376 kernel_plus_memory_ms=31.8938 kernel_only_ms=9.25667 h2d_ms=11.3126 d2h_ms=11.3245
