task_id=0 response_ms=34.9401 kernel_plus_memory_ms=34.4328 kernel_only_ms=27.9611 h2d_ms=2.75072 d2h_ms=3.72102
task_id=1 response_ms=33.234 kernel_plus_memory_ms=33.0866 kernel_only_ms=27.4667 h2d_ms=2.79981 d2h_ms=2.82016
task_id=2 response_ms=33.3193 kernel_plus_memory_ms=33.1667 kernel_only_ms=27.4433 h2d_ms=2.89258 d2h_ms=2.83082
task_id=3 response_ms=33.2316 kernel_plus_memory_ms=33.0794 kernel_only_ms=27.4551 h2d_ms=2.81363 d2h_ms=2.81069
task_id=4 response_ms=33.3608 kernel_plus_memory_ms=33.1962 kernel_only_ms=27.5907 h2d_ms=2.81027 d2h_ms=2.79517
task_id=5 response_ms=33.187 kernel_plus_memory_ms=33.0343 kernel_only_ms=27.4483 h2d_ms=2.79165 d2h_ms=2.79443
task_id=6 response_ms=33.3843 kernel_plus_memory_ms=33.2382 kernel_only_ms=27.4674 h2d_ms=2.88029 d2h_ms=2.89046
task_id=7 response_ms=33.1897 kernel_plus_memory_ms=33.0438 kernel_only_ms=27.4491 h2d_ms=2.77834 d2h_ms=2.81638
task_id=8 response_ms=33.1536 kernel_plus_memory_ms=32.9814 kernel_only_ms=27.476 h2d_ms=2.66355 d2h_ms=2.84189
task_id=9 response_ms=33.1541 kernel_plus_memory_ms=33.0096 kernel_only_ms=27.4536 h2d_ms=2.74739 d2h_ms=2.80867
task_id=10 response_ms=33.3471 kernel_plus_memory_ms=33.1846 kernel_only_ms=27.4375 h2d_ms=2.65126 d2h_ms=3.09587
task_id=11 response_ms=33.2247 kernel_plus_memory_ms=33.0645 kernel_only_ms=27.4481 h2d_ms=2.80202 d2h_ms=2.81443
task_id=12 response_ms=33.3797 kernel_plus_memory_ms=33.2284 kernel_only_ms=27.4748 h2d_ms=2.95405 d2h_ms=2.79958
task_id=13 response_ms=33.169 kernel_plus_memory_ms=33.0123 kernel_only_ms=27.4445 h2d_ms=2.74682 d2h_ms=2.82099
task_id=14 response_ms=33.3761 kernel_plus_memory_ms=33.189 kernel_only_ms=27.4693 h2d_ms=2.89994 d2h_ms=2.81974
task_id=15 response_ms=33.3345 kernel_plus_memory_ms=33.1968 kernel_only_ms=27.4667 h2d_ms=2.94774 d2h_ms=2.78237
task_id=16 response_ms=33.1443 kernel_plus_memory_ms=32.9844 kernel_only_ms=27.4619 h2d_ms=2.68333 d2h_ms=2.83914
task_id=17 response_ms=33.1992 kernel_plus_memory_ms=33.0441 kernel_only_ms=27.4663 h2d_ms=2.7961 d2h_ms=2.78173
task_id=18 response_ms=33.2083 kernel_plus_memory_ms=33.0485 kernel_only_ms=27.4577 h2d_ms=2.80886 d2h_ms=2.78192
task_id=19 response_ms=33.1748 kernel_plus_memory_ms=33.0267 kernel_only_ms=27.4521 h2d_ms=2.8049 d2h_ms=2.76963
task_id=20 response_ms=33.2379 kernel_plus_memory_ms=33.0834 kernel_only_ms=27.4761 h2d_ms=2.8335 d2h_ms=2.77379
task_id=21 response_ms=33.2919 kernel_plus_memory_ms=33.1406 kernel_only_ms=27.4699 h2d_ms=2.85014 d2h_ms=2.82058
task_id=22 response_ms=33.5368 kernel_plus_memory_ms=33.3343 kernel_only_ms=27.4681 h2d_ms=3.05984 d2h_ms=2.8063
task_id=23 response_ms=33.2434 kernel_plus_memory_ms=33.0787 kernel_only_ms=27.4597 h2d_ms=2.76266 d2h_ms=2.85635
task_id=24 response_ms=33.1382 kernel_plus_memory_ms=32.993 kernel_only_ms=27.4454 h2d_ms=2.74502 d2h_ms=2.80253
task_id=25 response_ms=33.1667 kernel_plus_memory_ms=33.0179 kernel_only_ms=27.4664 h2d_ms=2.73357 d2h_ms=2.81786
task_id=26 response_ms=33.2318 kernel_plus_memory_ms=33.0844 kernel_only_ms=27.4447 h2d_ms=2.79526 d2h_ms=2.84445
task_id=27 response_ms=33.4117 kernel_plus_memory_ms=33.2527 kernel_only_ms=27.4551 h2d_ms=2.76061 d2h_ms=3.03696
task_id=28 response_ms=33.1136 kernel_plus_memory_ms=32.9682 kernel_only_ms=27.4656 h2d_ms=2.71213 d2h_ms=2.79046
task_id=29 response_ms=33.2239 kernel_plus_memory_ms=33.0651 kernel_only_ms=27.5345 h2d_ms=2.72512 d2h_ms=2.80547
task_id=30 response_ms=33.2101 kernel_plus_memory_ms=33.0579 kernel_only_ms=27.4445 h2d_ms=2.8249 d2h_ms=2.78845
task_id=31 response_ms=33.0998 kernel_plus_memory_ms=32.9546 kernel_only_ms=27.4398 h2d_ms=2.75542 d2h_ms=2.75939
task_id=32 response_ms=33.1618 kernel_plus_memory_ms=33.014 kernel_only_ms=27.4532 h2d_ms=2.7631 d2h_ms=2.79763
task_id=33 response_ms=33.1682 kernel_plus_memory_ms=33.0176 kernel_only_ms=27.4799 h2d_ms=2.76106 d2h_ms=2.77661
task_id=34 response_ms=33.2249 kernel_plus_memory_ms=33.0728 kernel_only_ms=27.4692 h2d_ms=2.81325 d2h_ms=2.7903
task_id=35 response_ms=33.1191 kernel_plus_memory_ms=32.9791 kernel_only_ms=27.443 h2d_ms=2.75443 d2h_ms=2.7816
task_id=36 response_ms=33.1862 kernel_plus_memory_ms=33.0461 kernel_only_ms=27.4568 h2d_ms=2.77677 d2h_ms=2.81258
task_id=37 response_ms=33.1608 kernel_plus_memory_ms=33.0101 kernel_only_ms=27.4869 h2d_ms=2.73446 d2h_ms=2.78877
task_id=38 response_ms=33.1082 kernel_plus_memory_ms=32.9708 kernel_only_ms=27.4583 h2d_ms=2.73322 d2h_ms=2.7793
task_id=39 response_ms=33.4825 kernel_plus_memory_ms=33.2907 kernel_only_ms=27.4741 h2d_ms=2.9969 d2h_ms=2.81971
task_id=40 response_ms=33.121 kernel_plus_memory_ms=32.9783 kernel_only_ms=27.4479 h2d_ms=2.72672 d2h_ms=2.80371
task_id=41 response_ms=33.0507 kernel_plus_memory_ms=32.8962 kernel_only_ms=27.46 h2d_ms=2.63747 d2h_ms=2.79869
task_id=42 response_ms=33.1562 kernel_plus_memory_ms=33.0017 kernel_only_ms=27.4579 h2d_ms=2.76227 d2h_ms=2.78147
task_id=43 response_ms=33.5264 kernel_plus_memory_ms=33.3724 kernel_only_ms=27.4722 h2d_ms=2.84656 d2h_ms=3.05363
task_id=44 response_ms=33.0884 kernel_plus_memory_ms=32.9451 kernel_only_ms=27.4487 h2d_ms=2.70896 d2h_ms=2.78736
task_id=45 response_ms=33.2882 kernel_plus_memory_ms=33.0957 kernel_only_ms=27.4461 h2d_ms=2.64717 d2h_ms=3.00237
task_id=46 response_ms=33.2084 kernel_plus_memory_ms=33.0628 kernel_only_ms=27.488 h2d_ms=2.808 d2h_ms=2.76685
task_id=47 response_ms=33.0647 kernel_plus_memory_ms=32.9286 kernel_only_ms=27.4501 h2d_ms=2.67984 d2h_ms=2.79869
task_id=48 response_ms=33.1935 kernel_plus_memory_ms=33.0254 kernel_only_ms=27.4634 h2d_ms=2.7777 d2h_ms=2.78432
task_id=49 response_ms=33.5484 kernel_plus_memory_ms=33.3685 kernel_only_ms=27.4522 h2d_ms=3.10022 d2h_ms=2.81603
task_id=50 response_ms=33.2476 kernel_plus_memory_ms=33.1031 kernel_only_ms=27.4828 h2d_ms=2.81773 d2h_ms=2.80256
task_id=51 response_ms=33.1399 kernel_plus_memory_ms=32.9843 kernel_only_ms=27.4657 h2d_ms=2.74262 d2h_ms=2.77597
task_id=52 response_ms=33.1499 kernel_plus_memory_ms=33.0005 kernel_only_ms=27.4723 h2d_ms=2.75837 d2h_ms=2.76979
task_id=53 response_ms=33.1351 kernel_plus_memory_ms=32.9857 kernel_only_ms=27.4662 h2d_ms=2.74131 d2h_ms=2.77814
task_id=54 response_ms=33.1612 kernel_plus_memory_ms=33.0215 kernel_only_ms=27.501 h2d_ms=2.7359 d2h_ms=2.78461
task_id=55 response_ms=33.1204 kernel_plus_memory_ms=32.9726 kernel_only_ms=27.4729 h2d_ms=2.69747 d2h_ms=2.80227
