window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.347469,612,-1,5.28,50.5,0
128.568,612,51.8982,5.68,50.468,2
257.366,612,51.0648,5.8,50.343,1
385.133,612,50.925,5.84,50.531,1
512.81,612,51.0337,6.08,50.656,1
640.613,612,50.8155,6.2,50.562,2
769.06,612,50.801,6.169,50.343,1
896.991,612,50.8046,6.209,50.562,1
1024.89,612,50.7157,6.33,50.937,1
1152.88,612,50.7611,6.33,50.593,2
1282.18,612,51.0713,6.249,50.625,1
1410.63,612,50.8616,6.33,50.968,1
1537.94,612,50.8363,6.41,50.687,2
1667,612,50.8131,6.33,50.5,1
1794.69,612,50.8438,6.29,50.718,1
1922.45,612,50.8087,6.37,50.75,1
2050.03,612,50.9875,6.41,50.468,2
2179.02,612,50.8238,6.29,50.75,1
2307.07,612,50.897,6.33,50.593,1
2434.76,612,50.9709,6.41,50.687,2
2562.32,612,50.8539,6.37,50.812,1
2690.94,612,51.0755,6.29,50.437,1
2819.26,612,50.807,6.37,50.906,1
2946.53,612,50.8908,6.41,50.937,2
3075.41,612,50.9197,6.33,50.625,1
3203.82,612,51.1979,6.29,50.812,1
3331.22,612,51.0628,6.41,50.687,1
3458.07,612,50.8528,6.37,50.687,2
3586.65,612,50.7909,6.29,50.562,1
3714.82,612,51.0517,6.33,50.75,1
3842.5,612,50.7974,6.45,50.875,2
3970.51,612,51.0041,6.37,50.531,1
4098.44,612,50.8651,6.29,50.593,1
4227.61,612,50.8395,6.37,50.718,1
4354.52,612,50.8471,6.41,50.625,2
4483.23,612,50.8004,6.33,50.531,1
4611.55,612,51.0893,6.33,50.843,1
4740.14,612,50.8401,6.45,50.968,2
4868.8,612,50.7607,6.37,50.687,1
4997.16,612,50.7885,6.29,50.718,1
5124.81,612,50.9856,6.37,51.125,1
5251.93,612,50.85,6.45,50.718,2
5379.32,612,50.903,6.33,50.718,1
5507.74,612,50.8439,6.29,50.687,1
5635.55,612,50.7178,6.37,50.906,1
5762.52,612,50.8533,6.41,50.531,2
5892.37,612,50.843,6.29,50.656,1
6020.47,612,51.109,6.33,50.75,1
6148.32,612,50.7976,6.45,50.75,2
6276.82,612,50.7924,6.37,50.468,1
6405.19,612,51.2591,6.29,50.625,1
6532.89,612,50.9226,6.37,51.031,1
6660.11,612,50.8338,6.41,50.625,2
6789.54,612,50.8732,6.33,50.625,1
6917.21,612,51.0586,6.29,50.75,1
7046.22,612,50.9683,6.41,50.781,2
7174.08,612,50.8983,6.37,50.625,1
7303.21,612,50.8387,6.29,50.656,1
7431.54,612,50.753,6.37,50.718,1
7558.93,612,50.9117,6.41,50.687,2
7687.11,612,50.7613,6.33,50.843,1
7815.48,612,50.8213,6.29,50.718,1
7943.06,612,50.7351,6.41,50.718,1
8070.09,612,50.9293,6.41,50.968,2
8198.29,612,50.8585,6.33,50.5,1
8327.33,612,50.9629,6.33,51,1
8455.46,612,51.034,6.45,50.656,2
8583.08,612,50.7936,6.37,50.718,1
8711.87,612,50.7995,6.29,50.875,1
8839.37,612,50.6986,6.37,50.875,1
8966.8,612,50.7827,6.45,50.781,2
9095.04,612,50.8503,6.33,50.593,1
9223.41,612,51.0534,6.33,50.843,1
9350.91,612,50.7633,6.41,50.968,1
9478.22,612,50.7893,6.37,50.656,2
9606.64,612,50.8232,6.29,50.625,1
9734.74,612,51.0609,6.37,50.687,1
9862.45,612,50.786,6.45,50.718,2
9990.78,612,50.7721,6.37,50.5,1
10119.1,612,51.2598,6.29,50.625,1
10246.8,612,50.666,6.37,51.187,1
10374,612,50.8964,6.41,50.531,2
10503.7,612,50.8814,6.33,50.718,1
10631.8,612,50.919,6.33,50.812,1
10760.6,612,51.0822,6.45,50.843,2
10889,612,50.92,6.37,50.468,1
11017,612,50.8712,6.29,50.656,1
11145.1,612,50.7913,6.37,50.75,1
11273.3,612,50.7983,6.41,50.687,2
11402.4,612,50.7877,6.33,50.468,1
11530.4,612,51.1305,6.33,50.687,1
11658.7,612,50.9903,6.41,51.031,2
11786.1,612,50.8838,6.41,50.562,1
11913.9,612,50.8629,6.29,50.687,1
12042.2,612,50.7808,6.37,51.062,1
12170,612,50.8134,6.45,50.718,2
12298.9,612,50.8061,6.33,50.718,1
12426.3,612,50.8291,6.29,50.687,1
12554.7,612,51.0703,6.37,50.906,1
12681.6,612,50.7867,6.41,50.593,2
12810.8,612,50.7864,6.29,50.531,1
12938.8,612,50.9087,6.33,50.625,1
13067.1,612,50.8748,6.41,50.656,2
13194.4,612,50.8424,6.37,50.781,1
13323.2,612,50.8719,6.249,50.593,1
13451.5,612,50.7105,6.37,50.812,1
13578.4,612,50.7966,6.41,50.687,2
13706.5,612,50.8383,6.33,50.718,1
13835.4,612,51.2594,6.33,50.968,1
13963.3,612,51.1282,6.41,50.718,1
14090.9,612,51.3678,6.41,50.718,2
14219.1,612,50.78,6.29,50.75,1
14347.4,612,50.7739,6.33,50.843,1
14474.8,612,50.9802,6.45,50.937,2
