task_id=0 response_ms=37.9419 kernel_plus_memory_ms=37.4314 kernel_only_ms=31.0043 h2d_ms=2.70736 d2h_ms=3.71974
task_id=1 response_ms=36.1528 kernel_plus_memory_ms=36.0077 kernel_only_ms=30.4287 h2d_ms=2.7287 d2h_ms=2.85037
task_id=2 response_ms=36.0891 kernel_plus_memory_ms=35.9575 kernel_only_ms=30.4514 h2d_ms=2.67587 d2h_ms=2.83024
task_id=3 response_ms=36.0885 kernel_plus_memory_ms=35.9571 kernel_only_ms=30.4302 h2d_ms=2.66704 d2h_ms=2.85978
task_id=4 response_ms=36.2314 kernel_plus_memory_ms=36.0895 kernel_only_ms=30.4761 h2d_ms=2.77155 d2h_ms=2.84189
task_id=5 response_ms=35.9809 kernel_plus_memory_ms=35.8613 kernel_only_ms=30.4249 h2d_ms=2.58851 d2h_ms=2.84794
task_id=6 response_ms=36.4684 kernel_plus_memory_ms=36.3433 kernel_only_ms=30.4238 h2d_ms=2.61184 d2h_ms=3.30768
task_id=7 response_ms=36.0839 kernel_plus_memory_ms=35.9391 kernel_only_ms=30.4275 h2d_ms=2.65478 d2h_ms=2.8568
task_id=8 response_ms=36.2624 kernel_plus_memory_ms=36.1264 kernel_only_ms=30.4615 h2d_ms=2.8328 d2h_ms=2.83206
task_id=9 response_ms=35.9443 kernel_plus_memory_ms=35.8193 kernel_only_ms=30.4483 h2d_ms=2.53283 d2h_ms=2.83818
task_id=10 response_ms=36.0003 kernel_plus_memory_ms=35.871 kernel_only_ms=30.4484 h2d_ms=2.59034 d2h_ms=2.83232
task_id=11 response_ms=35.9547 kernel_plus_memory_ms=35.8293 kernel_only_ms=30.4247 h2d_ms=2.61757 d2h_ms=2.78698
task_id=12 response_ms=36.0779 kernel_plus_memory_ms=35.945 kernel_only_ms=30.4642 h2d_ms=2.65658 d2h_ms=2.82419
task_id=13 response_ms=35.9345 kernel_plus_memory_ms=35.7834 kernel_only_ms=30.4323 h2d_ms=2.5503 d2h_ms=2.80083
task_id=14 response_ms=35.9776 kernel_plus_memory_ms=35.8376 kernel_only_ms=30.4293 h2d_ms=2.55818 d2h_ms=2.85011
task_id=15 response_ms=36.23 kernel_plus_memory_ms=36.1048 kernel_only_ms=30.4087 h2d_ms=2.62522 d2h_ms=3.07091
task_id=16 response_ms=35.9974 kernel_plus_memory_ms=35.8519 kernel_only_ms=30.4254 h2d_ms=2.616 d2h_ms=2.8105
task_id=17 response_ms=36.0215 kernel_plus_memory_ms=35.8625 kernel_only_ms=30.4425 h2d_ms=2.60118 d2h_ms=2.81885
task_id=18 response_ms=35.9488 kernel_plus_memory_ms=35.8003 kernel_only_ms=30.4241 h2d_ms=2.54618 d2h_ms=2.83002
task_id=19 response_ms=35.961 kernel_plus_memory_ms=35.8369 kernel_only_ms=30.431 h2d_ms=2.59731 d2h_ms=2.80861
task_id=20 response_ms=35.9395 kernel_plus_memory_ms=35.7935 kernel_only_ms=30.4227 h2d_ms=2.57078 d2h_ms=2.79997
task_id=21 response_ms=36.037 kernel_plus_memory_ms=35.9029 kernel_only_ms=30.4078 h2d_ms=2.61507 d2h_ms=2.88
task_id=22 response_ms=36.0294 kernel_plus_memory_ms=35.8686 kernel_only_ms=30.4407 h2d_ms=2.59712 d2h_ms=2.83078
task_id=23 response_ms=36.0024 kernel_plus_memory_ms=35.8734 kernel_only_ms=30.468 h2d_ms=2.5793 d2h_ms=2.82611
task_id=24 response_ms=35.946 kernel_plus_memory_ms=35.8228 kernel_only_ms=30.4419 h2d_ms=2.55088 d2h_ms=2.83005
task_id=25 response_ms=36.0495 kernel_plus_memory_ms=35.9205 kernel_only_ms=30.4685 h2d_ms=2.58816 d2h_ms=2.8639
task_id=26 response_ms=36.2421 kernel_plus_memory_ms=36.103 kernel_only_ms=30.4227 h2d_ms=2.62099 d2h_ms=3.05936
task_id=27 response_ms=36.0693 kernel_plus_memory_ms=35.9357 kernel_only_ms=30.4329 h2d_ms=2.50906 d2h_ms=2.99373
task_id=28 response_ms=35.9492 kernel_plus_memory_ms=35.805 kernel_only_ms=30.438 h2d_ms=2.56851 d2h_ms=2.79846
task_id=29 response_ms=36.1626 kernel_plus_memory_ms=36.0399 kernel_only_ms=30.441 h2d_ms=2.78637 d2h_ms=2.81251
task_id=30 response_ms=36.0411 kernel_plus_memory_ms=35.9122 kernel_only_ms=30.4208 h2d_ms=2.65277 d2h_ms=2.83866
task_id=31 response_ms=36.1839 kernel_plus_memory_ms=36.0526 kernel_only_ms=30.4232 h2d_ms=2.61472 d2h_ms=3.01475
task_id=32 response_ms=35.951 kernel_plus_memory_ms=35.8197 kernel_only_ms=30.4194 h2d_ms=2.53587 d2h_ms=2.86448
task_id=33 response_ms=35.9818 kernel_plus_memory_ms=35.851 kernel_only_ms=30.439 h2d_ms=2.60832 d2h_ms=2.80374
task_id=34 response_ms=36.0007 kernel_plus_memory_ms=35.8767 kernel_only_ms=30.4188 h2d_ms=2.63728 d2h_ms=2.82061
task_id=35 response_ms=36.0631 kernel_plus_memory_ms=35.928 kernel_only_ms=30.4286 h2d_ms=2.64995 d2h_ms=2.84941
task_id=36 response_ms=36.1151 kernel_plus_memory_ms=35.9745 kernel_only_ms=30.4355 h2d_ms=2.70842 d2h_ms=2.83062
task_id=37 response_ms=36.0032 kernel_plus_memory_ms=35.8748 kernel_only_ms=30.4481 h2d_ms=2.60896 d2h_ms=2.81766
task_id=38 response_ms=36.0373 kernel_plus_memory_ms=35.912 kernel_only_ms=30.4297 h2d_ms=2.64042 d2h_ms=2.84192
task_id=39 response_ms=36.1881 kernel_plus_memory_ms=36.0686 kernel_only_ms=30.4392 h2d_ms=2.62726 d2h_ms=3.00218
task_id=40 response_ms=35.9878 kernel_plus_memory_ms=35.8575 kernel_only_ms=30.4255 h2d_ms=2.62496 d2h_ms=2.80698
task_id=41 response_ms=36.1321 kernel_plus_memory_ms=35.9958 kernel_only_ms=30.4412 h2d_ms=2.73629 d2h_ms=2.8183
task_id=42 response_ms=35.9883 kernel_plus_memory_ms=35.8716 kernel_only_ms=30.4251 h2d_ms=2.62211 d2h_ms=2.82442
task_id=43 response_ms=35.9972 kernel_plus_memory_ms=35.8744 kernel_only_ms=30.4456 h2d_ms=2.57462 d2h_ms=2.85424
task_id=44 response_ms=35.999 kernel_plus_memory_ms=35.8644 kernel_only_ms=30.4303 h2d_ms=2.588 d2h_ms=2.84611
task_id=45 response_ms=36.1168 kernel_plus_memory_ms=35.9769 kernel_only_ms=30.4282 h2d_ms=2.69338 d2h_ms=2.85539
task_id=46 response_ms=35.9969 kernel_plus_memory_ms=35.8772 kernel_only_ms=30.4286 h2d_ms=2.60355 d2h_ms=2.84502
