window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.457509,1020,9.90225,6.18,52.187,1
128.255,1020,8.97162,6.02,51.937,1
256.191,1020,4.38248,5.901,52,1
384.008,1020,4.08356,5.781,51.937,2
512.596,1020,3.98241,5.741,52.062,1
640.941,1020,4.01031,5.701,52.187,1
768.675,1020,3.98238,5.661,51.906,1
896.447,1020,3.9363,5.621,52.093,2
1023.99,1020,3.99943,5.621,52.187,1
1151.45,1020,4.00203,5.582,51.875,1
1278.96,1020,4.04091,5.582,52.093,1
1407.19,1020,4.16593,5.582,52.187,2
1534.42,1020,3.9892,5.582,52.062,1
1662.26,1020,3.98971,5.582,52.187,1
1790.36,1020,3.86311,5.582,51.968,2
1918.18,1020,3.91342,5.582,52.062,1
2047.58,1020,4.18513,5.582,51.906,1
2176.31,1020,3.96382,5.582,52.187,1
2304.57,1020,4.28009,5.582,51.875,2
2433.21,1020,4.0019,5.582,52.156,1
2560.95,1020,3.98302,5.582,52.218,1
2688.41,1020,3.92518,5.542,52.062,2
2816.98,1020,3.99143,5.582,52.125,1
2945.48,1020,3.95211,5.542,52.031,1
3073.69,1020,3.99019,5.542,52.031,1
3201.41,1020,4.13435,5.582,51.843,2
3330.17,1020,3.95665,5.582,51.843,1
3457.85,1020,3.94593,5.542,51.843,1
3585.73,1020,4.09148,5.542,51.906,2
3713.58,1020,3.90404,5.582,51.781,1
3841.46,1020,3.95937,5.542,51.812,1
3971.04,1020,4.11246,5.582,52.125,1
4099.42,1020,4.32814,5.582,51.968,2
4227.42,1020,3.95915,5.582,52.031,1
4354.76,1020,3.9604,5.582,52.125,1
4482.68,1020,4.02907,5.582,51.906,1
4610.26,1020,3.99207,5.582,51.875,2
4739.95,1020,3.98107,5.582,51.906,1
4868.44,1020,4.01166,5.542,51.968,1
4995.35,1020,4.13113,5.542,51.843,2
5123.9,1020,3.92721,5.542,51.937,1
5251.1,1020,4.00731,5.542,51.812,1
