window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.729844,306,-1,5.382,49.875,0
128.343,306,77.4029,5.551,50,1
255.295,306,77.1153,5.71,49.968,2
383.02,306,77.0552,5.71,49.75,1
512.231,306,77.3053,5.79,49.843,1
639.455,306,77.1515,5.87,49.937,1
767.991,306,77.1199,5.87,49.812,2
896.608,306,77.0749,5.88,49.875,1
1024.11,306,77.0413,5.92,49.812,1
1150.92,306,77.076,5.96,49.875,1
1277.98,306,77.0468,5.92,49.812,2
1405.67,306,77.0331,5.92,49.812,1
1532.86,306,77.0143,5.96,49.812,1
1659.19,306,77.0276,5.96,49.843,2
1785.9,306,77.0361,5.92,49.937,1
1912.89,306,77.0313,5.92,50.125,1
2039.76,306,77.0362,5.96,49.843,1
2166.52,306,77.0158,6,49.968,2
2295.09,306,77.0233,5.92,50.093,1
2421.94,306,77.0328,5.96,49.812,1
2548.15,306,77.0392,6,49.812,1
2674.75,306,77.0355,5.96,50.062,2
2803.55,306,77.0792,5.96,49.812,1
2931.72,306,77.0921,5.96,50.062,1
3058.4,306,77.118,6,50.156,2
3186.18,306,77.0341,5.96,49.906,1
3314.78,306,77.0586,5.96,50,1
3441.99,306,77.0551,5.96,49.812,1
3568.12,306,77.0451,6,49.781,2
3695.81,306,77.0409,5.92,50.062,1
3826.09,306,77.045,5.96,49.812,1
3952.16,306,77.0553,5.96,50,1
4078.78,306,77.0334,5.96,50.062,2
4206.79,306,77.0342,5.96,49.875,1
4334.15,306,77.0355,5.96,49.875,1
4460.12,306,77.0912,6,50.218,2
4587.71,306,77.0377,5.92,49.781,1
4716.87,306,77.1208,5.92,49.906,1
4843.96,306,77.1249,5.96,50.187,1
4970.65,306,77.0829,5.96,49.843,2
5098.81,306,77.0745,5.92,50.093,1
5226.01,306,77.0378,5.96,49.75,1
5352.2,306,77.0158,5.96,49.812,1
5479.22,306,77.0137,5.96,49.812,2
5607.2,306,77.0583,5.92,49.812,1
5735.59,306,77.0578,5.96,49.812,1
5862.37,306,77.1082,6,50.125,2
5990.42,306,77.0557,5.92,49.781,1
6119.87,306,77.0339,5.96,50.031,1
6247.02,306,77.0535,5.96,50.187,1
6374.02,306,76.9984,6,49.75,2
6501.15,306,77.0402,5.92,49.968,1
6629.29,306,77.0329,5.96,50.125,1
6755.83,306,77.0164,6,49.781,1
6882.34,306,77.0074,5.96,49.812,2
7009.58,306,77.0037,5.92,49.968,1
7136.95,306,77.0206,5.96,50.031,1
7263.11,306,77.0359,6,49.781,2
7390.11,306,76.9965,5.96,49.843,1
7517.78,306,77.0097,5.96,50.062,1
7644.68,306,77.0049,5.96,49.875,1
7771.61,306,77.0096,6,49.906,2
7899.16,306,76.9811,5.92,49.968,1
8026.87,306,77.0292,5.96,49.812,1
8153.95,306,77.0269,5.96,50,1
8280.05,306,77.0227,6,50.031,2
8408.68,306,77.0318,5.92,49.875,1
8536.69,306,77.0141,5.96,49.875,1
8662.97,306,77.0266,6,50.031,1
8789.88,306,77.0078,5.96,49.781,2
8917.52,306,77.0002,5.92,49.968,1
9045.43,306,77.0546,5.96,50.156,1
9171.49,306,76.9994,6,49.687,2
9299.31,306,77.0051,5.92,49.906,1
9427.01,306,76.9976,5.96,50.187,1
9553.77,306,77.0145,5.96,49.843,1
9680.09,306,76.9908,6,49.781,2
9806.83,306,76.9779,5.92,49.906,1
9934.6,306,77.0252,5.96,49.843,1
10062.9,306,76.9883,6,49.843,1
10189.9,306,77.0131,5.96,49.843,2
10317.3,306,77.006,5.96,49.875,1
10444.8,306,77.0243,5.96,49.843,1
10571,306,77.0206,6,49.875,2
10698,306,77.031,5.92,49.75,1
10827.4,306,77.0748,5.92,49.781,1
10954.6,306,76.9979,5.96,49.968,1
11080.7,306,76.9902,6,49.968,2
11207.8,306,76.9803,5.92,49.843,1
11334.8,306,77.0449,5.96,49.968,1
11461.4,306,77.0182,6,50.031,1
11590.5,306,77.0151,5.96,49.781,2
11720,306,76.9685,5.96,49.812,1
11849.3,306,77.0753,5.96,49.781,1
11976.2,306,77.1033,6,49.718,2
12104.8,306,77.0388,5.92,49.875,1
12233.3,306,77.0802,5.96,50.093,1
12359.6,306,77.0538,6,49.75,1
12486.6,306,77.0297,6,49.843,2
12614.2,306,77.0688,5.92,50.093,1
12741.6,306,77.0124,5.96,49.781,1
12867.9,306,77.0362,6,49.812,1
12994.4,306,77.0441,5.96,50.062,2
13124,306,77.0669,5.92,49.812,1
13251.9,306,77.0047,5.96,49.812,1
13378.6,306,77.0203,6,49.906,2
13506,306,76.9985,5.92,49.718,1
13634.3,306,77.0271,5.96,49.812,1
13761.9,306,77.0377,5.96,49.75,1
13888.3,306,77.0248,6,49.812,2
14016.5,306,77.0051,5.92,49.843,1
14143.3,306,77.0096,5.96,49.906,1
14270,306,77.0183,5.96,50,1
14396.1,306,77.0306,5.96,49.812,2
14525,306,77.0521,5.92,49.875,1
14652.5,306,77.027,5.96,49.75,1
14779.4,306,77.0197,6,49.906,2
14906.9,306,76.995,5.92,49.718,1
15037.2,306,77.0583,5.92,49.781,1
15164.1,306,77.0397,5.96,49.812,1
15290.3,306,77.0103,5.96,49.906,2
15417,306,77.0277,5.92,49.75,1
15544.6,306,77.0209,5.96,49.843,1
15671,306,77.0172,5.96,49.968,1
15797.8,306,76.9933,5.96,49.75,2
15926.4,306,77.1272,5.92,49.843,1
16054.1,306,77.0052,5.96,49.937,1
16180.3,306,77.03,6,50.125,2
16307.1,306,77.0074,5.92,49.875,1
