task_id=0 response_ms=27.4247 kernel_plus_memory_ms=26.9388 kernel_only_ms=26.8262 h2d_ms=0.053248 d2h_ms=0.059424
task_id=1 response_ms=26.5329 kernel_plus_memory_ms=26.4175 kernel_only_ms=25.9678 h2d_ms=0.383392 d2h_ms=0.066336
task_id=2 response_ms=26.5293 kernel_plus_memory_ms=26.4082 kernel_only_ms=25.9575 h2d_ms=0.397376 d2h_ms=0.053248
task_id=3 response_ms=26.508 kernel_plus_memory_ms=26.394 kernel_only_ms=25.9541 h2d_ms=0.384928 d2h_ms=0.054912
task_id=4 response_ms=26.5122 kernel_plus_memory_ms=26.404 kernel_only_ms=25.9703 h2d_ms=0.372576 d2h_ms=0.06112
task_id=5 response_ms=26.5502 kernel_plus_memory_ms=26.4268 kernel_only_ms=25.9582 h2d_ms=0.37712 d2h_ms=0.09152
task_id=6 response_ms=26.5142 kernel_plus_memory_ms=26.3962 kernel_only_ms=25.9495 h2d_ms=0.391968 d2h_ms=0.054688
task_id=7 response_ms=26.5123 kernel_plus_memory_ms=26.3919 kernel_only_ms=25.9487 h2d_ms=0.386048 d2h_ms=0.057152
task_id=8 response_ms=26.5227 kernel_plus_memory_ms=26.4143 kernel_only_ms=25.9821 h2d_ms=0.377824 d2h_ms=0.054336
task_id=9 response_ms=26.5539 kernel_plus_memory_ms=26.4387 kernel_only_ms=25.9599 h2d_ms=0.415872 d2h_ms=0.062912
task_id=10 response_ms=26.4881 kernel_plus_memory_ms=26.3815 kernel_only_ms=25.9448 h2d_ms=0.375392 d2h_ms=0.061312
task_id=11 response_ms=26.4623 kernel_plus_memory_ms=26.3645 kernel_only_ms=25.9414 h2d_ms=0.373696 d2h_ms=0.049376
task_id=12 response_ms=26.4895 kernel_plus_memory_ms=26.3926 kernel_only_ms=25.9626 h2d_ms=0.378656 d2h_ms=0.051392
task_id=13 response_ms=26.4914 kernel_plus_memory_ms=26.3842 kernel_only_ms=25.9491 h2d_ms=0.384704 d2h_ms=0.050368
task_id=14 response_ms=26.4811 kernel_plus_memory_ms=26.3601 kernel_only_ms=25.9322 h2d_ms=0.3832 d2h_ms=0.044704
task_id=15 response_ms=26.5351 kernel_plus_memory_ms=26.4122 kernel_only_ms=25.965 h2d_ms=0.388896 d2h_ms=0.058304
task_id=16 response_ms=26.4706 kernel_plus_memory_ms=26.3677 kernel_only_ms=25.9396 h2d_ms=0.378656 d2h_ms=0.04944
task_id=17 response_ms=26.4898 kernel_plus_memory_ms=26.389 kernel_only_ms=25.9565 h2d_ms=0.381312 d2h_ms=0.051136
task_id=18 response_ms=26.4966 kernel_plus_memory_ms=26.3804 kernel_only_ms=25.9559 h2d_ms=0.366144 d2h_ms=0.058368
task_id=19 response_ms=26.5159 kernel_plus_memory_ms=26.3954 kernel_only_ms=25.9388 h2d_ms=0.370368 d2h_ms=0.08624
task_id=20 response_ms=26.4853 kernel_plus_memory_ms=26.384 kernel_only_ms=25.9542 h2d_ms=0.385376 d2h_ms=0.044416
task_id=21 response_ms=26.5259 kernel_plus_memory_ms=26.3969 kernel_only_ms=25.9576 h2d_ms=0.388544 d2h_ms=0.050688
task_id=22 response_ms=26.5115 kernel_plus_memory_ms=26.3829 kernel_only_ms=25.9454 h2d_ms=0.371776 d2h_ms=0.065728
task_id=23 response_ms=26.5266 kernel_plus_memory_ms=26.4053 kernel_only_ms=25.9598 h2d_ms=0.38096 d2h_ms=0.064576
task_id=24 response_ms=26.5457 kernel_plus_memory_ms=26.4124 kernel_only_ms=25.9421 h2d_ms=0.381152 d2h_ms=0.08912
task_id=25 response_ms=26.4777 kernel_plus_memory_ms=26.37 kernel_only_ms=25.945 h2d_ms=0.376896 d2h_ms=0.048096
task_id=26 response_ms=26.4957 kernel_plus_memory_ms=26.3749 kernel_only_ms=25.9449 h2d_ms=0.380416 d2h_ms=0.0496
task_id=27 response_ms=26.4725 kernel_plus_memory_ms=26.3563 kernel_only_ms=25.9362 h2d_ms=0.372704 d2h_ms=0.047328
task_id=28 response_ms=26.4986 kernel_plus_memory_ms=26.3924 kernel_only_ms=25.9333 h2d_ms=0.400384 d2h_ms=0.058784
task_id=29 response_ms=26.4945 kernel_plus_memory_ms=26.3883 kernel_only_ms=25.953 h2d_ms=0.372352 d2h_ms=0.062944
task_id=30 response_ms=26.4805 kernel_plus_memory_ms=26.3744 kernel_only_ms=25.948 h2d_ms=0.379712 d2h_ms=0.04672
task_id=31 response_ms=26.4696 kernel_plus_memory_ms=26.3702 kernel_only_ms=25.945 h2d_ms=0.376928 d2h_ms=0.048256
task_id=32 response_ms=26.4429 kernel_plus_memory_ms=26.343 kernel_only_ms=25.9192 h2d_ms=0.37632 d2h_ms=0.047424
task_id=33 response_ms=26.4463 kernel_plus_memory_ms=26.3564 kernel_only_ms=25.942 h2d_ms=0.361568 d2h_ms=0.052832
task_id=34 response_ms=26.4449 kernel_plus_memory_ms=26.3592 kernel_only_ms=25.944 h2d_ms=0.372128 d2h_ms=0.04304
task_id=35 response_ms=26.4416 kernel_plus_memory_ms=26.3498 kernel_only_ms=25.9406 h2d_ms=0.365504 d2h_ms=0.043712
task_id=36 response_ms=26.4519 kernel_plus_memory_ms=26.3435 kernel_only_ms=25.9351 h2d_ms=0.361088 d2h_ms=0.047296
