task_id=0 response_ms=47.217 kernel_plus_memory_ms=46.9889 kernel_only_ms=43.5074 h2d_ms=1.22163 d2h_ms=2.25987
task_id=1 response_ms=44.5065 kernel_plus_memory_ms=44.3889 kernel_only_ms=41.8006 h2d_ms=1.20333 d2h_ms=1.38496
task_id=2 response_ms=44.6957 kernel_plus_memory_ms=44.5665 kernel_only_ms=41.7958 h2d_ms=1.21962 d2h_ms=1.55107
task_id=3 response_ms=44.4721 kernel_plus_memory_ms=44.3695 kernel_only_ms=41.7848 h2d_ms=1.18982 d2h_ms=1.39488
task_id=4 response_ms=44.4364 kernel_plus_memory_ms=44.326 kernel_only_ms=41.7864 h2d_ms=1.16406 d2h_ms=1.37555
task_id=5 response_ms=44.5423 kernel_plus_memory_ms=44.4168 kernel_only_ms=41.8101 h2d_ms=1.24038 d2h_ms=1.3663
task_id=6 response_ms=44.4993 kernel_plus_memory_ms=44.3879 kernel_only_ms=41.7852 h2d_ms=1.20768 d2h_ms=1.39507
task_id=7 response_ms=44.6237 kernel_plus_memory_ms=44.4645 kernel_only_ms=41.7751 h2d_ms=1.30602 d2h_ms=1.38342
task_id=8 response_ms=44.4338 kernel_plus_memory_ms=44.3254 kernel_only_ms=41.7832 h2d_ms=1.17408 d2h_ms=1.36813
task_id=9 response_ms=44.4385 kernel_plus_memory_ms=44.3313 kernel_only_ms=41.8057 h2d_ms=1.13322 d2h_ms=1.39242
task_id=10 response_ms=44.3874 kernel_plus_memory_ms=44.2943 kernel_only_ms=41.7852 h2d_ms=1.1337 d2h_ms=1.37542
task_id=11 response_ms=44.4246 kernel_plus_memory_ms=44.3057 kernel_only_ms=41.7843 h2d_ms=1.13248 d2h_ms=1.38893
task_id=12 response_ms=44.4375 kernel_plus_memory_ms=44.3373 kernel_only_ms=41.7933 h2d_ms=1.16547 d2h_ms=1.37853
task_id=13 response_ms=44.3809 kernel_plus_memory_ms=44.2874 kernel_only_ms=41.7799 h2d_ms=1.10915 d2h_ms=1.39834
task_id=14 response_ms=44.6232 kernel_plus_memory_ms=44.4929 kernel_only_ms=41.81 h2d_ms=1.30979 d2h_ms=1.37309
task_id=15 response_ms=44.4338 kernel_plus_memory_ms=44.3274 kernel_only_ms=41.7913 h2d_ms=1.16691 d2h_ms=1.36918
task_id=16 response_ms=44.7373 kernel_plus_memory_ms=44.5985 kernel_only_ms=41.7851 h2d_ms=1.42451 d2h_ms=1.3889
task_id=17 response_ms=44.4693 kernel_plus_memory_ms=44.3594 kernel_only_ms=41.7802 h2d_ms=1.19696 d2h_ms=1.38227
task_id=18 response_ms=44.5106 kernel_plus_memory_ms=44.3916 kernel_only_ms=41.8105 h2d_ms=1.16371 d2h_ms=1.41741
task_id=19 response_ms=44.4971 kernel_plus_memory_ms=44.3941 kernel_only_ms=41.7891 h2d_ms=1.18522 d2h_ms=1.41981
task_id=20 response_ms=44.4718 kernel_plus_memory_ms=44.3779 kernel_only_ms=41.7865 h2d_ms=1.16211 d2h_ms=1.42934
task_id=21 response_ms=44.4777 kernel_plus_memory_ms=44.372 kernel_only_ms=41.764 h2d_ms=1.20374 d2h_ms=1.40426
task_id=22 response_ms=44.4136 kernel_plus_memory_ms=44.3072 kernel_only_ms=41.8028 h2d_ms=1.11232 d2h_ms=1.39206
task_id=23 response_ms=44.7076 kernel_plus_memory_ms=44.5877 kernel_only_ms=41.7902 h2d_ms=1.27162 d2h_ms=1.52589
task_id=24 response_ms=44.845 kernel_plus_memory_ms=44.7059 kernel_only_ms=41.7837 h2d_ms=1.18096 d2h_ms=1.74118
task_id=25 response_ms=44.446 kernel_plus_memory_ms=44.3093 kernel_only_ms=41.7794 h2d_ms=1.10762 d2h_ms=1.4223
task_id=26 response_ms=44.4521 kernel_plus_memory_ms=44.3308 kernel_only_ms=41.7728 h2d_ms=1.15613 d2h_ms=1.40182
task_id=27 response_ms=44.8552 kernel_plus_memory_ms=44.6841 kernel_only_ms=41.8143 h2d_ms=1.33469 d2h_ms=1.53507
task_id=28 response_ms=44.4447 kernel_plus_memory_ms=44.33 kernel_only_ms=41.782 h2d_ms=1.16573 d2h_ms=1.38218
task_id=29 response_ms=44.4049 kernel_plus_memory_ms=44.3045 kernel_only_ms=41.7861 h2d_ms=1.13117 d2h_ms=1.38723
task_id=30 response_ms=44.8507 kernel_plus_memory_ms=44.6983 kernel_only_ms=41.7858 h2d_ms=1.17411 d2h_ms=1.73846
task_id=31 response_ms=44.4668 kernel_plus_memory_ms=44.3406 kernel_only_ms=41.8156 h2d_ms=1.13216 d2h_ms=1.39283
task_id=32 response_ms=44.4107 kernel_plus_memory_ms=44.2934 kernel_only_ms=41.785 h2d_ms=1.11638 d2h_ms=1.39206
task_id=33 response_ms=44.5027 kernel_plus_memory_ms=44.3774 kernel_only_ms=41.7742 h2d_ms=1.20118 d2h_ms=1.40205
task_id=34 response_ms=44.5339 kernel_plus_memory_ms=44.3979 kernel_only_ms=41.7767 h2d_ms=1.16003 d2h_ms=1.46122
task_id=35 response_ms=44.4664 kernel_plus_memory_ms=44.3482 kernel_only_ms=41.7952 h2d_ms=1.1776 d2h_ms=1.37542
task_id=36 response_ms=44.4999 kernel_plus_memory_ms=44.3806 kernel_only_ms=41.7836 h2d_ms=1.1409 d2h_ms=1.4561
task_id=37 response_ms=44.5029 kernel_plus_memory_ms=44.3819 kernel_only_ms=41.7766 h2d_ms=1.20618 d2h_ms=1.3991
