window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.154365,816,-1,5.488,50.343,0
227.529,816,35.9229,6.669,50.562,3
455.927,816,35.0808,7.057,50.343,2
683.775,816,35.1034,7.165,50.656,2
911.504,816,35.0176,7.682,50.812,3
1139.42,816,35.004,7.762,50.593,2
1367.61,816,35.0174,7.643,50.343,2
1595.5,816,35.0193,7.682,50.812,2
1823.75,816,35.1143,8.028,51.093,3
2051.7,816,35.0097,7.829,50.656,2
2280.01,816,35.0343,7.682,50.718,2
2508.23,816,35.0638,7.869,51.125,2
2735.57,816,35.0149,7.988,51.093,3
2964.04,816,34.9851,7.789,50.656,2
3192.09,816,34.9869,7.603,50.843,2
3420.14,816,35.0584,7.988,51.156,3
3647.7,816,34.9932,7.909,50.906,2
3876.34,816,35.0059,7.71,50.625,2
4104.33,816,35.0233,7.75,51.25,2
4331.95,816,35.0333,8.028,50.937,3
4559.91,816,35.0331,7.829,50.937,2
4787.92,816,35.0379,7.643,50.843,2
5015.55,816,34.995,7.869,51.25,2
5243.67,816,35.0337,7.948,51.062,3
5471.08,816,34.9938,7.75,50.75,2
5699.27,816,35.0605,7.643,51.281,2
5927.43,816,35.0419,7.988,51.593,3
6155.41,816,34.9773,7.909,51.218,2
6384.41,816,35.0023,7.71,51.125,2
6612.07,816,35.0451,7.75,51.25,2
6839.79,816,35.0126,8.028,51.062,3
7068.09,816,35.0022,7.829,50.937,2
7295.31,816,35.0078,7.643,50.906,2
7523.42,816,34.9746,7.909,51.406,2
7751.41,816,35.0262,7.948,51.218,3
7979.3,816,35.0736,7.75,50.875,2
8206.43,816,34.9918,7.63,51.375,2
8433.74,816,34.9783,8.028,51.281,3
8662.22,816,34.9668,7.869,51.187,2
8889.68,816,35.0128,7.722,51.218,2
9117.16,816,35.154,7.789,51.406,2
9345.97,816,35.0891,7.988,51.562,3
9574.38,816,34.9952,7.829,51.062,2
9801.88,816,35.0251,7.682,51.406,2
10029.8,816,35.0156,7.909,51.531,2
10257.6,816,34.988,7.948,51.312,3
10485.8,816,35.0064,7.75,51.031,2
10714.3,816,35.0419,7.722,51.531,2
10942.8,816,35.0107,8.068,51.375,3
11171.1,816,34.9802,7.869,51.218,2
11399.5,816,35.0168,7.67,51.031,2
11626.7,816,35.1194,7.829,51.718,2
11855.5,816,35.0752,7.988,51.281,3
12083.4,816,34.9958,7.789,51.156,2
12310.9,816,34.9936,7.643,51.5,2
12539.1,816,35.0476,7.988,51.656,3
12766.6,816,34.9757,7.909,51.531,2
12995.3,816,35.0694,7.75,51.187,2
13224.2,816,35.0522,7.789,51.875,2
13452.5,816,35.0336,8.028,51.562,3
13679.7,816,35.0192,7.829,51.25,2
13907.4,816,35.0785,7.67,51.187,2
14135.4,816,35.0316,7.909,51.843,2
14362.5,816,35.0386,7.948,51.406,3
14591.4,816,35.0376,7.789,51.343,2
14819.6,816,35.0975,7.67,51.562,2
15047.4,816,35.0601,8.028,51.843,3
15275.4,816,34.9939,7.909,51.562,2
15503.3,816,35.0352,7.71,51.218,2
15732.2,816,35.3962,7.829,51.937,2
15960.1,816,35.094,8.028,51.531,3
16188.1,816,35.0759,7.829,51.562,2
16415.7,816,35.0548,7.643,51.468,2
16644.2,816,35.0118,7.948,52.156,3
16871.7,816,35.006,7.948,51.75,2
17099.3,816,35.0714,7.75,51.375,2
17328.1,816,35.0495,7.722,52.093,2
17555.7,816,35.0518,8.068,51.812,3
17784.1,816,34.9888,7.869,51.406,2
18011.5,816,35.0854,7.722,51.531,2
18239.9,816,35.1425,7.869,52.093,2
18467.5,816,34.9849,7.988,51.656,3
18696.6,816,35.0132,7.789,51.593,2
18923.9,816,34.9968,7.643,51.625,2
19151.6,816,35.1088,7.988,52.062,3
19379.8,816,35.0302,7.909,51.593,2
19608.6,816,35.0381,7.71,51.625,2
19836.8,816,35.0078,7.75,52.031,2
20064.5,816,35.1326,8.028,51.781,3
20292.5,816,35.0569,7.829,51.718,2
20520.4,816,35.0257,7.682,51.625,2
20747.9,816,34.9896,7.869,52.343,2
20975.4,816,34.9834,7.948,51.75,3
21203.9,816,35.0812,7.829,51.937,2
21431.6,816,35.0585,7.682,51.843,2
21658.8,816,35.0063,8.028,52.062,3
21886.8,816,34.9807,7.909,51.656,2
22114.9,816,35.0075,7.722,51.687,2
22343.2,816,35.1449,7.789,52.125,2
22571.1,816,35.161,8.028,51.968,3
22799.5,816,35.0309,7.829,51.843,2
23026.8,816,35.0237,7.643,51.656,2
23255.8,816,35.0714,7.948,52.437,3
23484.6,816,35.0097,7.948,51.937,2
23714,816,35.052,7.75,51.843,2
23941.5,816,35.0421,7.71,52.125,2
24168.7,816,35.016,8.068,52.281,3
24396,816,35.0342,7.869,52.093,2
24623.2,816,35.0051,7.71,51.687,2
24852.2,816,35.059,7.869,52.187,2
25079.4,816,34.9912,7.988,51.968,3
25309.6,816,35.0318,7.789,51.687,2
25537.9,816,35.0104,7.63,52.062,2
25765.8,816,35.0291,7.988,52.156,3
25994.1,816,35.0272,7.909,52.031,2
26221.3,816,35.054,7.71,51.687,2
26449.1,816,35.068,7.75,52.187,2
26676.4,816,35.0242,8.068,52.281,3
26903.9,816,35.0373,7.869,51.906,2
27132.1,816,35.0138,7.722,51.968,2
27360.3,816,35.0535,7.869,52.531,2
27587.5,816,35.0356,7.988,52.062,3
27815.5,816,35.0533,7.842,52.187,2
28043.1,816,35.0061,7.643,52.125,2
28270.8,816,35.0878,7.988,52.625,3
28499.9,816,35.0357,7.909,52.062,2
28728.5,816,35.0447,7.75,51.812,2
28956.7,816,35.1339,7.789,52.406,2
29184.4,816,35.0576,8.068,52.187,3
29412.5,816,35.0625,7.869,51.937,2
29640,816,35.0566,7.682,52.062,2
29868.1,816,35.1532,7.869,52.5,2
30095.9,816,35.0701,7.988,52.25,3
30324.4,816,35.053,7.789,51.968,2
30552.4,816,35.048,7.643,52.312,2
30780.4,816,35.0959,7.988,52.468,3
31009.2,816,35.0125,7.909,52.281,2
31237.4,816,35.1557,7.762,51.906,2
31468,816,35.0771,7.829,52.687,2
31696.8,816,35.1859,8.028,52.312,3
31924.4,816,35.032,7.829,52.281,2
32152.5,816,35.0514,7.67,52.187,2
32381.2,816,35.0892,7.948,52.718,2
32608.6,816,35.0518,7.948,52.125,3
32836.7,816,35.0156,7.75,52.093,2
33064.5,816,35.055,7.682,52.343,2
33293,816,35.1219,8.068,52.5,3
33522.5,816,35.072,7.869,52.062,2
33750.6,816,35.0718,7.722,52.187,2
33978.4,816,35.0721,7.829,52.531,2
34206.9,816,35.0257,7.988,52.468,3
34435.1,816,35.0054,7.829,52.156,2
34663.2,816,35.0808,7.643,52.437,2
34891.3,816,35.1001,7.988,52.875,3
35119.1,816,35.0313,7.909,52.437,2
35348.3,816,35.1805,7.722,52.312,2
35576.4,816,35.2889,7.762,52.5,2
35804.1,816,35.0847,8.028,52.687,3
36032.5,816,35.028,7.829,52.218,2
36259.9,816,34.9944,7.682,52.093,2
36487.5,816,35.0206,7.869,52.531,2
36715.1,816,35.0322,7.988,52.5,3
36944.1,816,35.0268,7.789,52.187,2
37171.9,816,35.0622,7.682,52.406,2
37399.2,816,35.006,8.028,52.625,3
37626.5,816,35.0479,7.948,52.437,2
