window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.364831,306,-1,5.6,49.812,0
128.056,306,119.101,5.6,49.656,1
256.853,306,137.179,5.551,49.718,1
385.636,306,136.795,5.511,49.625,1
512.645,306,136.78,5.511,49.718,1
639.331,306,136.155,5.471,49.812,1
765.975,306,135.62,5.471,49.968,1
892.781,306,135.482,5.462,49.562,1
1019.24,306,135.567,5.462,49.625,1
1145.93,306,135.536,5.462,49.875,1
1273.12,306,135.564,5.462,49.562,1
1399.72,306,135.189,5.422,49.656,2
1527.99,306,135.322,5.422,49.5,1
1655.81,306,135.187,5.422,49.625,1
1783.81,306,135.007,5.422,49.781,1
1911.29,306,135.228,5.422,49.531,1
2038.3,306,135.816,5.422,49.562,1
2165.25,306,135.838,5.422,49.593,1
2291.62,306,135.238,5.422,49.656,1
2418.62,306,134.727,5.422,49.843,1
2545.26,306,135.161,5.462,49.656,1
2671.86,306,135.402,5.462,49.687,1
2798.45,306,135.093,5.422,49.75,1
2924.61,306,135.904,5.422,49.562,2
3051.63,306,134.824,5.422,49.5,1
3179.63,306,134.808,5.422,49.843,1
3307.71,306,134.618,5.422,49.562,1
3435.25,306,135.08,5.422,49.718,1
3563.17,306,135.097,5.422,49.843,1
3690.35,306,135.658,5.422,49.468,1
3817.1,306,135.81,5.422,49.656,1
3945.55,306,135.599,5.422,49.906,1
4072.28,306,135.243,5.422,49.531,1
4198.34,306,135.183,5.422,49.562,1
4324.44,306,135.485,5.422,49.593,1
4451.28,306,135.236,5.422,49.656,1
4578.15,306,135.61,5.422,49.562,2
4706.89,306,135.296,5.422,49.625,1
4834.41,306,134.888,5.422,49.5,1
4963.91,306,135.497,5.422,49.562,1
5091.52,306,135.809,5.422,49.593,1
5219.1,306,135.675,5.422,49.5,1
5346.35,306,135.451,5.422,49.531,1
5473.2,306,134.932,5.422,49.625,1
5599.65,306,135.058,5.422,49.5,1
5726.88,306,134.866,5.422,49.625,1
5853.75,306,135.282,5.422,49.625,1
5979.72,306,135.359,5.422,49.781,1
6106.94,306,135.303,5.422,49.406,2
6234.21,306,135.254,5.422,49.687,1
6362.55,306,135.379,5.422,49.593,1
6492.84,306,135.218,5.422,49.468,1
6621.82,306,135.283,5.422,49.468,1
6749.69,306,135.599,5.422,49.75,1
6877.18,306,135.673,5.422,49.468,1
7003.54,306,135.341,5.422,49.5,1
7130.33,306,135.078,5.422,49.468,1
7257.16,306,135.384,5.422,49.593,1
7383.13,306,135.144,5.422,49.75,1
7509.98,306,135.35,5.422,49.375,1
7637,306,135.127,5.422,49.375,2
7763.52,306,135.451,5.422,49.718,1
7891.49,306,135.229,5.422,49.406,1
8019.95,306,135.135,5.422,49.656,1
8147.98,306,135.603,5.422,49.781,1
8275.02,306,135.268,5.422,49.562,1
8403.21,306,135.346,5.422,49.593,1
8530.14,306,135.277,5.422,49.75,1
8657.18,306,135.249,5.422,49.531,1
8783.4,306,135.67,5.422,49.468,1
8910.06,306,135.701,5.422,49.562,1
9036.64,306,135.927,5.422,49.468,1
9163.15,306,135.754,5.422,49.375,1
9290.45,306,135.075,5.422,49.468,2
9417.75,306,134.542,5.422,49.5,1
9545.87,306,135.225,5.422,49.468,1
9673.74,306,135.522,5.422,49.531,1
9801.23,306,135.082,5.422,49.468,1
9928.92,306,134.708,5.422,49.531,1
10055.7,306,134.442,5.422,49.562,1
10182,306,134.584,5.422,49.593,1
10309,306,134.953,5.422,49.843,1
10434.9,306,135.09,5.462,49.375,1
10561.8,306,135.362,5.422,49.687,1
10688.4,306,135.273,5.422,49.343,1
10815,306,135.059,5.422,49.468,2
10941.9,306,135.244,5.422,49.468,1
11069.7,306,135.648,5.422,49.375,1
11198.6,306,135.171,5.422,49.562,1
11327.1,306,134.843,5.422,49.687,1
11455.3,306,135.135,5.462,49.375,1
11582.6,306,135.254,5.462,49.562,1
11709.7,306,135.358,5.422,49.687,1
11836.1,306,135.168,5.422,49.406,1
11962.3,306,135.096,5.422,49.375,1
12089.3,306,134.772,5.422,49.468,1
12215.9,306,134.906,5.422,49.656,1
