task_id=0 response_ms=51.8439 kernel_plus_memory_ms=51.6666 kernel_only_ms=51.223 h2d_ms=0.124992 d2h_ms=0.318592
task_id=1 response_ms=51.3252 kernel_plus_memory_ms=51.2173 kernel_only_ms=50.9228 h2d_ms=0.145824 d2h_ms=0.148672
task_id=2 response_ms=51.2671 kernel_plus_memory_ms=51.1491 kernel_only_ms=50.8643 h2d_ms=0.151776 d2h_ms=0.133024
task_id=3 response_ms=51.263 kernel_plus_memory_ms=51.1585 kernel_only_ms=50.8884 h2d_ms=0.134624 d2h_ms=0.135456
task_id=4 response_ms=51.2525 kernel_plus_memory_ms=51.1633 kernel_only_ms=50.9049 h2d_ms=0.118944 d2h_ms=0.139424
task_id=5 response_ms=51.225 kernel_plus_memory_ms=51.1437 kernel_only_ms=50.8931 h2d_ms=0.105792 d2h_ms=0.144864
task_id=6 response_ms=51.2845 kernel_plus_memory_ms=51.1635 kernel_only_ms=50.899 h2d_ms=0.121216 d2h_ms=0.1432
task_id=7 response_ms=51.2805 kernel_plus_memory_ms=51.1633 kernel_only_ms=50.8738 h2d_ms=0.124896 d2h_ms=0.16464
task_id=8 response_ms=51.3031 kernel_plus_memory_ms=51.189 kernel_only_ms=50.8976 h2d_ms=0.148864 d2h_ms=0.142528
task_id=9 response_ms=51.3217 kernel_plus_memory_ms=51.2117 kernel_only_ms=50.9272 h2d_ms=0.13568 d2h_ms=0.148896
task_id=10 response_ms=51.3936 kernel_plus_memory_ms=51.2777 kernel_only_ms=50.9408 h2d_ms=0.12352 d2h_ms=0.21344
task_id=11 response_ms=51.4498 kernel_plus_memory_ms=51.3336 kernel_only_ms=51.0041 h2d_ms=0.12832 d2h_ms=0.201184
task_id=12 response_ms=51.2666 kernel_plus_memory_ms=51.1628 kernel_only_ms=50.8907 h2d_ms=0.137056 d2h_ms=0.13504
task_id=13 response_ms=51.3545 kernel_plus_memory_ms=51.242 kernel_only_ms=50.9107 h2d_ms=0.188544 d2h_ms=0.142688
task_id=14 response_ms=51.3902 kernel_plus_memory_ms=51.2845 kernel_only_ms=50.9962 h2d_ms=0.132992 d2h_ms=0.15536
task_id=15 response_ms=51.4527 kernel_plus_memory_ms=51.3288 kernel_only_ms=51.0209 h2d_ms=0.135136 d2h_ms=0.172704
task_id=16 response_ms=51.1876 kernel_plus_memory_ms=51.0998 kernel_only_ms=50.8445 h2d_ms=0.11552 d2h_ms=0.139808
task_id=17 response_ms=51.2773 kernel_plus_memory_ms=51.1678 kernel_only_ms=50.8751 h2d_ms=0.15952 d2h_ms=0.133248
task_id=18 response_ms=51.2155 kernel_plus_memory_ms=51.1171 kernel_only_ms=50.8395 h2d_ms=0.136416 d2h_ms=0.141152
task_id=19 response_ms=51.2715 kernel_plus_memory_ms=51.1647 kernel_only_ms=50.879 h2d_ms=0.135328 d2h_ms=0.150368
task_id=20 response_ms=51.2039 kernel_plus_memory_ms=51.1238 kernel_only_ms=50.8671 h2d_ms=0.115488 d2h_ms=0.141248
task_id=21 response_ms=51.2278 kernel_plus_memory_ms=51.1348 kernel_only_ms=50.8832 h2d_ms=0.126176 d2h_ms=0.125408
task_id=22 response_ms=51.26 kernel_plus_memory_ms=51.1653 kernel_only_ms=50.9054 h2d_ms=0.133024 d2h_ms=0.12688
task_id=23 response_ms=51.2213 kernel_plus_memory_ms=51.1134 kernel_only_ms=50.849 h2d_ms=0.117728 d2h_ms=0.146656
task_id=24 response_ms=51.2779 kernel_plus_memory_ms=51.1863 kernel_only_ms=50.9091 h2d_ms=0.115424 d2h_ms=0.16176
task_id=25 response_ms=51.2629 kernel_plus_memory_ms=51.161 kernel_only_ms=50.8946 h2d_ms=0.116736 d2h_ms=0.149664
task_id=26 response_ms=51.2608 kernel_plus_memory_ms=51.1724 kernel_only_ms=50.9134 h2d_ms=0.12848 d2h_ms=0.130464
task_id=27 response_ms=51.2553 kernel_plus_memory_ms=51.1584 kernel_only_ms=50.8901 h2d_ms=0.133632 d2h_ms=0.134624
task_id=28 response_ms=51.368 kernel_plus_memory_ms=51.2456 kernel_only_ms=50.9904 h2d_ms=0.118592 d2h_ms=0.136608
task_id=29 response_ms=51.2568 kernel_plus_memory_ms=51.1649 kernel_only_ms=50.9051 h2d_ms=0.111648 d2h_ms=0.148128
task_id=30 response_ms=51.3602 kernel_plus_memory_ms=51.2715 kernel_only_ms=51.014 h2d_ms=0.11648 d2h_ms=0.141088
task_id=31 response_ms=51.2642 kernel_plus_memory_ms=51.1701 kernel_only_ms=50.8852 h2d_ms=0.151328 d2h_ms=0.133632
task_id=32 response_ms=51.2621 kernel_plus_memory_ms=51.1622 kernel_only_ms=50.8973 h2d_ms=0.13424 d2h_ms=0.130624
task_id=33 response_ms=51.2523 kernel_plus_memory_ms=51.1652 kernel_only_ms=50.9148 h2d_ms=0.117024 d2h_ms=0.133344
task_id=34 response_ms=51.3985 kernel_plus_memory_ms=51.313 kernel_only_ms=51.0465 h2d_ms=0.117152 d2h_ms=0.149344
task_id=35 response_ms=51.1929 kernel_plus_memory_ms=51.1061 kernel_only_ms=50.8562 h2d_ms=0.115488 d2h_ms=0.134496
task_id=36 response_ms=51.2395 kernel_plus_memory_ms=51.1504 kernel_only_ms=50.895 h2d_ms=0.125056 d2h_ms=0.130304
