window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.188771,714,-1,6.23,52.218,0
129.427,714,37.3099,6.32,51.687,2
259,714,36.5199,6.24,51.875,1
386.667,714,36.8285,6.16,52,1
515.257,714,37.0271,6.28,51.968,2
645.113,714,36.81,6.24,51.687,1
773.642,714,36.8456,6.169,51.968,1
901.645,714,37.0138,6.249,52.093,1
1032.61,714,36.3888,6.29,51.687,2
1161.7,714,36.7726,6.209,51.718,1
1290.07,714,36.4237,6.129,51.75,1
1418.89,714,36.7643,6.29,51.968,2
1548.21,714,36.3392,6.249,52,1
1676.25,714,37.635,6.169,51.625,1
1803.74,714,36.6027,6.209,52.187,1
1933.98,714,36.5645,6.29,51.843,2
2064.02,714,36.7318,6.209,51.625,1
2193.23,714,36.7437,6.169,52.062,1
2322.07,714,36.5042,6.33,51.906,2
2450.58,714,36.7051,6.249,51.75,1
2578.75,714,36.7649,6.129,51.625,1
2706.96,714,36.933,6.209,52.312,1
2837.58,714,36.3095,6.29,51.625,2
2966.09,714,36.7951,6.209,51.718,1
3094.06,714,36.7992,6.129,52.031,1
3222.67,714,36.2553,6.29,51.843,2
3352.82,714,36.709,6.249,51.687,1
3480.35,714,36.7665,6.169,52,1
3609.43,714,36.3361,6.209,51.968,1
3739.21,714,36.3035,6.29,51.937,2
3868.15,714,36.3489,6.169,51.687,1
3996.16,714,36.3411,6.129,51.812,1
4125.13,714,36.21,6.29,51.718,2
4254.65,714,36.3112,6.249,51.875,1
4382.75,714,36.3564,6.129,51.687,1
4511.9,714,36.9165,6.209,52.156,1
4641.56,714,36.337,6.249,51.781,2
4770.3,714,39.0503,6.209,51.593,1
4898.24,714,36.4214,6.169,51.687,1
5026.87,714,36.8774,6.33,51.687,2
5157.25,714,36.35,6.249,51.781,1
5285.1,714,36.3482,6.169,51.875,1
5412.81,714,37.2974,6.249,51.968,1
5542.82,714,36.3419,6.29,51.687,2
5673.07,714,36.3729,6.209,51.625,1
5800.39,714,36.5293,6.129,51.687,1
5929.2,714,36.929,6.28,51.843,2
6057.54,714,36.8836,6.24,51.906,1
6186.01,714,36.5956,6.16,51.625,1
6313.9,714,36.7868,6.249,51.781,1
6443.46,714,36.7952,6.29,51.906,2
6573.41,714,36.6845,6.209,51.625,1
6701.64,714,36.7484,6.129,51.906,1
6830.36,714,36.7792,6.29,51.937,2
6958.86,714,36.7035,6.249,51.687,1
7087.5,714,36.3908,6.169,51.718,1
7214.8,714,37.4921,6.209,51.937,1
7344.16,714,36.6882,6.29,51.656,2
7473.08,714,36.4347,6.209,51.593,1
7601.02,714,36.4453,6.129,51.906,1
7729.92,714,36.7869,6.29,51.843,2
7859.26,714,36.3934,6.249,51.781,1
7987.42,714,36.5513,6.169,51.625,1
8115.83,714,37.3366,6.209,51.906,1
8245.81,714,36.9178,6.29,51.812,2
8374.58,714,36.6981,6.209,51.843,1
8502.47,714,36.7778,6.129,51.75,1
8631.28,714,36.2344,6.29,51.687,2
8760.68,714,36.2959,6.249,51.656,1
8887.99,714,36.7394,6.169,51.531,1
9016.89,714,36.9836,6.209,52.031,1
9147.14,714,36.3538,6.29,51.687,2
9277.48,714,36.7649,6.209,51.687,1
9405.6,714,36.7088,6.169,51.718,1
9534.41,714,36.457,6.29,51.937,2
9663.62,714,36.672,6.249,51.593,1
9791.51,714,36.5456,6.169,51.781,1
9919.37,714,37.0362,6.209,51.875,1
10047.4,714,36.8181,6.29,51.75,2
10177.4,714,36.8064,6.209,51.75,1
10305.1,714,36.6754,6.129,51.625,1
10433.9,714,36.8911,6.29,51.687,2
10562.8,714,36.7089,6.249,51.593,1
10691.5,714,36.7301,6.169,51.5,1
10819.3,714,36.6098,6.169,51.843,1
10947.6,714,36.8076,6.29,51.781,2
11077.5,714,36.3853,6.209,51.687,1
11205.5,714,36.89,6.129,51.562,1
11334.5,714,36.2505,6.29,51.781,2
11463.4,714,36.3535,6.249,51.5,1
11592.2,714,36.7697,6.2,51.531,1
11719.3,714,36.8808,6.2,52.093,1
11847.4,714,36.5998,6.28,51.843,2
11977.5,714,36.327,6.209,51.75,1
12104.8,714,36.3247,6.129,51.593,1
12233.6,714,36.1836,6.29,51.906,2
12362.3,714,36.3559,6.24,51.625,1
12490.9,714,36.3207,6.169,51.531,1
12618.4,714,36.7275,6.169,51.812,1
12747.3,714,36.2873,6.29,51.812,2
12877,714,36.3418,6.2,51.875,1
13005.2,714,36.7176,6.16,51.593,1
13133.8,714,36.5594,6.28,51.781,2
13264.6,714,36.386,6.28,51.781,1
13392.9,714,36.7547,6.2,51.562,1
13520.5,714,36.4078,6.169,51.968,1
13648.9,714,36.4166,6.32,51.843,2
13777.8,714,36.7248,6.24,51.625,1
13905.7,714,36.3937,6.16,51.593,1
14034.4,714,36.3542,6.29,51.75,2
14163.8,714,36.2672,6.28,51.5,1
14292.5,714,36.405,6.2,51.812,1
14420.7,714,36.7626,6.169,51.687,1
14549.5,714,36.4797,6.33,51.687,2
14679.3,714,36.6878,6.249,51.562,1
14806.8,714,36.7371,6.129,51.625,1
14934.9,714,37.5258,6.249,51.718,1
15064.3,714,36.6288,6.249,51.656,2
15192.6,714,36.3521,6.2,51.468,1
15320.3,714,37.0892,6.169,51.687,1
15448.6,714,36.488,6.33,51.843,2
15577.7,714,36.7584,6.24,51.562,1
15705.7,714,36.7787,6.169,51.656,1
15834.2,714,36.9463,6.249,51.843,1
15963.8,714,36.7553,6.29,51.5,2
16093.5,714,36.6249,6.209,51.687,1
16221.6,714,36.7379,6.16,51.843,1
16350.1,714,36.7327,6.32,51.687,2
16480,714,36.3537,6.24,51.5,1
16608.1,714,36.498,6.169,51.562,1
16736.8,714,36.3215,6.249,51.781,1
16866,714,36.7407,6.28,51.75,2
16994.8,714,36.6915,6.2,51.5,1
17126,714,36.4965,6.169,51.75,1
17254.6,714,36.2379,6.32,51.687,2
17383.8,714,36.3452,6.249,51.812,1
17511.8,714,36.7872,6.169,51.437,1
17639.9,714,36.6038,6.249,51.968,1
17770,714,36.2961,6.249,51.687,2
17898.2,714,36.3357,6.169,51.656,1
18026.3,714,36.3728,6.169,51.75,1
18154.7,714,36.2526,6.29,51.843,2
18284,714,36.3115,6.249,51.562,1
18411.5,714,36.6408,6.169,51.687,1
18539.7,714,36.9892,6.249,51.718,1
18669.5,714,36.5542,6.29,51.656,2
18798.4,714,36.6948,6.169,51.468,1
18926.2,714,36.4231,6.129,51.625,1
19054.8,714,36.3437,6.33,51.593,2
19185,714,36.7195,6.209,51.718,1
19313.4,714,36.6895,6.169,51.593,1
19441.8,714,36.3073,6.249,51.687,1
19571.8,714,36.2929,6.29,51.531,2
