task_id=0 response_ms=34.3935 kernel_plus_memory_ms=34.2066 kernel_only_ms=10.6453 h2d_ms=11.1681 d2h_ms=12.3932
task_id=1 response_ms=33.1579 kernel_plus_memory_ms=33.0254 kernel_only_ms=10.2089 h2d_ms=11.289 d2h_ms=11.5276
task_id=2 response_ms=33.2182 kernel_plus_memory_ms=33.0832 kernel_only_ms=10.2 h2d_ms=11.4689 d2h_ms=11.4143
task_id=3 response_ms=33.2544 kernel_plus_memory_ms=33.1084 kernel_only_ms=10.2035 h2d_ms=11.4606 d2h_ms=11.4443
task_id=4 response_ms=33.4007 kernel_plus_memory_ms=33.2396 kernel_only_ms=10.1996 h2d_ms=11.6337 d2h_ms=11.4063
task_id=5 response_ms=33.4315 kernel_plus_memory_ms=33.2769 kernel_only_ms=10.39 h2d_ms=11.4275 d2h_ms=11.4593
task_id=6 response_ms=33.3845 kernel_plus_memory_ms=33.2452 kernel_only_ms=10.1888 h2d_ms=11.6023 d2h_ms=11.4541
task_id=7 response_ms=33.4505 kernel_plus_memory_ms=33.3028 kernel_only_ms=10.2017 h2d_ms=11.6331 d2h_ms=11.4681
task_id=8 response_ms=33.4897 kernel_plus_memory_ms=33.3329 kernel_only_ms=10.1932 h2d_ms=11.6451 d2h_ms=11.4946
task_id=9 response_ms=32.9757 kernel_plus_memory_ms=32.844 kernel_only_ms=10.1936 h2d_ms=11.1802 d2h_ms=11.4702
task_id=10 response_ms=33.4738 kernel_plus_memory_ms=33.3304 kernel_only_ms=10.2052 h2d_ms=11.6312 d2h_ms=11.494
task_id=11 response_ms=33.0698 kernel_plus_memory_ms=32.9274 kernel_only_ms=10.1973 h2d_ms=11.282 d2h_ms=11.4482
task_id=12 response_ms=33.1426 kernel_plus_memory_ms=32.998 kernel_only_ms=10.2048 h2d_ms=11.3452 d2h_ms=11.4479
task_id=13 response_ms=32.8523 kernel_plus_memory_ms=32.7011 kernel_only_ms=10.1915 h2d_ms=11.0604 d2h_ms=11.4492
task_id=14 response_ms=33.3664 kernel_plus_memory_ms=33.2223 kernel_only_ms=10.2213 h2d_ms=11.5769 d2h_ms=11.4241
task_id=15 response_ms=33.3331 kernel_plus_memory_ms=33.1984 kernel_only_ms=10.1913 h2d_ms=11.6057 d2h_ms=11.4014
task_id=16 response_ms=32.9989 kernel_plus_memory_ms=32.8394 kernel_only_ms=10.1882 h2d_ms=11.2576 d2h_ms=11.3936
task_id=17 response_ms=33.0903 kernel_plus_memory_ms=32.9398 kernel_only_ms=10.2051 h2d_ms=11.3098 d2h_ms=11.4249
task_id=18 response_ms=32.8945 kernel_plus_memory_ms=32.7515 kernel_only_ms=10.2231 h2d_ms=11.0783 d2h_ms=11.4501
task_id=19 response_ms=33.1016 kernel_plus_memory_ms=32.964 kernel_only_ms=10.2013 h2d_ms=11.2365 d2h_ms=11.5261
task_id=20 response_ms=33.3726 kernel_plus_memory_ms=33.2289 kernel_only_ms=10.1996 h2d_ms=11.5689 d2h_ms=11.4604
task_id=21 response_ms=33.0088 kernel_plus_memory_ms=32.8348 kernel_only_ms=10.1899 h2d_ms=11.2296 d2h_ms=11.4153
task_id=22 response_ms=33.4117 kernel_plus_memory_ms=33.2742 kernel_only_ms=10.1985 h2d_ms=11.6206 d2h_ms=11.4551
task_id=23 response_ms=32.9703 kernel_plus_memory_ms=32.8285 kernel_only_ms=10.2193 h2d_ms=11.1979 d2h_ms=11.4113
task_id=24 response_ms=33.1258 kernel_plus_memory_ms=32.9502 kernel_only_ms=10.1924 h2d_ms=11.272 d2h_ms=11.4858
task_id=25 response_ms=33.2338 kernel_plus_memory_ms=33.0767 kernel_only_ms=10.1927 h2d_ms=11.4214 d2h_ms=11.4626
task_id=26 response_ms=33.3516 kernel_plus_memory_ms=33.2003 kernel_only_ms=10.354 h2d_ms=11.387 d2h_ms=11.4593
task_id=27 response_ms=32.7415 kernel_plus_memory_ms=32.6036 kernel_only_ms=10.2132 h2d_ms=10.9782 d2h_ms=11.4122
task_id=28 response_ms=33.0398 kernel_plus_memory_ms=32.9048 kernel_only_ms=10.2135 h2d_ms=11.1989 d2h_ms=11.4924
task_id=29 response_ms=32.9979 kernel_plus_memory_ms=32.8584 kernel_only_ms=10.1935 h2d_ms=11.2283 d2h_ms=11.4366
task_id=30 response_ms=34.1931 kernel_plus_memory_ms=34.0364 kernel_only_ms=10.1934 h2d_ms=12.4213 d2h_ms=11.4216
task_id=31 response_ms=33.5207 kernel_plus_memory_ms=33.3638 kernel_only_ms=10.2137 h2d_ms=11.6282 d2h_ms=11.522
task_id=32 response_ms=34.0785 kernel_plus_memory_ms=33.9214 kernel_only_ms=10.3127 h2d_ms=11.3408 d2h_ms=12.2678
task_id=33 response_ms=33.2051 kernel_plus_memory_ms=33.0606 kernel_only_ms=10.1909 h2d_ms=11.2822 d2h_ms=11.5874
task_id=34 response_ms=33.0794 kernel_plus_memory_ms=32.931 kernel_only_ms=10.1905 h2d_ms=11.3037 d2h_ms=11.4368
task_id=35 response_ms=33.1732 kernel_plus_memory_ms=33.0275 kernel_only_ms=10.196 h2d_ms=11.3641 d2h_ms=11.4674
task_id=36 response_ms=34.1261 kernel_plus_memory_ms=33.966 kernel_only_ms=10.2095 h2d_ms=11.2033 d2h_ms=12.5532
task_id=37 response_ms=33.8422 kernel_plus_memory_ms=33.6932 kernel_only_ms=10.1883 h2d_ms=11.2542 d2h_ms=12.2507
task_id=38 response_ms=33.0702 kernel_plus_memory_ms=32.9192 kernel_only_ms=10.1945 h2d_ms=11.3068 d2h_ms=11.4179
task_id=39 response_ms=33.4083 kernel_plus_memory_ms=33.2502 kernel_only_ms=10.1974 h2d_ms=11.5983 d2h_ms=11.4545
task_id=40 response_ms=32.9986 kernel_plus_memory_ms=32.8326 kernel_only_ms=10.2162 h2d_ms=11.2078 d2h_ms=11.4086
task_id=41 response_ms=33.0763 kernel_plus_memory_ms=32.9217 kernel_only_ms=10.2689 h2d_ms=11.2639 d2h_ms=11.3889
task_id=42 response_ms=32.9767 kernel_plus_memory_ms=32.8371 kernel_only_ms=10.2009 h2d_ms=11.2287 d2h_ms=11.4075
task_id=43 response_ms=33.3687 kernel_plus_memory_ms=33.1995 kernel_only_ms=10.1899 h2d_ms=11.4201 d2h_ms=11.5895
task_id=44 response_ms=33.689 kernel_plus_memory_ms=33.5242 kernel_only_ms=10.2118 h2d_ms=11.8647 d2h_ms=11.4477
task_id=45 response_ms=33.4698 kernel_plus_memory_ms=33.3196 kernel_only_ms=10.197 h2d_ms=11.0091 d2h_ms=12.1134
task_id=46 response_ms=33.0058 kernel_plus_memory_ms=32.8641 kernel_only_ms=10.1964 h2d_ms=11.1785 d2h_ms=11.4892
task_id=47 response_ms=32.9298 kernel_plus_memory_ms=32.7942 kernel_only_ms=10.1952 h2d_ms=11.1904 d2h_ms=11.4087
task_id=48 response_ms=33.3705 kernel_plus_memory_ms=33.225 kernel_only_ms=10.1914 h2d_ms=11.5945 d2h_ms=11.4391
task_id=49 response_ms=33.2652 kernel_plus_memory_ms=33.1223 kernel_only_ms=10.3836 h2d_ms=11.2585 d2h_ms=11.4801
task_id=50 response_ms=33.3029 kernel_plus_memory_ms=33.18 kernel_only_ms=10.1878 h2d_ms=11.6029 d2h_ms=11.3892
task_id=51 response_ms=34.0761 kernel_plus_memory_ms=33.9258 kernel_only_ms=10.1923 h2d_ms=12.3817 d2h_ms=11.3518
task_id=52 response_ms=33.0207 kernel_plus_memory_ms=32.8776 kernel_only_ms=10.1922 h2d_ms=11.221 d2h_ms=11.4644
task_id=53 response_ms=33.7933 kernel_plus_memory_ms=33.6419 kernel_only_ms=10.2174 h2d_ms=12.0221 d2h_ms=11.4024
task_id=54 response_ms=33.5712 kernel_plus_memory_ms=33.4306 kernel_only_ms=10.1931 h2d_ms=11.1938 d2h_ms=12.0436
task_id=55 response_ms=33.3677 kernel_plus_memory_ms=33.2509 kernel_only_ms=10.1965 h2d_ms=11.5805 d2h_ms=11.4739
task_id=56 response_ms=33.3163 kernel_plus_memory_ms=33.177 kernel_only_ms=10.1942 h2d_ms=11.5908 d2h_ms=11.3919
task_id=57 response_ms=33.4085 kernel_plus_memory_ms=33.2588 kernel_only_ms=10.2144 h2d_ms=11.641 d2h_ms=11.4033
task_id=58 response_ms=33.593 kernel_plus_memory_ms=33.458 kernel_only_ms=10.1949 h2d_ms=11.8178 d2h_ms=11.4453
task_id=59 response_ms=33.0032 kernel_plus_memory_ms=32.8656 kernel_only_ms=10.1956 h2d_ms=11.279 d2h_ms=11.3911
task_id=60 response_ms=33.0563 kernel_plus_memory_ms=32.9133 kernel_only_ms=10.1961 h2d_ms=11.3005 d2h_ms=11.4167
task_id=61 response_ms=33.0653 kernel_plus_memory_ms=32.9175 kernel_only_ms=10.1893 h2d_ms=11.2813 d2h_ms=11.4469
task_id=62 response_ms=33.1184 kernel_plus_memory_ms=32.973 kernel_only_ms=10.2109 h2d_ms=11.3166 d2h_ms=11.4455
task_id=63 response_ms=32.7389 kernel_plus_memory_ms=32.5957 kernel_only_ms=10.1973 h2d_ms=10.9744 d2h_ms=11.4241
task_id=64 response_ms=33.0404 kernel_plus_memory_ms=32.8978 kernel_only_ms=10.1903 h2d_ms=11.2158 d2h_ms=11.4917
task_id=65 response_ms=33.3442 kernel_plus_memory_ms=33.1997 kernel_only_ms=10.2002 h2d_ms=11.5993 d2h_ms=11.4003
task_id=66 response_ms=33.0101 kernel_plus_memory_ms=32.858 kernel_only_ms=10.2165 h2d_ms=11.2254 d2h_ms=11.416
task_id=67 response_ms=33.141 kernel_plus_memory_ms=32.9985 kernel_only_ms=10.1948 h2d_ms=11.341 d2h_ms=11.4627
task_id=68 response_ms=33.3667 kernel_plus_memory_ms=33.2295 kernel_only_ms=10.1943 h2d_ms=11.6316 d2h_ms=11.4036
task_id=69 response_ms=33.3151 kernel_plus_memory_ms=33.1754 kernel_only_ms=10.1957 h2d_ms=11.5683 d2h_ms=11.4114
task_id=70 response_ms=33.0406 kernel_plus_memory_ms=32.8906 kernel_only_ms=10.1923 h2d_ms=11.2518 d2h_ms=11.4465
task_id=71 response_ms=33.4952 kernel_plus_memory_ms=33.3346 kernel_only_ms=10.1983 h2d_ms=11.6757 d2h_ms=11.4605
task_id=72 response_ms=33.8463 kernel_plus_memory_ms=33.6922 kernel_only_ms=10.1987 h2d_ms=11.8128 d2h_ms=11.6807
task_id=73 response_ms=33.8624 kernel_plus_memory_ms=33.728 kernel_only_ms=10.194 h2d_ms=11.2623 d2h_ms=12.2717
task_id=74 response_ms=33.3295 kernel_plus_memory_ms=33.1892 kernel_only_ms=10.1919 h2d_ms=11.5964 d2h_ms=11.4008
task_id=75 response_ms=33.0646 kernel_plus_memory_ms=32.9192 kernel_only_ms=10.2114 h2d_ms=11.2551 d2h_ms=11.4527
task_id=76 response_ms=33.1951 kernel_plus_memory_ms=33.053 kernel_only_ms=10.1972 h2d_ms=11.4412 d2h_ms=11.4146
task_id=77 response_ms=33.3404 kernel_plus_memory_ms=33.2209 kernel_only_ms=10.1889 h2d_ms=11.6351 d2h_ms=11.3969
task_id=78 response_ms=32.9931 kernel_plus_memory_ms=32.8516 kernel_only_ms=10.196 h2d_ms=11.2492 d2h_ms=11.4064
task_id=79 response_ms=33.4196 kernel_plus_memory_ms=33.2694 kernel_only_ms=10.2158 h2d_ms=11.6566 d2h_ms=11.3971
task_id=80 response_ms=33.0028 kernel_plus_memory_ms=32.8462 kernel_only_ms=10.1956 h2d_ms=11.2421 d2h_ms=11.4085
task_id=81 response_ms=33.7962 kernel_plus_memory_ms=33.6474 kernel_only_ms=10.2001 h2d_ms=11.9723 d2h_ms=11.475
task_id=82 response_ms=33.0007 kernel_plus_memory_ms=32.8528 kernel_only_ms=10.1972 h2d_ms=11.2123 d2h_ms=11.4433
task_id=83 response_ms=32.9777 kernel_plus_memory_ms=32.8397 kernel_only_ms=10.1889 h2d_ms=11.224 d2h_ms=11.4268
task_id=84 response_ms=33.1709 kernel_plus_memory_ms=33.019 kernel_only_ms=10.2229 h2d_ms=11.3478 d2h_ms=11.4483
task_id=85 response_ms=33.1295 kernel_plus_memory_ms=32.9769 kernel_only_ms=10.195 h2d_ms=11.1754 d2h_ms=11.6064
task_id=86 response_ms=33.3729 kernel_plus_memory_ms=33.2391 kernel_only_ms=10.1913 h2d_ms=11.6461 d2h_ms=11.4017
