task_id=0 response_ms=42.1587 kernel_plus_memory_ms=41.5879 kernel_only_ms=34.907 h2d_ms=2.81459 d2h_ms=3.86634
task_id=1 response_ms=40.3725 kernel_plus_memory_ms=40.2088 kernel_only_ms=34.335 h2d_ms=2.95725 d2h_ms=2.91654
task_id=2 response_ms=40.1857 kernel_plus_memory_ms=40.0413 kernel_only_ms=34.3346 h2d_ms=2.84483 d2h_ms=2.86189
task_id=3 response_ms=40.1106 kernel_plus_memory_ms=39.9742 kernel_only_ms=34.3225 h2d_ms=2.75859 d2h_ms=2.89309
task_id=4 response_ms=40.0998 kernel_plus_memory_ms=39.9726 kernel_only_ms=34.3681 h2d_ms=2.74742 d2h_ms=2.85702
task_id=5 response_ms=40.0878 kernel_plus_memory_ms=39.9468 kernel_only_ms=34.3451 h2d_ms=2.73229 d2h_ms=2.86941
task_id=6 response_ms=40.056 kernel_plus_memory_ms=39.9267 kernel_only_ms=34.4544 h2d_ms=2.63379 d2h_ms=2.83853
task_id=7 response_ms=40.2924 kernel_plus_memory_ms=40.1645 kernel_only_ms=34.3289 h2d_ms=2.94915 d2h_ms=2.88646
task_id=8 response_ms=40.0023 kernel_plus_memory_ms=39.8526 kernel_only_ms=34.3622 h2d_ms=2.64883 d2h_ms=2.84154
task_id=9 response_ms=40.0178 kernel_plus_memory_ms=39.8873 kernel_only_ms=34.3447 h2d_ms=2.6855 d2h_ms=2.85715
task_id=10 response_ms=39.9939 kernel_plus_memory_ms=39.8491 kernel_only_ms=34.3352 h2d_ms=2.6127 d2h_ms=2.90115
task_id=11 response_ms=40.0813 kernel_plus_memory_ms=39.9346 kernel_only_ms=34.3294 h2d_ms=2.69725 d2h_ms=2.90797
task_id=12 response_ms=40.317 kernel_plus_memory_ms=40.1538 kernel_only_ms=34.3374 h2d_ms=2.78502 d2h_ms=3.03133
task_id=13 response_ms=39.9614 kernel_plus_memory_ms=39.8162 kernel_only_ms=34.334 h2d_ms=2.6193 d2h_ms=2.86294
task_id=14 response_ms=40.0502 kernel_plus_memory_ms=39.9132 kernel_only_ms=34.3436 h2d_ms=2.64602 d2h_ms=2.92355
task_id=15 response_ms=39.9971 kernel_plus_memory_ms=39.8595 kernel_only_ms=34.3324 h2d_ms=2.68704 d2h_ms=2.8401
task_id=16 response_ms=40.0367 kernel_plus_memory_ms=39.8895 kernel_only_ms=34.3275 h2d_ms=2.68221 d2h_ms=2.87984
task_id=17 response_ms=40.3515 kernel_plus_memory_ms=40.1599 kernel_only_ms=34.3648 h2d_ms=2.95568 d2h_ms=2.83936
task_id=18 response_ms=39.9451 kernel_plus_memory_ms=39.8123 kernel_only_ms=34.3376 h2d_ms=2.57725 d2h_ms=2.89744
task_id=19 response_ms=40.0662 kernel_plus_memory_ms=39.9257 kernel_only_ms=34.3208 h2d_ms=2.74845 d2h_ms=2.85642
task_id=20 response_ms=40.0301 kernel_plus_memory_ms=39.8943 kernel_only_ms=34.3422 h2d_ms=2.67482 d2h_ms=2.87728
task_id=21 response_ms=40.1722 kernel_plus_memory_ms=40.0333 kernel_only_ms=34.323 h2d_ms=2.67638 d2h_ms=3.03392
task_id=22 response_ms=40.012 kernel_plus_memory_ms=39.8477 kernel_only_ms=34.3428 h2d_ms=2.63856 d2h_ms=2.86634
task_id=23 response_ms=40.1673 kernel_plus_memory_ms=40.0008 kernel_only_ms=34.3243 h2d_ms=2.76125 d2h_ms=2.91523
task_id=24 response_ms=40.3408 kernel_plus_memory_ms=40.188 kernel_only_ms=34.3383 h2d_ms=2.99728 d2h_ms=2.85235
task_id=25 response_ms=40.0382 kernel_plus_memory_ms=39.9099 kernel_only_ms=34.3333 h2d_ms=2.68342 d2h_ms=2.89322
task_id=26 response_ms=39.99 kernel_plus_memory_ms=39.8507 kernel_only_ms=34.3073 h2d_ms=2.66371 d2h_ms=2.87968
task_id=27 response_ms=39.9647 kernel_plus_memory_ms=39.8315 kernel_only_ms=34.3046 h2d_ms=2.65418 d2h_ms=2.87274
task_id=28 response_ms=39.9023 kernel_plus_memory_ms=39.7724 kernel_only_ms=34.2827 h2d_ms=2.60538 d2h_ms=2.88429
task_id=29 response_ms=39.9522 kernel_plus_memory_ms=39.8258 kernel_only_ms=34.3585 h2d_ms=2.59475 d2h_ms=2.87254
task_id=30 response_ms=39.9804 kernel_plus_memory_ms=39.8424 kernel_only_ms=34.3245 h2d_ms=2.63987 d2h_ms=2.87805
task_id=31 response_ms=39.9728 kernel_plus_memory_ms=39.8395 kernel_only_ms=34.3051 h2d_ms=2.68835 d2h_ms=2.84605
task_id=32 response_ms=40.0221 kernel_plus_memory_ms=39.8886 kernel_only_ms=34.3056 h2d_ms=2.6839 d2h_ms=2.89914
task_id=33 response_ms=40.2623 kernel_plus_memory_ms=40.1184 kernel_only_ms=34.3369 h2d_ms=2.6729 d2h_ms=3.10861
task_id=34 response_ms=40.1589 kernel_plus_memory_ms=40.0091 kernel_only_ms=34.3154 h2d_ms=2.85235 d2h_ms=2.84134
task_id=35 response_ms=39.8456 kernel_plus_memory_ms=39.7113 kernel_only_ms=34.3312 h2d_ms=2.50032 d2h_ms=2.87978
task_id=36 response_ms=39.9775 kernel_plus_memory_ms=39.8556 kernel_only_ms=34.2885 h2d_ms=2.67514 d2h_ms=2.89194
task_id=37 response_ms=39.9834 kernel_plus_memory_ms=39.8567 kernel_only_ms=34.3265 h2d_ms=2.65091 d2h_ms=2.87926
task_id=38 response_ms=40.044 kernel_plus_memory_ms=39.9138 kernel_only_ms=34.3113 h2d_ms=2.72054 d2h_ms=2.88195
task_id=39 response_ms=40.2991 kernel_plus_memory_ms=40.1382 kernel_only_ms=34.3058 h2d_ms=2.6464 d2h_ms=3.18608
task_id=40 response_ms=40.2155 kernel_plus_memory_ms=40.0574 kernel_only_ms=34.2982 h2d_ms=2.88925 d2h_ms=2.86995
task_id=41 response_ms=40.2089 kernel_plus_memory_ms=40.0374 kernel_only_ms=34.2931 h2d_ms=2.85875 d2h_ms=2.8856
task_id=42 response_ms=40.0463 kernel_plus_memory_ms=39.9006 kernel_only_ms=34.2861 h2d_ms=2.7673 d2h_ms=2.84717
task_id=43 response_ms=40.0423 kernel_plus_memory_ms=39.8981 kernel_only_ms=34.305 h2d_ms=2.68973 d2h_ms=2.90336
task_id=44 response_ms=40.223 kernel_plus_memory_ms=40.0602 kernel_only_ms=34.3015 h2d_ms=2.8807 d2h_ms=2.87795
task_id=45 response_ms=40.003 kernel_plus_memory_ms=39.8446 kernel_only_ms=34.3054 h2d_ms=2.62477 d2h_ms=2.91443
task_id=46 response_ms=39.9081 kernel_plus_memory_ms=39.7719 kernel_only_ms=34.3224 h2d_ms=2.57107 d2h_ms=2.87843
task_id=47 response_ms=40.039 kernel_plus_memory_ms=39.9077 kernel_only_ms=34.3266 h2d_ms=2.69741 d2h_ms=2.88368
task_id=48 response_ms=39.9775 kernel_plus_memory_ms=39.8433 kernel_only_ms=34.3071 h2d_ms=2.65139 d2h_ms=2.8848
task_id=49 response_ms=39.9826 kernel_plus_memory_ms=39.8498 kernel_only_ms=34.3283 h2d_ms=2.68074 d2h_ms=2.8408
task_id=50 response_ms=40.3283 kernel_plus_memory_ms=40.1798 kernel_only_ms=34.3491 h2d_ms=2.6639 d2h_ms=3.16682
task_id=51 response_ms=40.0371 kernel_plus_memory_ms=39.8993 kernel_only_ms=34.3469 h2d_ms=2.69171 d2h_ms=2.86067
task_id=52 response_ms=40.131 kernel_plus_memory_ms=40.0054 kernel_only_ms=34.3393 h2d_ms=2.79706 d2h_ms=2.86906
task_id=53 response_ms=39.9452 kernel_plus_memory_ms=39.8168 kernel_only_ms=34.3154 h2d_ms=2.65459 d2h_ms=2.84678
task_id=54 response_ms=40.0448 kernel_plus_memory_ms=39.9144 kernel_only_ms=34.3592 h2d_ms=2.68272 d2h_ms=2.87242
task_id=55 response_ms=40.33 kernel_plus_memory_ms=40.1664 kernel_only_ms=34.3349 h2d_ms=2.88122 d2h_ms=2.95027
task_id=56 response_ms=40.2647 kernel_plus_memory_ms=40.119 kernel_only_ms=34.3277 h2d_ms=2.62256 d2h_ms=3.1687
task_id=57 response_ms=40.198 kernel_plus_memory_ms=40.0616 kernel_only_ms=34.3513 h2d_ms=2.81686 d2h_ms=2.89347
task_id=58 response_ms=39.9783 kernel_plus_memory_ms=39.8527 kernel_only_ms=34.3326 h2d_ms=2.65027 d2h_ms=2.86982
task_id=59 response_ms=39.9359 kernel_plus_memory_ms=39.8106 kernel_only_ms=34.3033 h2d_ms=2.63715 d2h_ms=2.87008
task_id=60 response_ms=39.9515 kernel_plus_memory_ms=39.8243 kernel_only_ms=34.3112 h2d_ms=2.65904 d2h_ms=2.85405
task_id=61 response_ms=40.2761 kernel_plus_memory_ms=40.1338 kernel_only_ms=34.3539 h2d_ms=2.64211 d2h_ms=3.13773
task_id=62 response_ms=40.0291 kernel_plus_memory_ms=39.8871 kernel_only_ms=34.3462 h2d_ms=2.68934 d2h_ms=2.85158
task_id=63 response_ms=40.338 kernel_plus_memory_ms=40.2008 kernel_only_ms=34.3418 h2d_ms=2.98394 d2h_ms=2.87514
task_id=64 response_ms=39.9741 kernel_plus_memory_ms=39.8489 kernel_only_ms=34.3395 h2d_ms=2.67075 d2h_ms=2.83872
task_id=65 response_ms=40.0427 kernel_plus_memory_ms=39.9134 kernel_only_ms=34.3563 h2d_ms=2.68432 d2h_ms=2.8728
task_id=66 response_ms=39.9765 kernel_plus_memory_ms=39.8418 kernel_only_ms=34.3243 h2d_ms=2.67491 d2h_ms=2.84259
task_id=67 response_ms=40.4102 kernel_plus_memory_ms=40.2671 kernel_only_ms=34.3434 h2d_ms=2.66845 d2h_ms=3.25526
task_id=68 response_ms=40.1144 kernel_plus_memory_ms=39.9728 kernel_only_ms=34.3245 h2d_ms=2.75686 d2h_ms=2.89136
task_id=69 response_ms=40.1245 kernel_plus_memory_ms=39.9936 kernel_only_ms=34.3181 h2d_ms=2.80931 d2h_ms=2.86618
task_id=70 response_ms=40.1942 kernel_plus_memory_ms=40.0683 kernel_only_ms=34.322 h2d_ms=2.67203 d2h_ms=3.07421
task_id=71 response_ms=40.0165 kernel_plus_memory_ms=39.8938 kernel_only_ms=34.351 h2d_ms=2.68608 d2h_ms=2.85667
task_id=72 response_ms=40.0399 kernel_plus_memory_ms=39.9021 kernel_only_ms=34.3041 h2d_ms=2.70544 d2h_ms=2.89254
task_id=73 response_ms=40.2246 kernel_plus_memory_ms=40.0891 kernel_only_ms=34.3368 h2d_ms=2.70429 d2h_ms=3.048
task_id=74 response_ms=39.8858 kernel_plus_memory_ms=39.7646 kernel_only_ms=34.3452 h2d_ms=2.55174 d2h_ms=2.86762
task_id=75 response_ms=40.1454 kernel_plus_memory_ms=40.0174 kernel_only_ms=34.3533 h2d_ms=2.808 d2h_ms=2.85616
task_id=76 response_ms=40.0565 kernel_plus_memory_ms=39.9038 kernel_only_ms=34.3403 h2d_ms=2.66976 d2h_ms=2.89379
task_id=77 response_ms=40.0095 kernel_plus_memory_ms=39.8628 kernel_only_ms=34.3558 h2d_ms=2.63504 d2h_ms=2.87197
task_id=78 response_ms=40.0762 kernel_plus_memory_ms=39.9189 kernel_only_ms=34.3144 h2d_ms=2.69382 d2h_ms=2.91075
task_id=79 response_ms=40.0998 kernel_plus_memory_ms=39.9259 kernel_only_ms=34.3516 h2d_ms=2.63827 d2h_ms=2.93594
task_id=80 response_ms=39.9107 kernel_plus_memory_ms=39.7624 kernel_only_ms=34.3109 h2d_ms=2.57587 d2h_ms=2.87558
task_id=81 response_ms=40.0045 kernel_plus_memory_ms=39.8622 kernel_only_ms=34.3405 h2d_ms=2.64138 d2h_ms=2.88026
task_id=82 response_ms=40.0112 kernel_plus_memory_ms=39.8738 kernel_only_ms=34.3215 h2d_ms=2.68128 d2h_ms=2.87098
task_id=83 response_ms=40.0413 kernel_plus_memory_ms=39.9026 kernel_only_ms=34.3603 h2d_ms=2.6457 d2h_ms=2.89658
task_id=84 response_ms=40.1467 kernel_plus_memory_ms=39.9971 kernel_only_ms=34.3177 h2d_ms=2.68134 d2h_ms=2.99805
task_id=85 response_ms=40.0538 kernel_plus_memory_ms=39.9133 kernel_only_ms=34.3403 h2d_ms=2.66298 d2h_ms=2.91002
task_id=86 response_ms=39.9794 kernel_plus_memory_ms=39.8455 kernel_only_ms=34.3572 h2d_ms=2.62861 d2h_ms=2.85971
task_id=87 response_ms=40.0632 kernel_plus_memory_ms=39.915 kernel_only_ms=34.344 h2d_ms=2.68054 d2h_ms=2.89043
task_id=88 response_ms=39.9961 kernel_plus_memory_ms=39.8369 kernel_only_ms=34.3357 h2d_ms=2.6519 d2h_ms=2.84922
task_id=89 response_ms=39.992 kernel_plus_memory_ms=39.8559 kernel_only_ms=34.3245 h2d_ms=2.67002 d2h_ms=2.86134
task_id=90 response_ms=40.7359 kernel_plus_memory_ms=40.574 kernel_only_ms=34.3212 h2d_ms=2.66554 d2h_ms=3.58717
task_id=91 response_ms=40.1024 kernel_plus_memory_ms=39.969 kernel_only_ms=34.3092 h2d_ms=2.7791 d2h_ms=2.88067
task_id=92 response_ms=39.9149 kernel_plus_memory_ms=39.7836 kernel_only_ms=34.3471 h2d_ms=2.55984 d2h_ms=2.87661
task_id=93 response_ms=39.992 kernel_plus_memory_ms=39.8726 kernel_only_ms=34.3166 h2d_ms=2.70493 d2h_ms=2.85104
task_id=94 response_ms=40.0105 kernel_plus_memory_ms=39.8807 kernel_only_ms=34.3092 h2d_ms=2.67741 d2h_ms=2.89408
task_id=95 response_ms=39.99 kernel_plus_memory_ms=39.8637 kernel_only_ms=34.3105 h2d_ms=2.67949 d2h_ms=2.87366
task_id=96 response_ms=40.3051 kernel_plus_memory_ms=40.1409 kernel_only_ms=34.3316 h2d_ms=2.64659 d2h_ms=3.16272
task_id=97 response_ms=40.1573 kernel_plus_memory_ms=40.0284 kernel_only_ms=34.3268 h2d_ms=2.82576 d2h_ms=2.87584
task_id=98 response_ms=39.9769 kernel_plus_memory_ms=39.8479 kernel_only_ms=34.3018 h2d_ms=2.68058 d2h_ms=2.86554
task_id=99 response_ms=40.018 kernel_plus_memory_ms=39.8894 kernel_only_ms=34.2833 h2d_ms=2.7633 d2h_ms=2.84285
task_id=100 response_ms=40.0125 kernel_plus_memory_ms=39.8869 kernel_only_ms=34.3511 h2d_ms=2.67501 d2h_ms=2.86074
task_id=101 response_ms=40.2282 kernel_plus_memory_ms=40.0785 kernel_only_ms=34.3164 h2d_ms=2.66282 d2h_ms=3.09926
task_id=102 response_ms=39.9699 kernel_plus_memory_ms=39.8391 kernel_only_ms=34.3315 h2d_ms=2.63558 d2h_ms=2.8721
task_id=103 response_ms=40.1405 kernel_plus_memory_ms=40.003 kernel_only_ms=34.3146 h2d_ms=2.79085 d2h_ms=2.8976
task_id=104 response_ms=40.0747 kernel_plus_memory_ms=39.9259 kernel_only_ms=34.3538 h2d_ms=2.68416 d2h_ms=2.888
task_id=105 response_ms=39.9574 kernel_plus_memory_ms=39.7866 kernel_only_ms=34.3158 h2d_ms=2.59434 d2h_ms=2.87638
task_id=106 response_ms=40.0309 kernel_plus_memory_ms=39.872 kernel_only_ms=34.3289 h2d_ms=2.67603 d2h_ms=2.86707
