task_id=0 response_ms=30.0519 kernel_plus_memory_ms=29.84 kernel_only_ms=29.7046 h2d_ms=0.040896 d2h_ms=0.09456
task_id=1 response_ms=29.8935 kernel_plus_memory_ms=29.7479 kernel_only_ms=29.2553 h2d_ms=0.404512 d2h_ms=0.088096
task_id=2 response_ms=29.847 kernel_plus_memory_ms=29.7155 kernel_only_ms=29.2441 h2d_ms=0.409504 d2h_ms=0.06192
task_id=3 response_ms=29.8247 kernel_plus_memory_ms=29.6969 kernel_only_ms=29.2221 h2d_ms=0.404064 d2h_ms=0.07072
task_id=4 response_ms=29.8066 kernel_plus_memory_ms=29.6895 kernel_only_ms=29.2248 h2d_ms=0.39872 d2h_ms=0.065952
task_id=5 response_ms=29.8055 kernel_plus_memory_ms=29.6827 kernel_only_ms=29.2178 h2d_ms=0.396576 d2h_ms=0.06832
task_id=6 response_ms=29.8007 kernel_plus_memory_ms=29.6872 kernel_only_ms=29.2256 h2d_ms=0.391072 d2h_ms=0.07056
task_id=7 response_ms=29.7971 kernel_plus_memory_ms=29.6726 kernel_only_ms=29.2091 h2d_ms=0.404736 d2h_ms=0.058784
task_id=8 response_ms=29.7584 kernel_plus_memory_ms=29.661 kernel_only_ms=29.2155 h2d_ms=0.39056 d2h_ms=0.054944
task_id=9 response_ms=29.7579 kernel_plus_memory_ms=29.6596 kernel_only_ms=29.2172 h2d_ms=0.38832 d2h_ms=0.054048
task_id=10 response_ms=29.7639 kernel_plus_memory_ms=29.6403 kernel_only_ms=29.1923 h2d_ms=0.387232 d2h_ms=0.060736
task_id=11 response_ms=29.7534 kernel_plus_memory_ms=29.6481 kernel_only_ms=29.2034 h2d_ms=0.387552 d2h_ms=0.05712
task_id=12 response_ms=29.8196 kernel_plus_memory_ms=29.7146 kernel_only_ms=29.2663 h2d_ms=0.391648 d2h_ms=0.05664
task_id=13 response_ms=29.7389 kernel_plus_memory_ms=29.6387 kernel_only_ms=29.1971 h2d_ms=0.389952 d2h_ms=0.051616
task_id=14 response_ms=29.7041 kernel_plus_memory_ms=29.6104 kernel_only_ms=29.1744 h2d_ms=0.386656 d2h_ms=0.049312
task_id=15 response_ms=29.7134 kernel_plus_memory_ms=29.618 kernel_only_ms=29.1803 h2d_ms=0.386336 d2h_ms=0.051328
task_id=16 response_ms=29.7458 kernel_plus_memory_ms=29.6423 kernel_only_ms=29.1986 h2d_ms=0.388 d2h_ms=0.055712
task_id=17 response_ms=29.7527 kernel_plus_memory_ms=29.6403 kernel_only_ms=29.1911 h2d_ms=0.39216 d2h_ms=0.057056
task_id=18 response_ms=29.8237 kernel_plus_memory_ms=29.6612 kernel_only_ms=29.1983 h2d_ms=0.396544 d2h_ms=0.0664
task_id=19 response_ms=29.7706 kernel_plus_memory_ms=29.6558 kernel_only_ms=29.2068 h2d_ms=0.398432 d2h_ms=0.050528
task_id=20 response_ms=29.7504 kernel_plus_memory_ms=29.646 kernel_only_ms=29.2034 h2d_ms=0.3936 d2h_ms=0.04896
