task_id=0 response_ms=46.3846 kernel_plus_memory_ms=46.0855 kernel_only_ms=45.5937 h2d_ms=0.198272 d2h_ms=0.293536
task_id=1 response_ms=45.4474 kernel_plus_memory_ms=45.3241 kernel_only_ms=45.0411 h2d_ms=0.144096 d2h_ms=0.138912
task_id=2 response_ms=45.4692 kernel_plus_memory_ms=45.3251 kernel_only_ms=45.0304 h2d_ms=0.167264 d2h_ms=0.127424
task_id=3 response_ms=45.3099 kernel_plus_memory_ms=45.1906 kernel_only_ms=44.91 h2d_ms=0.157408 d2h_ms=0.123168
task_id=4 response_ms=45.4015 kernel_plus_memory_ms=45.2597 kernel_only_ms=44.9337 h2d_ms=0.153856 d2h_ms=0.172192
task_id=5 response_ms=45.3508 kernel_plus_memory_ms=45.209 kernel_only_ms=44.8911 h2d_ms=0.193216 d2h_ms=0.124736
task_id=6 response_ms=45.4514 kernel_plus_memory_ms=45.3274 kernel_only_ms=45.0345 h2d_ms=0.148992 d2h_ms=0.14384
task_id=7 response_ms=45.4539 kernel_plus_memory_ms=45.3284 kernel_only_ms=45.0164 h2d_ms=0.184736 d2h_ms=0.12736
task_id=8 response_ms=45.3995 kernel_plus_memory_ms=45.2819 kernel_only_ms=45.0067 h2d_ms=0.142144 d2h_ms=0.133056
task_id=9 response_ms=45.3833 kernel_plus_memory_ms=45.2481 kernel_only_ms=44.9491 h2d_ms=0.167904 d2h_ms=0.13104
task_id=10 response_ms=45.3625 kernel_plus_memory_ms=45.2273 kernel_only_ms=44.9108 h2d_ms=0.154144 d2h_ms=0.162368
task_id=11 response_ms=45.2946 kernel_plus_memory_ms=45.1733 kernel_only_ms=44.868 h2d_ms=0.144608 d2h_ms=0.160736
task_id=12 response_ms=45.364 kernel_plus_memory_ms=45.1987 kernel_only_ms=44.902 h2d_ms=0.14864 d2h_ms=0.14816
task_id=13 response_ms=45.2962 kernel_plus_memory_ms=45.1957 kernel_only_ms=44.9347 h2d_ms=0.136768 d2h_ms=0.124192
task_id=14 response_ms=45.2853 kernel_plus_memory_ms=45.1835 kernel_only_ms=44.9269 h2d_ms=0.1328 d2h_ms=0.12384
task_id=15 response_ms=45.3445 kernel_plus_memory_ms=45.2429 kernel_only_ms=44.9784 h2d_ms=0.133216 d2h_ms=0.131296
task_id=16 response_ms=45.3279 kernel_plus_memory_ms=45.2275 kernel_only_ms=44.9622 h2d_ms=0.127712 d2h_ms=0.137568
task_id=17 response_ms=45.3842 kernel_plus_memory_ms=45.2322 kernel_only_ms=44.9045 h2d_ms=0.16288 d2h_ms=0.164768
task_id=18 response_ms=45.3224 kernel_plus_memory_ms=45.1922 kernel_only_ms=44.8788 h2d_ms=0.180224 d2h_ms=0.133152
task_id=19 response_ms=45.3894 kernel_plus_memory_ms=45.2815 kernel_only_ms=45.0148 h2d_ms=0.14032 d2h_ms=0.126432
task_id=20 response_ms=45.2642 kernel_plus_memory_ms=45.155 kernel_only_ms=44.887 h2d_ms=0.142528 d2h_ms=0.12544
task_id=21 response_ms=45.4317 kernel_plus_memory_ms=45.2957 kernel_only_ms=44.9877 h2d_ms=0.146784 d2h_ms=0.161248
task_id=22 response_ms=45.2524 kernel_plus_memory_ms=45.1392 kernel_only_ms=44.8652 h2d_ms=0.134688 d2h_ms=0.139392
task_id=23 response_ms=45.2839 kernel_plus_memory_ms=45.1691 kernel_only_ms=44.8932 h2d_ms=0.13632 d2h_ms=0.139584
task_id=24 response_ms=45.3194 kernel_plus_memory_ms=45.1904 kernel_only_ms=44.8884 h2d_ms=0.146816 d2h_ms=0.155232
task_id=25 response_ms=45.3962 kernel_plus_memory_ms=45.2858 kernel_only_ms=45.0063 h2d_ms=0.144928 d2h_ms=0.134624
