task_id=0 response_ms=36.9767 kernel_plus_memory_ms=36.7164 kernel_only_ms=12.0386 h2d_ms=11.896 d2h_ms=12.7818
task_id=1 response_ms=34.5765 kernel_plus_memory_ms=34.4124 kernel_only_ms=11.5362 h2d_ms=11.281 d2h_ms=11.5952
task_id=2 response_ms=34.7712 kernel_plus_memory_ms=34.6274 kernel_only_ms=11.5264 h2d_ms=11.534 d2h_ms=11.567
task_id=3 response_ms=34.6314 kernel_plus_memory_ms=34.4872 kernel_only_ms=11.5122 h2d_ms=11.36 d2h_ms=11.615
task_id=4 response_ms=34.7033 kernel_plus_memory_ms=34.5554 kernel_only_ms=11.5227 h2d_ms=11.4041 d2h_ms=11.6285
task_id=5 response_ms=35.9902 kernel_plus_memory_ms=35.8374 kernel_only_ms=11.5505 h2d_ms=12.6254 d2h_ms=11.6616
task_id=6 response_ms=35.6834 kernel_plus_memory_ms=35.5289 kernel_only_ms=11.5287 h2d_ms=12.151 d2h_ms=11.8492
task_id=7 response_ms=35.2282 kernel_plus_memory_ms=35.0762 kernel_only_ms=11.5275 h2d_ms=11.8871 d2h_ms=11.6616
task_id=8 response_ms=34.8244 kernel_plus_memory_ms=34.6779 kernel_only_ms=11.5166 h2d_ms=11.4712 d2h_ms=11.69
task_id=9 response_ms=34.8177 kernel_plus_memory_ms=34.6703 kernel_only_ms=11.5214 h2d_ms=11.4664 d2h_ms=11.6824
task_id=10 response_ms=34.7357 kernel_plus_memory_ms=34.5879 kernel_only_ms=11.5218 h2d_ms=11.4314 d2h_ms=11.6348
task_id=11 response_ms=35.7617 kernel_plus_memory_ms=35.5937 kernel_only_ms=11.5255 h2d_ms=11.4337 d2h_ms=12.6345
task_id=12 response_ms=35.5701 kernel_plus_memory_ms=35.2614 kernel_only_ms=11.5132 h2d_ms=12.1178 d2h_ms=11.6305
task_id=13 response_ms=34.8612 kernel_plus_memory_ms=34.715 kernel_only_ms=11.505 h2d_ms=11.5238 d2h_ms=11.6861
