workload,period_s,power_w
bfs,0.06,8.5542
bfs,0.07,8.02682
bfs,0.08,7.67837
bfs,0.09,7.42014
bfs,0.1,7.15885
bfs,0.11,6.9619
bfs,0.12,6.78843
bfs,0.13,6.65891
bfs,0.14,6.54034
bfs,0.15,6.43779
hist,0.06,6.74943
hist,0.07,6.512
hist,0.08,6.33021
hist,0.09,6.31079
hist,0.1,6.07401
hist,0.11,5.96623
hist,0.12,5.89539
hist,0.13,5.83592
hist,0.14,5.77171
hist,0.15,5.72035
mm,0.06,9.68259
mm,0.07,8.98554
mm,0.08,8.50573
mm,0.09,8.14215
mm,0.1,7.84863
mm,0.11,7.61302
mm,0.12,7.40065
mm,0.13,7.22424
mm,0.14,7.06649
mm,0.15,6.93138
particle,0.06,6.20492
particle,0.07,6.02287
particle,0.08,5.89664
particle,0.09,5.80463
particle,0.1,5.7334
particle,0.11,5.66466
particle,0.12,5.61331
particle,0.13,5.56943
particle,0.14,5.52784
particle,0.15,5.48989
quasi,0.06,7.20472
quasi,0.07,6.90126
quasi,0.08,6.68135
quasi,0.09,6.5097
quasi,0.1,6.34954
quasi,0.11,6.23397
quasi,0.12,6.12658
quasi,0.13,6.06088
quasi,0.14,5.98113
quasi,0.15,5.91786
stereo,0.06,7.57635
stereo,0.07,7.16755
stereo,0.08,6.92136
stereo,0.09,6.75707
stereo,0.1,6.61656
stereo,0.11,6.468
stereo,0.12,6.3422
stereo,0.13,6.24594
stereo,0.14,6.16287
stereo,0.15,6.08514
