task_id=0 response_ms=28.356 kernel_plus_memory_ms=27.7575 kernel_only_ms=27.6031 h2d_ms=0.087712 d2h_ms=0.066688
task_id=1 response_ms=26.6753 kernel_plus_memory_ms=26.5451 kernel_only_ms=26.0698 h2d_ms=0.379584 d2h_ms=0.095744
task_id=2 response_ms=26.6304 kernel_plus_memory_ms=26.5134 kernel_only_ms=26.082 h2d_ms=0.385312 d2h_ms=0.046016
task_id=3 response_ms=26.6148 kernel_plus_memory_ms=26.5 kernel_only_ms=26.0686 h2d_ms=0.380704 d2h_ms=0.050624
task_id=4 response_ms=26.62 kernel_plus_memory_ms=26.5044 kernel_only_ms=26.061 h2d_ms=0.387616 d2h_ms=0.055776
task_id=5 response_ms=26.6245 kernel_plus_memory_ms=26.5182 kernel_only_ms=26.0914 h2d_ms=0.37552 d2h_ms=0.051296
task_id=6 response_ms=26.6004 kernel_plus_memory_ms=26.5113 kernel_only_ms=26.0962 h2d_ms=0.367872 d2h_ms=0.0472
task_id=7 response_ms=26.5886 kernel_plus_memory_ms=26.4884 kernel_only_ms=26.0703 h2d_ms=0.367936 d2h_ms=0.050144
task_id=8 response_ms=26.6024 kernel_plus_memory_ms=26.4952 kernel_only_ms=26.0756 h2d_ms=0.36864 d2h_ms=0.050944
task_id=9 response_ms=26.5899 kernel_plus_memory_ms=26.4939 kernel_only_ms=26.0707 h2d_ms=0.376384 d2h_ms=0.04688
task_id=10 response_ms=26.5978 kernel_plus_memory_ms=26.5013 kernel_only_ms=26.0829 h2d_ms=0.369728 d2h_ms=0.048608
task_id=11 response_ms=26.5686 kernel_plus_memory_ms=26.4686 kernel_only_ms=26.0473 h2d_ms=0.370912 d2h_ms=0.050368
task_id=12 response_ms=26.6033 kernel_plus_memory_ms=26.5107 kernel_only_ms=26.0886 h2d_ms=0.37472 d2h_ms=0.047424
task_id=13 response_ms=26.5799 kernel_plus_memory_ms=26.483 kernel_only_ms=26.0613 h2d_ms=0.3728 d2h_ms=0.048928
task_id=14 response_ms=26.5895 kernel_plus_memory_ms=26.496 kernel_only_ms=26.0738 h2d_ms=0.368224 d2h_ms=0.053984
task_id=15 response_ms=26.6269 kernel_plus_memory_ms=26.5343 kernel_only_ms=26.1065 h2d_ms=0.37552 d2h_ms=0.05232
task_id=16 response_ms=26.6148 kernel_plus_memory_ms=26.5064 kernel_only_ms=26.0882 h2d_ms=0.3712 d2h_ms=0.04704
task_id=17 response_ms=26.5967 kernel_plus_memory_ms=26.5036 kernel_only_ms=26.0877 h2d_ms=0.37296 d2h_ms=0.042912
task_id=18 response_ms=26.5901 kernel_plus_memory_ms=26.4789 kernel_only_ms=26.0725 h2d_ms=0.36256 d2h_ms=0.04384
task_id=19 response_ms=26.5824 kernel_plus_memory_ms=26.4888 kernel_only_ms=26.0759 h2d_ms=0.369248 d2h_ms=0.043616
task_id=20 response_ms=26.5694 kernel_plus_memory_ms=26.469 kernel_only_ms=26.0565 h2d_ms=0.367296 d2h_ms=0.045152
task_id=21 response_ms=26.6757 kernel_plus_memory_ms=26.5741 kernel_only_ms=26.0574 h2d_ms=0.46368 d2h_ms=0.053024
task_id=22 response_ms=26.6101 kernel_plus_memory_ms=26.512 kernel_only_ms=26.081 h2d_ms=0.385184 d2h_ms=0.045824
task_id=23 response_ms=26.5907 kernel_plus_memory_ms=26.4988 kernel_only_ms=26.078 h2d_ms=0.372928 d2h_ms=0.047872
task_id=24 response_ms=26.5679 kernel_plus_memory_ms=26.4772 kernel_only_ms=26.0595 h2d_ms=0.376064 d2h_ms=0.041696
task_id=25 response_ms=26.5821 kernel_plus_memory_ms=26.4868 kernel_only_ms=26.0698 h2d_ms=0.371392 d2h_ms=0.045632
task_id=26 response_ms=26.5711 kernel_plus_memory_ms=26.4786 kernel_only_ms=26.0609 h2d_ms=0.373408 d2h_ms=0.044224
task_id=27 response_ms=26.5942 kernel_plus_memory_ms=26.4967 kernel_only_ms=26.076 h2d_ms=0.375328 d2h_ms=0.045344
task_id=28 response_ms=26.5619 kernel_plus_memory_ms=26.4701 kernel_only_ms=26.063 h2d_ms=0.359456 d2h_ms=0.047616
task_id=29 response_ms=26.6469 kernel_plus_memory_ms=26.5076 kernel_only_ms=26.0728 h2d_ms=0.373216 d2h_ms=0.061536
task_id=30 response_ms=26.5958 kernel_plus_memory_ms=26.4991 kernel_only_ms=26.0691 h2d_ms=0.37984 d2h_ms=0.050176
task_id=31 response_ms=26.5807 kernel_plus_memory_ms=26.4732 kernel_only_ms=26.0578 h2d_ms=0.373056 d2h_ms=0.042368
task_id=32 response_ms=26.5871 kernel_plus_memory_ms=26.485 kernel_only_ms=26.0631 h2d_ms=0.374016 d2h_ms=0.04784
task_id=33 response_ms=26.6053 kernel_plus_memory_ms=26.4906 kernel_only_ms=26.0592 h2d_ms=0.38448 d2h_ms=0.046944
task_id=34 response_ms=26.591 kernel_plus_memory_ms=26.4778 kernel_only_ms=26.0458 h2d_ms=0.380832 d2h_ms=0.051232
task_id=35 response_ms=26.6551 kernel_plus_memory_ms=26.5162 kernel_only_ms=26.0765 h2d_ms=0.380224 d2h_ms=0.059456
task_id=36 response_ms=26.6413 kernel_plus_memory_ms=26.5288 kernel_only_ms=26.0569 h2d_ms=0.413504 d2h_ms=0.058368
task_id=37 response_ms=26.6421 kernel_plus_memory_ms=26.5244 kernel_only_ms=26.0613 h2d_ms=0.372 d2h_ms=0.09104
task_id=38 response_ms=26.6193 kernel_plus_memory_ms=26.5075 kernel_only_ms=26.0822 h2d_ms=0.377472 d2h_ms=0.047776
task_id=39 response_ms=26.6131 kernel_plus_memory_ms=26.4999 kernel_only_ms=26.0662 h2d_ms=0.388224 d2h_ms=0.045472
task_id=40 response_ms=26.6107 kernel_plus_memory_ms=26.4999 kernel_only_ms=26.0626 h2d_ms=0.386048 d2h_ms=0.0512
task_id=41 response_ms=26.6226 kernel_plus_memory_ms=26.5078 kernel_only_ms=26.0717 h2d_ms=0.386368 d2h_ms=0.049792
task_id=42 response_ms=26.6288 kernel_plus_memory_ms=26.5057 kernel_only_ms=26.0764 h2d_ms=0.382112 d2h_ms=0.047136
task_id=43 response_ms=26.5644 kernel_plus_memory_ms=26.4848 kernel_only_ms=26.0767 h2d_ms=0.3624 d2h_ms=0.045728
task_id=44 response_ms=26.6037 kernel_plus_memory_ms=26.4763 kernel_only_ms=26.0503 h2d_ms=0.371232 d2h_ms=0.054752
task_id=45 response_ms=26.6013 kernel_plus_memory_ms=26.493 kernel_only_ms=26.0637 h2d_ms=0.379808 d2h_ms=0.049472
