task_id=0 response_ms=40.8505 kernel_plus_memory_ms=40.6596 kernel_only_ms=40.2389 h2d_ms=0.115936 d2h_ms=0.3048
task_id=1 response_ms=40.2472 kernel_plus_memory_ms=40.1301 kernel_only_ms=39.8448 h2d_ms=0.150272 d2h_ms=0.135008
task_id=2 response_ms=40.255 kernel_plus_memory_ms=40.123 kernel_only_ms=39.8419 h2d_ms=0.146432 d2h_ms=0.134688
task_id=3 response_ms=40.1767 kernel_plus_memory_ms=40.0823 kernel_only_ms=39.8279 h2d_ms=0.132672 d2h_ms=0.121728
task_id=4 response_ms=40.1799 kernel_plus_memory_ms=40.0771 kernel_only_ms=39.8278 h2d_ms=0.128064 d2h_ms=0.12128
task_id=5 response_ms=40.208 kernel_plus_memory_ms=40.1124 kernel_only_ms=39.8595 h2d_ms=0.125312 d2h_ms=0.127584
task_id=6 response_ms=40.2039 kernel_plus_memory_ms=40.0909 kernel_only_ms=39.8148 h2d_ms=0.141664 d2h_ms=0.134368
task_id=7 response_ms=40.2652 kernel_plus_memory_ms=40.1687 kernel_only_ms=39.9056 h2d_ms=0.135904 d2h_ms=0.1272
task_id=8 response_ms=40.1816 kernel_plus_memory_ms=40.0713 kernel_only_ms=39.8218 h2d_ms=0.116512 d2h_ms=0.13296
task_id=9 response_ms=40.2001 kernel_plus_memory_ms=40.0943 kernel_only_ms=39.8415 h2d_ms=0.125248 d2h_ms=0.127584
task_id=10 response_ms=40.1691 kernel_plus_memory_ms=40.0743 kernel_only_ms=39.8287 h2d_ms=0.12224 d2h_ms=0.123392
task_id=11 response_ms=40.1751 kernel_plus_memory_ms=40.0871 kernel_only_ms=39.8309 h2d_ms=0.122048 d2h_ms=0.134144
task_id=12 response_ms=40.1891 kernel_plus_memory_ms=40.0945 kernel_only_ms=39.8465 h2d_ms=0.12048 d2h_ms=0.12752
task_id=13 response_ms=40.2418 kernel_plus_memory_ms=40.1383 kernel_only_ms=39.8642 h2d_ms=0.152544 d2h_ms=0.1216
task_id=14 response_ms=40.2743 kernel_plus_memory_ms=40.1749 kernel_only_ms=39.8993 h2d_ms=0.13888 d2h_ms=0.136672
