task_id=0 response_ms=34.9475 kernel_plus_memory_ms=34.6488 kernel_only_ms=10.7647 h2d_ms=11.6045 d2h_ms=12.2796
task_id=1 response_ms=33.0952 kernel_plus_memory_ms=32.9455 kernel_only_ms=10.266 h2d_ms=11.2138 d2h_ms=11.4657
task_id=2 response_ms=33.3251 kernel_plus_memory_ms=33.1808 kernel_only_ms=10.2425 h2d_ms=11.521 d2h_ms=11.4173
task_id=3 response_ms=33.0988 kernel_plus_memory_ms=32.9464 kernel_only_ms=10.2604 h2d_ms=11.2441 d2h_ms=11.4419
task_id=4 response_ms=33.1466 kernel_plus_memory_ms=32.9969 kernel_only_ms=10.257 h2d_ms=11.2984 d2h_ms=11.4415
task_id=5 response_ms=33.1919 kernel_plus_memory_ms=33.0386 kernel_only_ms=10.263 h2d_ms=11.2918 d2h_ms=11.4838
task_id=6 response_ms=33.3908 kernel_plus_memory_ms=33.2348 kernel_only_ms=10.249 h2d_ms=11.3292 d2h_ms=11.6565
task_id=7 response_ms=33.0485 kernel_plus_memory_ms=32.9122 kernel_only_ms=10.2488 h2d_ms=11.2258 d2h_ms=11.4376
task_id=8 response_ms=33.1674 kernel_plus_memory_ms=33.0266 kernel_only_ms=10.258 h2d_ms=11.2391 d2h_ms=11.5295
task_id=9 response_ms=33.0791 kernel_plus_memory_ms=32.9398 kernel_only_ms=10.2521 h2d_ms=11.2551 d2h_ms=11.4326
task_id=10 response_ms=33.1417 kernel_plus_memory_ms=32.9783 kernel_only_ms=10.2441 h2d_ms=11.264 d2h_ms=11.4701
task_id=11 response_ms=33.1476 kernel_plus_memory_ms=33.0027 kernel_only_ms=10.2523 h2d_ms=11.2975 d2h_ms=11.4529
task_id=12 response_ms=33.6171 kernel_plus_memory_ms=33.4577 kernel_only_ms=10.2431 h2d_ms=11.5909 d2h_ms=11.6238
task_id=13 response_ms=33.6734 kernel_plus_memory_ms=33.4886 kernel_only_ms=10.2515 h2d_ms=11.7764 d2h_ms=11.4607
task_id=14 response_ms=33.094 kernel_plus_memory_ms=32.9463 kernel_only_ms=10.2659 h2d_ms=11.216 d2h_ms=11.4644
task_id=15 response_ms=33.6988 kernel_plus_memory_ms=33.5354 kernel_only_ms=10.2481 h2d_ms=11.8231 d2h_ms=11.4642
task_id=16 response_ms=33.006 kernel_plus_memory_ms=32.8682 kernel_only_ms=10.2523 h2d_ms=11.1962 d2h_ms=11.4197
task_id=17 response_ms=33.1658 kernel_plus_memory_ms=32.9963 kernel_only_ms=10.2549 h2d_ms=11.3011 d2h_ms=11.4403
task_id=18 response_ms=33.1563 kernel_plus_memory_ms=33.0016 kernel_only_ms=10.2667 h2d_ms=11.3015 d2h_ms=11.4334
task_id=19 response_ms=33.9703 kernel_plus_memory_ms=33.7952 kernel_only_ms=10.2467 h2d_ms=12.1016 d2h_ms=11.4469
task_id=20 response_ms=33.7014 kernel_plus_memory_ms=33.5423 kernel_only_ms=10.3138 h2d_ms=11.7672 d2h_ms=11.4613
task_id=21 response_ms=34.542 kernel_plus_memory_ms=34.3832 kernel_only_ms=10.2764 h2d_ms=11.8336 d2h_ms=12.2732
task_id=22 response_ms=33.1113 kernel_plus_memory_ms=32.9583 kernel_only_ms=10.2467 h2d_ms=11.2542 d2h_ms=11.4574
