task_id=0 response_ms=38.0181 kernel_plus_memory_ms=37.4964 kernel_only_ms=30.9802 h2d_ms=2.76605 d2h_ms=3.75021
task_id=1 response_ms=36.248 kernel_plus_memory_ms=36.0806 kernel_only_ms=30.4771 h2d_ms=2.74346 d2h_ms=2.86006
task_id=2 response_ms=36.3167 kernel_plus_memory_ms=36.1877 kernel_only_ms=30.4934 h2d_ms=2.85226 d2h_ms=2.84205
task_id=3 response_ms=36.1377 kernel_plus_memory_ms=36.017 kernel_only_ms=30.4884 h2d_ms=2.68192 d2h_ms=2.84669
task_id=4 response_ms=36.1284 kernel_plus_memory_ms=35.9736 kernel_only_ms=30.5012 h2d_ms=2.63933 d2h_ms=2.83299
task_id=5 response_ms=36.1157 kernel_plus_memory_ms=35.9761 kernel_only_ms=30.4647 h2d_ms=2.65229 d2h_ms=2.85914
task_id=6 response_ms=36.3851 kernel_plus_memory_ms=36.2275 kernel_only_ms=30.4686 h2d_ms=2.92656 d2h_ms=2.83235
task_id=7 response_ms=36.049 kernel_plus_memory_ms=35.9023 kernel_only_ms=30.4728 h2d_ms=2.55075 d2h_ms=2.87875
task_id=8 response_ms=36.073 kernel_plus_memory_ms=35.9305 kernel_only_ms=30.4892 h2d_ms=2.58336 d2h_ms=2.85798
task_id=9 response_ms=36.1177 kernel_plus_memory_ms=35.9763 kernel_only_ms=30.4772 h2d_ms=2.63382 d2h_ms=2.86525
task_id=10 response_ms=36.0507 kernel_plus_memory_ms=35.8946 kernel_only_ms=30.4738 h2d_ms=2.59187 d2h_ms=2.82899
task_id=11 response_ms=36.0577 kernel_plus_memory_ms=35.9124 kernel_only_ms=30.4707 h2d_ms=2.66029 d2h_ms=2.78134
task_id=12 response_ms=36.0346 kernel_plus_memory_ms=35.8943 kernel_only_ms=30.5077 h2d_ms=2.57229 d2h_ms=2.81427
task_id=13 response_ms=36.3825 kernel_plus_memory_ms=36.2394 kernel_only_ms=30.4902 h2d_ms=2.92877 d2h_ms=2.82045
task_id=14 response_ms=36.3475 kernel_plus_memory_ms=36.1784 kernel_only_ms=30.4956 h2d_ms=2.85085 d2h_ms=2.832
task_id=15 response_ms=36.1302 kernel_plus_memory_ms=35.9596 kernel_only_ms=30.4701 h2d_ms=2.59984 d2h_ms=2.8897
task_id=16 response_ms=36.3001 kernel_plus_memory_ms=36.1286 kernel_only_ms=30.4758 h2d_ms=2.64816 d2h_ms=3.00464
task_id=17 response_ms=36.3236 kernel_plus_memory_ms=36.1686 kernel_only_ms=30.4728 h2d_ms=2.61229 d2h_ms=3.08349
task_id=18 response_ms=36.2781 kernel_plus_memory_ms=36.1395 kernel_only_ms=30.4817 h2d_ms=2.83315 d2h_ms=2.82464
task_id=19 response_ms=36.0577 kernel_plus_memory_ms=35.9171 kernel_only_ms=30.4741 h2d_ms=2.6345 d2h_ms=2.80851
task_id=20 response_ms=35.9814 kernel_plus_memory_ms=35.8531 kernel_only_ms=30.4712 h2d_ms=2.54451 d2h_ms=2.83738
task_id=21 response_ms=35.9919 kernel_plus_memory_ms=35.8634 kernel_only_ms=30.4618 h2d_ms=2.57072 d2h_ms=2.83085
task_id=22 response_ms=36.2816 kernel_plus_memory_ms=36.0998 kernel_only_ms=30.4608 h2d_ms=2.61699 d2h_ms=3.02205
task_id=23 response_ms=36.2036 kernel_plus_memory_ms=36.0474 kernel_only_ms=30.4751 h2d_ms=2.59373 d2h_ms=2.97859
task_id=24 response_ms=36.0378 kernel_plus_memory_ms=35.8888 kernel_only_ms=30.4771 h2d_ms=2.63149 d2h_ms=2.78022
task_id=25 response_ms=36.3158 kernel_plus_memory_ms=36.176 kernel_only_ms=30.5297 h2d_ms=2.81277 d2h_ms=2.83354
task_id=26 response_ms=36.1348 kernel_plus_memory_ms=35.9847 kernel_only_ms=30.4852 h2d_ms=2.6551 d2h_ms=2.84438
task_id=27 response_ms=36.1983 kernel_plus_memory_ms=36.065 kernel_only_ms=30.4682 h2d_ms=2.75469 d2h_ms=2.84218
task_id=28 response_ms=36.156 kernel_plus_memory_ms=36.024 kernel_only_ms=30.4883 h2d_ms=2.71878 d2h_ms=2.8169
task_id=29 response_ms=36.0314 kernel_plus_memory_ms=35.9033 kernel_only_ms=30.4927 h2d_ms=2.58106 d2h_ms=2.82954
task_id=30 response_ms=35.999 kernel_plus_memory_ms=35.8687 kernel_only_ms=30.4908 h2d_ms=2.57939 d2h_ms=2.79856
task_id=31 response_ms=35.9883 kernel_plus_memory_ms=35.8591 kernel_only_ms=30.4782 h2d_ms=2.59379 d2h_ms=2.7871
task_id=32 response_ms=36.0327 kernel_plus_memory_ms=35.8905 kernel_only_ms=30.4826 h2d_ms=2.56742 d2h_ms=2.84042
task_id=33 response_ms=36.0144 kernel_plus_memory_ms=35.8754 kernel_only_ms=30.4947 h2d_ms=2.60426 d2h_ms=2.77648
task_id=34 response_ms=35.9835 kernel_plus_memory_ms=35.8362 kernel_only_ms=30.4676 h2d_ms=2.52819 d2h_ms=2.84045
task_id=35 response_ms=36.0748 kernel_plus_memory_ms=35.9354 kernel_only_ms=30.4432 h2d_ms=2.71434 d2h_ms=2.77789
task_id=36 response_ms=36.0597 kernel_plus_memory_ms=35.9151 kernel_only_ms=30.4618 h2d_ms=2.57821 d2h_ms=2.8751
task_id=37 response_ms=36.0513 kernel_plus_memory_ms=35.9203 kernel_only_ms=30.503 h2d_ms=2.58342 d2h_ms=2.83382
task_id=38 response_ms=36.0139 kernel_plus_memory_ms=35.8894 kernel_only_ms=30.4649 h2d_ms=2.63123 d2h_ms=2.79322
task_id=39 response_ms=36.0448 kernel_plus_memory_ms=35.9066 kernel_only_ms=30.4806 h2d_ms=2.61885 d2h_ms=2.80717
task_id=40 response_ms=36.0919 kernel_plus_memory_ms=35.956 kernel_only_ms=30.4591 h2d_ms=2.62147 d2h_ms=2.87542
task_id=41 response_ms=36.3417 kernel_plus_memory_ms=36.1873 kernel_only_ms=30.4686 h2d_ms=2.91485 d2h_ms=2.80381
task_id=42 response_ms=35.9946 kernel_plus_memory_ms=35.8629 kernel_only_ms=30.4657 h2d_ms=2.57053 d2h_ms=2.82659
task_id=43 response_ms=35.9962 kernel_plus_memory_ms=35.8529 kernel_only_ms=30.4649 h2d_ms=2.55459 d2h_ms=2.83338
task_id=44 response_ms=36.003 kernel_plus_memory_ms=35.8629 kernel_only_ms=30.4852 h2d_ms=2.59795 d2h_ms=2.77974
task_id=45 response_ms=36.0109 kernel_plus_memory_ms=35.8731 kernel_only_ms=30.4656 h2d_ms=2.56406 d2h_ms=2.84349
