task_id=0 response_ms=40.7111 kernel_plus_memory_ms=40.5 kernel_only_ms=40.0247 h2d_ms=0.114624 d2h_ms=0.36064
task_id=1 response_ms=48.5071 kernel_plus_memory_ms=48.042 kernel_only_ms=47.7181 h2d_ms=0.174048 d2h_ms=0.149824
task_id=2 response_ms=40.1585 kernel_plus_memory_ms=40.0078 kernel_only_ms=39.6829 h2d_ms=0.179296 d2h_ms=0.1456
task_id=3 response_ms=40.0399 kernel_plus_memory_ms=39.9004 kernel_only_ms=39.5612 h2d_ms=0.173984 d2h_ms=0.165216
task_id=4 response_ms=40.1349 kernel_plus_memory_ms=40.0055 kernel_only_ms=39.6778 h2d_ms=0.169408 d2h_ms=0.158304
task_id=5 response_ms=40.0831 kernel_plus_memory_ms=39.9318 kernel_only_ms=39.6076 h2d_ms=0.17552 d2h_ms=0.148672
task_id=6 response_ms=40.06 kernel_plus_memory_ms=39.916 kernel_only_ms=39.579 h2d_ms=0.17712 d2h_ms=0.159872
task_id=7 response_ms=40.2799 kernel_plus_memory_ms=40.1425 kernel_only_ms=39.8375 h2d_ms=0.177504 d2h_ms=0.127488
task_id=8 response_ms=39.9985 kernel_plus_memory_ms=39.8767 kernel_only_ms=39.5665 h2d_ms=0.168128 d2h_ms=0.142016
task_id=9 response_ms=40.139 kernel_plus_memory_ms=39.991 kernel_only_ms=39.6773 h2d_ms=0.164704 d2h_ms=0.148928
task_id=10 response_ms=40.167 kernel_plus_memory_ms=40.0201 kernel_only_ms=39.6953 h2d_ms=0.184832 d2h_ms=0.140032
task_id=11 response_ms=40.0378 kernel_plus_memory_ms=39.8973 kernel_only_ms=39.5671 h2d_ms=0.188704 d2h_ms=0.141472
task_id=12 response_ms=40.0257 kernel_plus_memory_ms=39.8975 kernel_only_ms=39.5932 h2d_ms=0.147104 d2h_ms=0.157184
task_id=13 response_ms=40.1435 kernel_plus_memory_ms=40.0164 kernel_only_ms=39.7038 h2d_ms=0.170848 d2h_ms=0.141696
task_id=14 response_ms=40.0809 kernel_plus_memory_ms=39.9595 kernel_only_ms=39.6736 h2d_ms=0.150112 d2h_ms=0.135712
task_id=15 response_ms=40.1537 kernel_plus_memory_ms=39.9675 kernel_only_ms=39.6278 h2d_ms=0.188352 d2h_ms=0.151392
task_id=16 response_ms=40.203 kernel_plus_memory_ms=40.031 kernel_only_ms=39.6835 h2d_ms=0.183904 d2h_ms=0.163616
task_id=17 response_ms=40.2064 kernel_plus_memory_ms=40.0198 kernel_only_ms=39.6796 h2d_ms=0.168352 d2h_ms=0.17184
task_id=18 response_ms=40.2689 kernel_plus_memory_ms=40.1028 kernel_only_ms=39.6764 h2d_ms=0.236736 d2h_ms=0.189632
task_id=19 response_ms=40.1348 kernel_plus_memory_ms=39.9735 kernel_only_ms=39.629 h2d_ms=0.193056 d2h_ms=0.151456
task_id=20 response_ms=40.0867 kernel_plus_memory_ms=39.9186 kernel_only_ms=39.5569 h2d_ms=0.194496 d2h_ms=0.167264
task_id=21 response_ms=40.192 kernel_plus_memory_ms=40.0244 kernel_only_ms=39.6714 h2d_ms=0.18544 d2h_ms=0.167584
