task_id=0 response_ms=35.2979 kernel_plus_memory_ms=35.102 kernel_only_ms=10.7737 h2d_ms=11.8095 d2h_ms=12.5188
task_id=1 response_ms=36.4167 kernel_plus_memory_ms=36.1943 kernel_only_ms=10.6366 h2d_ms=12.8879 d2h_ms=12.6698
task_id=2 response_ms=33.3032 kernel_plus_memory_ms=33.1556 kernel_only_ms=10.1947 h2d_ms=11.518 d2h_ms=11.4428
task_id=3 response_ms=33.1557 kernel_plus_memory_ms=33.0097 kernel_only_ms=10.1922 h2d_ms=11.397 d2h_ms=11.4205
task_id=4 response_ms=33.1452 kernel_plus_memory_ms=33.0023 kernel_only_ms=10.1915 h2d_ms=11.0778 d2h_ms=11.733
task_id=5 response_ms=34.8361 kernel_plus_memory_ms=34.6828 kernel_only_ms=10.2079 h2d_ms=11.8847 d2h_ms=12.5901
task_id=6 response_ms=33.0897 kernel_plus_memory_ms=32.942 kernel_only_ms=10.1929 h2d_ms=11.317 d2h_ms=11.4322
task_id=7 response_ms=33.3105 kernel_plus_memory_ms=33.163 kernel_only_ms=10.1914 h2d_ms=11.5028 d2h_ms=11.4687
task_id=8 response_ms=35.0338 kernel_plus_memory_ms=34.8408 kernel_only_ms=10.1886 h2d_ms=12.0033 d2h_ms=12.6489
task_id=9 response_ms=34.576 kernel_plus_memory_ms=34.4249 kernel_only_ms=10.1969 h2d_ms=11.6555 d2h_ms=12.5726
task_id=10 response_ms=33.0598 kernel_plus_memory_ms=32.9178 kernel_only_ms=10.1919 h2d_ms=11.2948 d2h_ms=11.4311
task_id=11 response_ms=33.346 kernel_plus_memory_ms=33.1925 kernel_only_ms=10.1896 h2d_ms=11.4986 d2h_ms=11.5043
task_id=12 response_ms=35.4967 kernel_plus_memory_ms=35.2974 kernel_only_ms=10.3092 h2d_ms=12.4526 d2h_ms=12.5356
task_id=13 response_ms=34.3924 kernel_plus_memory_ms=34.2401 kernel_only_ms=10.2026 h2d_ms=11.5422 d2h_ms=12.4953
task_id=14 response_ms=33.0496 kernel_plus_memory_ms=32.9029 kernel_only_ms=10.2223 h2d_ms=11.236 d2h_ms=11.4446
task_id=15 response_ms=33.0338 kernel_plus_memory_ms=32.8811 kernel_only_ms=10.1935 h2d_ms=11.2558 d2h_ms=11.4318
task_id=16 response_ms=33.1046 kernel_plus_memory_ms=32.943 kernel_only_ms=10.195 h2d_ms=11.2186 d2h_ms=11.5294
task_id=17 response_ms=33.0471 kernel_plus_memory_ms=32.9165 kernel_only_ms=10.1913 h2d_ms=11.2538 d2h_ms=11.4715
task_id=18 response_ms=33.0917 kernel_plus_memory_ms=32.9483 kernel_only_ms=10.2147 h2d_ms=11.2745 d2h_ms=11.4591
task_id=19 response_ms=33.7576 kernel_plus_memory_ms=33.6012 kernel_only_ms=10.186 h2d_ms=12.0026 d2h_ms=11.4125
task_id=20 response_ms=33.9832 kernel_plus_memory_ms=33.833 kernel_only_ms=10.1913 h2d_ms=12.2296 d2h_ms=11.4122
task_id=21 response_ms=35.5 kernel_plus_memory_ms=35.3542 kernel_only_ms=10.1978 h2d_ms=12.7338 d2h_ms=12.4227
task_id=22 response_ms=33.5893 kernel_plus_memory_ms=33.414 kernel_only_ms=10.1902 h2d_ms=11.7672 d2h_ms=11.4566
task_id=23 response_ms=33.1088 kernel_plus_memory_ms=32.9639 kernel_only_ms=10.1883 h2d_ms=11.3313 d2h_ms=11.4443
task_id=24 response_ms=34.4299 kernel_plus_memory_ms=34.2692 kernel_only_ms=10.1882 h2d_ms=12.3992 d2h_ms=11.6818
task_id=25 response_ms=35.4517 kernel_plus_memory_ms=35.2957 kernel_only_ms=10.3017 h2d_ms=12.4105 d2h_ms=12.5835
task_id=26 response_ms=33.4579 kernel_plus_memory_ms=33.3223 kernel_only_ms=10.1933 h2d_ms=11.6524 d2h_ms=11.4766
task_id=27 response_ms=33.0966 kernel_plus_memory_ms=32.9501 kernel_only_ms=10.2149 h2d_ms=11.2881 d2h_ms=11.4471
task_id=28 response_ms=33.1234 kernel_plus_memory_ms=32.9715 kernel_only_ms=10.1981 h2d_ms=11.2933 d2h_ms=11.48
task_id=29 response_ms=32.9348 kernel_plus_memory_ms=32.8004 kernel_only_ms=10.1932 h2d_ms=11.227 d2h_ms=11.3802
