task_id=0 response_ms=62.4683 kernel_plus_memory_ms=37.5249 kernel_only_ms=30.7705 h2d_ms=2.83962 d2h_ms=3.91478
task_id=1 response_ms=58.4675 kernel_plus_memory_ms=36.1276 kernel_only_ms=30.2897 h2d_ms=2.86141 d2h_ms=2.97642
task_id=2 response_ms=58.5427 kernel_plus_memory_ms=36.1955 kernel_only_ms=30.3476 h2d_ms=2.91882 d2h_ms=2.92909
task_id=3 response_ms=58.4683 kernel_plus_memory_ms=36.2988 kernel_only_ms=30.2973 h2d_ms=3.05232 d2h_ms=2.94912
task_id=4 response_ms=58.6219 kernel_plus_memory_ms=36.0574 kernel_only_ms=30.3258 h2d_ms=2.66774 d2h_ms=3.06384
task_id=5 response_ms=58.3508 kernel_plus_memory_ms=36.0499 kernel_only_ms=30.3054 h2d_ms=2.87139 d2h_ms=2.87309
task_id=6 response_ms=58.6638 kernel_plus_memory_ms=35.8564 kernel_only_ms=30.3053 h2d_ms=2.65414 d2h_ms=2.89686
task_id=7 response_ms=58.2719 kernel_plus_memory_ms=36.0571 kernel_only_ms=30.3015 h2d_ms=2.87965 d2h_ms=2.87594
task_id=8 response_ms=58.4883 kernel_plus_memory_ms=35.8483 kernel_only_ms=30.3631 h2d_ms=2.66422 d2h_ms=2.82099
task_id=9 response_ms=58.2117 kernel_plus_memory_ms=36.1255 kernel_only_ms=30.3148 h2d_ms=2.9464 d2h_ms=2.86426
task_id=10 response_ms=58.2114 kernel_plus_memory_ms=35.8405 kernel_only_ms=30.3068 h2d_ms=2.64803 d2h_ms=2.88563
task_id=11 response_ms=58.4049 kernel_plus_memory_ms=36.2094 kernel_only_ms=30.3289 h2d_ms=2.80733 d2h_ms=3.07318
task_id=12 response_ms=58.2788 kernel_plus_memory_ms=35.83 kernel_only_ms=30.3302 h2d_ms=2.6496 d2h_ms=2.85021
task_id=13 response_ms=58.519 kernel_plus_memory_ms=35.8298 kernel_only_ms=30.3383 h2d_ms=2.59366 d2h_ms=2.89782
task_id=14 response_ms=58.1523 kernel_plus_memory_ms=35.8292 kernel_only_ms=30.3254 h2d_ms=2.64451 d2h_ms=2.85936
task_id=15 response_ms=58.3235 kernel_plus_memory_ms=35.7299 kernel_only_ms=30.2978 h2d_ms=2.62685 d2h_ms=2.80528
task_id=16 response_ms=57.9916 kernel_plus_memory_ms=36.0044 kernel_only_ms=30.3104 h2d_ms=2.85654 d2h_ms=2.83744
task_id=17 response_ms=58.3735 kernel_plus_memory_ms=36.4293 kernel_only_ms=30.3025 h2d_ms=2.89216 d2h_ms=3.23466
task_id=18 response_ms=58.4054 kernel_plus_memory_ms=36.0967 kernel_only_ms=30.2953 h2d_ms=2.65315 d2h_ms=3.14829
task_id=19 response_ms=58.1043 kernel_plus_memory_ms=35.9682 kernel_only_ms=30.2771 h2d_ms=2.82928 d2h_ms=2.86186
task_id=20 response_ms=57.9871 kernel_plus_memory_ms=35.7655 kernel_only_ms=30.2963 h2d_ms=2.64074 d2h_ms=2.82848
task_id=21 response_ms=58.0363 kernel_plus_memory_ms=35.9109 kernel_only_ms=30.3058 h2d_ms=2.70672 d2h_ms=2.89843
task_id=22 response_ms=57.8227 kernel_plus_memory_ms=35.8044 kernel_only_ms=30.3012 h2d_ms=2.63168 d2h_ms=2.87152
task_id=23 response_ms=57.9069 kernel_plus_memory_ms=35.81 kernel_only_ms=30.2768 h2d_ms=2.66525 d2h_ms=2.86787
task_id=24 response_ms=57.7749 kernel_plus_memory_ms=35.8703 kernel_only_ms=30.3026 h2d_ms=2.65757 d2h_ms=2.91011
task_id=25 response_ms=58.0574 kernel_plus_memory_ms=35.8997 kernel_only_ms=30.3124 h2d_ms=2.65357 d2h_ms=2.93379
task_id=26 response_ms=58.0477 kernel_plus_memory_ms=35.8726 kernel_only_ms=30.2949 h2d_ms=2.69891 d2h_ms=2.87878
task_id=27 response_ms=58.146 kernel_plus_memory_ms=36.1363 kernel_only_ms=30.3138 h2d_ms=2.64835 d2h_ms=3.17414
task_id=28 response_ms=57.7851 kernel_plus_memory_ms=35.9394 kernel_only_ms=30.3001 h2d_ms=2.76499 d2h_ms=2.8743
task_id=29 response_ms=57.6972 kernel_plus_memory_ms=35.8294 kernel_only_ms=30.3268 h2d_ms=2.5999 d2h_ms=2.90269
task_id=30 response_ms=57.9758 kernel_plus_memory_ms=36.0403 kernel_only_ms=30.2944 h2d_ms=2.67523 d2h_ms=3.07062
task_id=31 response_ms=57.878 kernel_plus_memory_ms=35.7928 kernel_only_ms=30.3144 h2d_ms=2.61216 d2h_ms=2.86621
task_id=32 response_ms=57.8033 kernel_plus_memory_ms=35.8382 kernel_only_ms=30.2917 h2d_ms=2.6575 d2h_ms=2.88899
task_id=33 response_ms=57.835 kernel_plus_memory_ms=35.7814 kernel_only_ms=30.3264 h2d_ms=2.61446 d2h_ms=2.84061
task_id=34 response_ms=57.8361 kernel_plus_memory_ms=35.8225 kernel_only_ms=30.2944 h2d_ms=2.6832 d2h_ms=2.8449
