control_period,solution,task,exec_ms,rt_ms,period_ms,new_period_ms,rtr,setpoint,rtr_error,rt_error_ms,deadline_miss_pct,measured_power,power_error,current_freq_mhz,desired_freq_mhz,power_samples
0,LQR,0,123.354,123.354,136.904,119.629,0.901024,0.9,-0.00102377,-0.140152,0,1958.5,3041.5,816,1020,6
0,LQR,1,59.8649,59.8649,69.1639,52.5514,0.865551,0.9,0.0344493,2.38265,0,1958.5,3041.5,816,1020,6
0,LQR,2,64.5496,64.5496,80,52.0701,0.80687,0.9,0.0931304,7.45043,0,1958.5,3041.5,816,1020,6
1,LQR,0,105.882,105.882,150,133.247,0.705877,0.9,0.194123,29.1184,0,6679.6,-1679.6,1020,932.718,5
1,LQR,1,54.1689,54.1689,80,71.8533,0.677112,0.9,0.222888,17.8311,0,6679.6,-1679.6,1020,932.718,5
1,LQR,2,56.5868,72.8889,52.0701,87.3972,1.39982,0.9,-0.499823,-26.0258,100,6679.6,-1679.6,1020,932.718,5
2,LQR,0,116.286,116.286,133.247,139.358,0.872713,0.9,0.0272871,3.63592,0,6638,-1638,918,847.582,6
2,LQR,1,59.8902,59.8902,71.8533,75.3427,0.833508,0.9,0.0664924,4.7777,0,6638,-1638,918,847.582,6
2,LQR,2,56.7119,70.8738,87.3972,91.7858,0.810939,0.9,0.0890608,7.78367,20,6638,-1638,918,847.582,6
3,LQR,0,125.204,125.204,139.358,143.244,0.898436,0.9,0.00156367,0.217911,0,5706.6,-706.6,816,810.435,5
3,LQR,1,66.2045,66.2045,75.3427,77.2903,0.878711,0.9,0.0212888,1.60396,0,5706.6,-706.6,816,810.435,5
3,LQR,2,62.4345,62.4345,91.7858,78.4661,0.68022,0.9,0.21978,20.1727,0,5706.6,-706.6,816,810.435,5
4,LQR,0,133.112,133.112,143.244,147.813,0.929269,0.9,-0.0292692,-4.19264,0,5133.6,-133.6,816,803.473,5
4,LQR,1,69.1851,69.1851,77.2903,77.5884,0.895133,0.9,0.00486684,0.37616,0,5133.6,-133.6,816,803.473,5
4,LQR,2,65.474,65.474,78.4661,74.7363,0.834424,0.9,0.065576,5.14549,0,5133.6,-133.6,816,803.473,5
5,LQR,0,138.141,138.141,147.813,152.322,0.934561,0.9,-0.0345607,-5.10854,0,4979.17,20.8335,816,804.594,6
5,LQR,1,69.4956,69.4956,77.5884,77.1836,0.895695,0.9,0.00430453,0.333984,0,4979.17,20.8335,816,804.594,6
5,LQR,2,64.7891,64.7891,74.7363,72.3456,0.866903,0.9,0.0330972,2.47356,0,4979.17,20.8335,816,804.594,6
6,LQR,0,134.021,134.021,152.322,149.446,0.879848,0.9,0.020152,3.0696,0,4983.4,16.6001,816,805.435,5
6,LQR,1,70.7724,70.7724,77.1836,78.2909,0.916936,0.9,-0.0169358,-1.30717,0,4983.4,16.6001,816,805.435,5
6,LQR,2,65.8914,65.8914,72.3456,72.9387,0.910787,0.9,-0.0107872,-0.780403,0,4983.4,16.6001,816,805.435,5
7,LQR,0,134.818,134.818,149.446,149.244,0.902121,0.9,-0.00212133,-0.317032,0,4914.67,85.3335,816,809.861,6
7,LQR,1,69.666,69.666,78.2909,77.1626,0.889836,0.9,0.010164,0.795746,0,4914.67,85.3335,816,809.861,6
7,LQR,2,66.5722,66.5722,72.9387,73.1838,0.912714,0.9,-0.0127141,-0.927353,0,4914.67,85.3335,816,809.861,6
8,LQR,0,136.205,136.205,149.244,150.404,0.912637,0.9,-0.0126367,-1.88594,0,4904,96,816,814.816,5
8,LQR,1,68.4617,68.4617,77.1626,75.814,0.887239,0.9,0.0127612,0.984688,0,4904,96,816,814.816,5
8,LQR,2,64.7622,64.7622,73.1838,71.5154,0.884925,0.9,0.0150747,1.10322,0,4904,96,816,814.816,5
9,LQR,0,134.051,134.051,150.404,148.647,0.891269,0.9,0.00873077,1.31314,0,4901.17,98.8335,816,819.94,6
9,LQR,1,68.5104,68.5104,75.814,75.5948,0.903665,0.9,-0.00366485,-0.277847,0,4901.17,98.8335,816,819.94,6
9,LQR,2,65.6933,65.6933,71.5154,72.031,0.91859,0.9,-0.0185897,-1.32945,0,4901.17,98.8335,816,819.94,6
10,LQR,0,133.344,133.344,148.647,147.883,0.897054,0.9,0.00294584,0.437897,0,4935.8,64.2002,816,823.249,5
10,LQR,1,68.5005,68.5005,75.5948,75.7119,0.906154,0.9,-0.006154,-0.46521,0,4935.8,64.2002,816,823.249,5
10,LQR,2,64.3693,64.3693,72.031,71.1687,0.893634,0.9,0.00636625,0.458565,0,4935.8,64.2002,816,823.249,5
11,LQR,0,133.809,133.809,147.883,148.578,0.904827,0.9,-0.00482655,-0.71376,0,5008.4,-8.3999,816,822.819,5
